순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,N,Y,0.2464,0.7894,2,O, 
1,36,N (N),6,N,Y,0.2464,0.7894,2,O, 
2,36,N (N),6,N,Y,0.2460,0.6666,2,O, 
3,33,N (N),6,N,Y,0.5436,1.0000,3,O, 
4,24,N (N),6,N,N,0.5119,0.5000,3,O, 
5,20,N (N),5,N,Y,0.9555,0.4210,4,O, 
6,18,N (N),5,N,N,0.1214,0.1578,2,O, 
7,16,N (N),3,N,N,0.8285,0.9473,4,O, 
8,12,N (N),6,N,Y,0.7182,0.8333,4,O, 
9,12,N (N),6,N,Y,0.1821,0.6315,2,O, 
10,7,N (N),6,N,N,0.3492,1.0000,2,O, 
11,6,N (N),6,N,Y,0.6428,0.8684,3,O, 
12,6,N (N),6,N,N,0.2851,1.0000,2,O, 
13,5,N (N),6,N,Y,1.0000,0.9473,4,O, 
14,5,N (N),6,N,Y,0.4785,0.8157,3,O, 
15,2,N (N),4,N,N,0.8962,0.7894,4,O, 
16,1,N (N),6,N,Y,0.5000,0.8750,3,O, 
17,1,N (N),6,N,N,0.3253,0.5277,3,O, 
18,1,N (N),6,N,N,0.2785,1.0000,2,O, 
19,1,N (N),5,N,N,0.8571,1.0000,4,O, 
