순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,N,Y,0.6714,0.8947,3,O, 
1,36,N (N),6,N,Y,0.6714,0.8947,3,O, 
2,36,N (N),6,N,Y,0.2539,0.8611,2,O, 
3,36,N (N),6,N,Y,0.2428,1.0000,2,O, 
4,36,N (N),5,N,Y,0.3444,0.6842,2,O, 
5,34,N (N),5,N,Y,0.4259,1.0000,2,O, 
6,30,N (N),6,N,Y,0.4246,0.8611,2,O, 
7,26,N (N),6,N,Y,0.4185,0.9736,2,O, 
8,25,N (N),6,N,Y,0.4259,1.0000,2,O, 
9,24,N (N),6,N,Y,0.6518,0.9736,3,O, 
10,23,N (N),6,N,Y,0.4035,0.9736,2,O, 
11,23,N (N),5,N,Y,0.4484,1.0000,2,O, 
12,22,N (N),6,N,Y,0.6349,0.8333,3,O, 
13,22,N (N),6,N,Y,0.4325,1.0000,2,O, 
14,21,N (N),6,N,Y,0.4250,0.9736,2,O, 
15,21,N (N),6,N,Y,0.3814,0.8684,2,O, 
16,20,N (N),6,N,Y,0.6500,0.7894,3,O, 
17,20,N (N),6,N,Y,0.3333,0.6315,2,O, 
18,19,N (N),6,N,Y,0.4407,0.9736,2,O, 
19,19,N (N),5,N,Y,0.4087,0.9166,2,O, 
20,18,N (N),6,N,Y,0.6468,1.0000,3,O, 
21,18,N (N),6,N,Y,0.4481,0.9736,2,O, 
22,17,N (N),6,N,Y,0.4166,0.8611,2,O, 
23,17,N (N),6,N,Y,0.4107,0.9736,2,O, 
24,17,N (N),6,N,Y,0.2296,0.7631,2,O, 
25,17,N (N),5,N,Y,0.4603,1.0000,2,O, 
26,17,N (N),5,N,Y,0.2392,0.8157,2,O, 
27,16,N (N),6,N,Y,0.5515,0.8611,3,O, 
28,15,N (N),6,N,Y,0.7642,0.9473,4,O, 
29,15,N (N),6,N,Y,0.7142,0.8421,4,O, 
30,15,N (N),6,N,Y,0.4464,1.0000,2,O, 
31,15,N (N),6,N,Y,0.2481,0.7894,2,X, 
32,14,N (N),6,N,Y,0.7857,0.9473,4,O, 
33,14,N (N),6,N,Y,0.6785,0.9473,3,O, 
34,14,N (N),6,N,Y,0.4333,0.9736,2,X, 
35,14,N (N),6,N,Y,0.1944,0.6111,2,X, 
36,14,N (N),4,N,Y,0.2592,0.9473,2,X, 
37,13,N (N),6,N,Y,0.7214,1.0000,3,O, 
38,13,N (N),6,N,Y,0.4801,1.0000,2,X, 
39,13,N (N),6,N,Y,0.4325,0.8611,2,X, 
40,13,N (N),6,N,Y,0.4142,1.0000,2,X, 
41,13,N (N),6,N,Y,0.4035,0.7105,2,X, 
42,13,N (N),6,N,Y,0.3703,0.8157,2,X, 
