순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),3,Y,N,0.9714,0.9473,4,O, 
1,36,N (N),3,Y,N,0.9714,0.9473,4,O, 
2,36,N (N),2,Y,N,0.9928,0.3157,4,O, 
3,36,N (N),1,Y,Y,0.9785,0.7894,4,O, 
4,35,N (N),6,N,Y,0.7642,0.9473,4,O, 
5,28,N (N),6,N,Y,0.7714,0.9473,4,O, 
6,25,N (N),6,N,Y,0.7857,0.9473,4,O, 
7,25,N (N),6,N,Y,0.2071,0.9473,2,O, 
8,22,N (N),4,Y,Y,0.9000,0.7631,4,O, 
9,20,N (N),5,N,Y,0.7571,0.9473,4,O, 
10,16,N (N),4,N,Y,0.8857,0.7894,4,O, 
11,14,N (N),6,N,Y,0.3821,0.9736,2,O, 
12,11,N (N),6,N,Y,0.0535,0.3947,2,O, 
13,10,N (N),6,Y,Y,0.9928,1.0000,4,O, 
14,10,N (N),6,N,Y,0.4000,0.9473,2,O, 
15,10,N (N),6,N,Y,0.2714,1.0000,2,O, 
16,10,N (N),6,N,Y,0.2142,0.7631,2,O, 
17,10,N (N),6,N,N,0.2535,0.3684,2,O, 
18,10,N (N),4,Y,N,0.9142,0.7894,4,O, 
19,9,N (N),6,Y,N,0.9357,0.9473,4,O, 
20,6,N (N),5,N,Y,0.2571,0.5263,3,O, 
21,5,N (N),6,N,Y,0.8428,0.9473,4,O, 
22,5,N (N),6,N,Y,0.7750,0.9473,4,O, 
23,4,N (N),6,N,Y,0.8035,0.9473,4,O, 
24,4,N (N),6,N,Y,0.6107,0.6578,3,O, 
25,3,N (N),6,Y,Y,0.9571,1.0000,4,O, 
26,3,N (N),6,N,Y,0.3222,0.4736,3,O, 
27,3,N (N),6,N,Y,0.2035,0.9210,2,O, 
28,3,N (N),6,N,N,0.2571,0.8947,3,O, 
29,2,N (N),6,Y,N,0.6142,0.7894,4,X, 
30,2,N (N),6,N,Y,0.6821,1.0000,3,O, 
31,2,N (N),6,N,Y,0.3142,1.0000,2,O, 
32,2,N (N),6,N,Y,0.0928,0.6842,2,O, 
33,2,N (N),6,N,N,0.6214,0.9473,4,X, 
34,2,N (N),6,N,N,0.3857,0.8684,2,O, 
35,2,N (N),6,N,N,0.3785,0.9473,2,O, 
36,1,N (N),6,N,Y,0.7750,0.9736,4,X, 
37,1,N (N),6,N,Y,0.7714,1.0000,4,X, 
38,1,N (N),6,N,Y,0.6428,1.0000,3,O, 
39,1,N (N),6,N,Y,0.2714,0.9473,2,O, 
40,1,N (N),6,N,Y,0.1821,0.7894,2,O, 
