순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,22,Y (Y),6,N,Y,0.2428,0.8947,2,O, 
1,22,Y (Y),6,N,Y,0.2428,0.8947,2,O, 
2,20,Y (Y),6,N,Y,0.2785,1.0000,2,O, 
3,19,Y (Y),6,N,Y,0.4785,0.7894,3,O, 
4,15,Y (Y),6,N,Y,0.2642,0.8947,2,O, 
5,15,Y (Y),6,N,Y,0.2214,1.0000,2,O, 
6,10,Y (Y),6,N,Y,0.2785,1.0000,2,O, 
7,10,Y (Y),6,N,Y,0.2571,0.8421,2,O, 
8,10,Y (Y),6,N,Y,0.2500,1.0000,2,O, 
9,8,Y (Y),6,N,Y,0.2357,1.0000,2,O, 
10,7,Y (Y),6,N,Y,0.2571,1.0000,2,O, 
11,5,Y (Y),6,N,Y,0.2785,1.0000,2,O, 
12,5,Y (Y),6,N,Y,0.2357,0.8421,2,O, 
13,4,Y (Y),6,N,Y,0.2785,1.0000,2,O, 
14,4,Y (Y),6,N,Y,0.2571,0.8947,2,O, 
15,4,Y (Y),6,N,Y,0.2571,0.7368,2,O, 
16,4,Y (Y),6,N,Y,0.2464,0.8157,2,O, 
17,4,Y (Y),6,N,Y,0.1928,0.5263,2,O, 
18,3,Y (Y),6,N,Y,0.3500,0.7368,2,O, 
19,3,Y (Y),6,N,Y,0.2785,1.0000,2,O, 
20,3,Y (Y),6,N,Y,0.2571,1.0000,2,O, 
21,3,Y (Y),6,N,Y,0.2535,0.8421,2,O, 
22,3,Y (Y),6,N,Y,0.2428,0.7368,2,O, 
23,3,Y (Y),6,N,Y,0.2321,0.8684,2,O, 
24,2,Y (Y),6,N,Y,0.3714,0.9473,2,O, 
25,2,Y (Y),6,N,Y,0.3285,0.7894,2,O, 
26,2,Y (Y),6,N,Y,0.2714,1.0000,2,O, 
27,2,Y (Y),6,N,Y,0.2714,0.9473,2,O, 
28,2,Y (Y),6,N,Y,0.2500,0.8684,2,X, 
29,2,Y (Y),6,N,Y,0.2357,0.8421,2,X, 
30,2,Y (Y),6,N,Y,0.2285,0.8421,2,X, 
31,2,Y (Y),6,N,Y,0.2142,0.8421,2,X, 
32,1,Y (Y),6,N,Y,0.3000,1.0000,2,X, 
33,1,Y (Y),6,N,Y,0.3000,1.0000,2,X, 
34,1,Y (Y),6,N,Y,0.3000,0.8421,2,X, 
35,1,Y (Y),6,N,Y,0.2785,1.0000,2,X, 
36,1,Y (Y),6,N,Y,0.2785,1.0000,2,X, 
37,1,Y (Y),6,N,Y,0.2785,1.0000,2,X, 
38,1,Y (Y),6,N,Y,0.2785,1.0000,2,X, 
39,1,Y (Y),6,N,Y,0.2785,0.7894,2,X, 
40,1,Y (Y),6,N,Y,0.2750,0.9736,2,X, 
41,1,Y (Y),6,N,Y,0.2750,0.9736,2,X, 
42,1,Y (Y),6,N,Y,0.2571,0.7368,2,X, 
43,1,Y (Y),6,N,Y,0.2571,0.6842,2,X, 
44,1,Y (Y),6,N,Y,0.2357,1.0000,2,X, 
45,1,Y (Y),6,N,Y,0.2214,0.5789,2,X, 
46,1,Y (Y),6,N,Y,0.1857,0.6315,2,X, 
