순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,N,Y,0.7925,0.9473,4,O, 
1,36,N (N),6,N,Y,0.7925,0.9473,4,O, 
2,36,N (N),6,N,Y,0.7857,0.7142,4,O, 
3,36,N (N),6,N,Y,0.7428,0.8947,4,O, 
4,36,N (N),5,N,Y,0.7642,0.8421,4,O, 
5,36,N (N),5,N,Y,0.4337,0.4210,3,O, 
6,35,N (N),5,N,Y,0.3975,0.7894,3,O, 
7,30,N (N),5,N,Y,0.5000,0.7619,3,O, 
8,26,N (N),6,N,Y,0.4000,0.6315,4,O, 
9,23,N (N),6,N,Y,0.8142,1.0000,4,O, 
10,19,N (N),6,N,Y,0.4357,0.9473,3,O, 
11,18,N (N),6,N,Y,0.7642,0.8947,4,O, 
12,15,N (N),6,N,Y,1.0000,1.0000,4,O, 
13,15,N (N),6,N,Y,0.8571,1.0000,4,O, 
14,15,N (N),6,N,Y,0.7571,1.0000,4,O, 
15,13,N (N),6,N,Y,0.7785,1.0000,4,O, 
16,12,N (N),6,N,Y,0.3851,0.7894,2,O, 
17,12,N (N),6,N,Y,0.2642,0.8947,2,O, 
18,11,N (N),6,N,Y,0.6642,1.0000,3,O, 
19,10,N (N),6,N,Y,0.5000,0.8947,3,O, 
20,8,N (N),6,N,Y,0.4642,0.9473,3,O, 
21,7,N (N),6,N,Y,0.5000,0.8881,3,O, 
22,6,N (N),6,N,Y,0.6666,1.0000,3,O, 
23,6,N (N),6,N,Y,0.2962,1.0000,2,O, 
24,6,N (N),6,N,N,0.5263,0.8333,2,O, 
25,5,N (N),6,N,Y,0.2619,0.8888,2,O, 
26,5,N (N),6,N,Y,0.1357,0.7105,2,O, 
27,4,N (N),6,N,Y,0.2666,1.0000,2,O, 
28,2,N (N),6,N,Y,0.4518,0.9473,3,O, 
29,2,N (N),5,N,Y,0.2888,1.0000,2,O, 
30,2,N (N),4,N,N,0.9583,0.8333,4,O, 
31,1,N (N),6,N,Y,0.9916,0.8947,4,O, 
32,1,N (N),6,N,Y,0.8492,1.0000,4,O, 
33,1,N (N),6,N,Y,0.7285,0.6315,4,O, 
34,1,N (N),6,N,Y,0.6074,0.3157,4,O, 
35,1,N (N),6,N,Y,0.2698,0.8888,2,O, 
36,1,N (N),6,N,N,0.7063,1.0000,3,O, 
37,1,N (N),6,N,N,0.4761,1.0000,3,O, 
38,1,N (N),5,Y,Y,1.0000,0.5000,4,O, 
39,1,N (N),5,N,N,0.6825,1.0000,3,O, 
0,12,N (N),1,N,Y,0.1388,0.9210,1,O,* 
