순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,N,Y,0.9214,1.0000,4,O, 
1,36,N (N),6,N,Y,0.9214,1.0000,4,O, 
2,36,N (N),6,N,Y,0.8357,0.9473,4,O, 
3,36,N (N),6,N,N,0.7714,0.9473,4,O, 
4,36,N (N),6,N,N,0.5357,0.8421,3,O, 
5,36,N (N),5,N,Y,0.9602,0.9473,5,O, 
6,36,N (N),5,N,N,0.6686,0.9473,4,O, 
7,36,N (N),4,Y,N,0.9642,0.9473,4,O, 
8,36,N (N),3,Y,Y,0.9428,1.0000,4,O, 
9,36,N (N),3,Y,N,0.9571,0.0000,4,O, 
10,36,N (N),3,N,Y,0.9578,0.1578,5,O, 
11,35,N (N),6,N,N,0.7607,0.9473,4,O, 
12,35,N (N),5,Y,N,0.9357,1.0000,4,O, 
13,32,N (N),6,N,Y,0.6071,0.9473,3,O, 
14,32,N (N),6,N,N,0.5857,0.9473,3,O, 
15,31,N (N),6,N,N,0.6857,0.9473,3,O, 
16,31,N (N),6,N,N,0.6142,0.9473,3,O, 
17,31,N (N),6,N,N,0.5642,0.9473,3,O, 
18,30,N (N),6,N,N,0.6500,1.0000,3,O, 
19,30,N (N),5,Y,N,1.0000,0.9473,4,O, 
20,30,N (N),5,N,N,0.5928,1.0000,3,O, 
21,27,N (N),5,N,N,0.8857,0.8947,4,O, 
22,26,N (N),3,Y,N,1.0000,0.0526,4,O, 
23,26,N (N),3,N,N,0.8785,0.7894,4,X, 
24,25,N (N),6,Y,N,0.8714,1.0000,4,X, 
25,25,N (N),6,N,Y,0.6071,0.9473,3,O, 
26,25,N (N),6,N,N,0.6928,0.9473,4,X, 
27,22,N (N),6,Y,Y,0.8857,1.0000,4,X, 
28,22,N (N),5,N,N,0.4857,0.9473,3,O, 
29,21,N (N),6,Y,N,0.8857,0.8421,4,X, 
30,21,N (N),6,N,N,0.6500,0.9473,3,O, 
31,20,N (N),6,Y,Y,0.9357,0.7894,4,X, 
32,20,N (N),6,N,N,0.7857,0.9473,4,X, 
33,20,N (N),6,N,N,0.4785,1.0000,3,O, 
34,20,N (N),5,N,N,0.1857,0.3684,2,O, 
35,19,N (N),5,N,N,0.8571,0.6315,4,X, 
36,18,N (N),6,N,Y,0.6500,0.9473,3,O, 
37,18,N (N),6,N,N,0.7714,0.9473,4,X, 
38,17,N (N),6,N,Y,0.5714,0.7894,3,O, 
39,16,N (N),6,N,Y,0.6357,0.6315,4,X, 
40,16,N (N),6,N,Y,0.2500,0.9473,2,O, 
41,16,N (N),6,N,N,0.2214,0.6315,2,O, 
42,15,N (N),6,N,N,0.8357,0.9473,4,X, 
43,15,N (N),6,N,N,0.6142,0.9473,3,O, 
44,15,N (N),6,N,N,0.5714,0.9473,3,X, 
45,15,N (N),6,N,N,0.4214,0.9473,2,O, 
46,15,N (N),6,N,N,0.3857,0.9473,2,O, 
47,14,N (N),6,N,N,0.3714,0.9473,2,O, 
48,13,N (N),6,N,Y,0.7285,0.8421,4,X, 
49,13,N (N),6,N,Y,0.3571,0.9473,2,O, 
50,12,N (N),6,N,N,0.5428,0.9473,4,X, 
51,11,N (N),6,N,N,0.6357,1.0000,3,X, 
52,10,N (N),6,N,Y,0.5785,1.0000,3,X, 
53,10,N (N),5,Y,N,0.8928,0.8421,4,X, 
54,8,N (N),6,N,Y,0.4285,0.9473,2,O, 
55,7,N (N),6,N,N,0.6071,0.9473,4,X, 
56,6,N (N),6,N,Y,0.2357,0.7894,2,O, 
57,2,N (N),6,N,Y,0.5714,0.7894,3,X, 
58,1,N (N),6,Y,N,1.0000,0.5000,4,X, 
59,1,N (N),6,N,Y,0.3892,0.8157,2,O, 
60,1,N (N),6,N,N,0.8714,0.9473,4,X, 
61,1,N (N),6,N,N,0.6714,0.7368,4,X, 
62,1,N (N),6,N,N,0.6642,1.0000,3,X, 
0,12,N (N),6,N,Y,0.7785,0.7894,4,O,* 
