순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),2,Y,Y,1.0000,0.3157,4,O, 
1,36,N (N),2,Y,Y,1.0000,0.3157,4,O, 
2,35,N (N),3,N,Y,1.0000,1.0000,4,O, 
3,35,N (N),2,N,N,1.0000,0.9473,4,O, 
4,25,N (N),6,N,Y,0.2629,0.8684,2,O, 
5,23,N (N),6,N,Y,0.3253,1.0000,2,O, 
6,22,N (N),6,N,Y,0.2785,1.0000,2,O, 
7,20,N (N),6,N,Y,0.7380,1.0000,4,O, 
8,20,N (N),6,N,Y,0.5629,0.6315,3,O, 
9,20,N (N),6,N,Y,0.2962,1.0000,2,O, 
10,18,N (N),6,Y,Y,1.0000,0.3333,4,O, 
11,18,N (N),6,N,Y,0.2285,0.8421,2,O, 
12,17,N (N),6,N,Y,0.2301,0.9166,2,O, 
13,16,N (N),5,Y,N,1.0000,0.9473,4,O, 
14,16,N (N),5,N,Y,0.2857,1.0000,2,O, 
15,15,N (N),6,N,Y,0.3928,0.8611,2,O, 
16,15,N (N),6,N,Y,0.3492,0.9722,2,O, 
17,15,N (N),6,N,Y,0.2698,0.9444,2,O, 
18,15,N (N),5,N,Y,0.7500,0.8750,4,O, 
19,13,N (N),6,N,Y,0.2539,0.8333,2,O, 
20,12,N (N),6,Y,Y,0.8814,0.9473,4,O, 
21,11,N (N),6,N,Y,0.5928,0.9473,4,O, 
22,11,N (N),6,N,Y,0.2666,0.8947,2,O, 
23,10,N (N),6,N,Y,0.2814,0.9473,2,O, 
24,8,N (N),6,N,Y,0.5357,0.9473,3,O, 
25,8,N (N),6,N,Y,0.2857,1.0000,2,O, 
26,8,N (N),6,N,Y,0.2857,1.0000,2,O, 
27,8,N (N),6,N,Y,0.2222,0.5555,2,O, 
28,7,N (N),6,Y,Y,0.9111,1.0000,4,O, 
29,7,N (N),6,N,Y,0.2698,0.9444,2,O, 
30,6,N (N),6,N,Y,0.3928,0.7894,3,O, 
31,6,N (N),6,N,Y,0.3253,1.0000,2,O, 
32,6,N (N),6,N,Y,0.2261,0.7500,2,O, 
33,5,N (N),6,N,Y,0.7703,0.8947,4,O, 
34,5,N (N),6,N,Y,0.6518,0.9473,3,O, 
35,5,N (N),6,N,Y,0.5142,0.8421,3,O, 
36,5,N (N),6,N,Y,0.3333,0.9444,2,O, 
37,5,N (N),6,N,Y,0.3293,0.8055,2,O, 
38,5,N (N),6,N,Y,0.2857,1.0000,2,O, 
39,5,N (N),6,N,Y,0.2777,1.0000,2,O, 
40,5,N (N),6,N,Y,0.2698,0.6666,2,O, 
41,5,N (N),6,N,N,0.6904,1.0000,4,O, 
42,4,N (N),6,N,Y,0.3015,1.0000,2,O, 
43,4,N (N),6,N,Y,0.2888,1.0000,2,O, 
44,3,N (N),6,N,Y,0.5158,0.8611,3,O, 
45,2,N (N),6,N,Y,0.2888,1.0000,2,O, 
46,2,N (N),6,N,Y,0.2857,1.0000,2,O, 
47,2,N (N),6,N,Y,0.2777,0.9444,2,O, 
48,2,N (N),6,N,Y,0.2142,0.5526,2,O, 
49,2,N (N),6,N,Y,0.1785,0.5833,2,O, 
50,2,N (N),6,N,N,0.8154,1.0000,4,O, 
51,1,N (N),6,Y,Y,1.0000,0.0000,4,O, 
52,1,N (N),6,N,Y,0.8000,0.9473,4,O, 
53,1,N (N),6,N,Y,0.7214,0.7894,4,O, 
54,1,N (N),6,N,Y,0.6740,0.5789,4,O, 
55,1,N (N),6,N,Y,0.5851,1.0000,3,O, 
56,1,N (N),6,N,Y,0.5703,1.0000,3,O, 
57,1,N (N),6,N,Y,0.5595,1.0000,3,O, 
58,1,N (N),6,N,Y,0.5111,0.8684,3,O, 
59,1,N (N),6,N,Y,0.5079,1.0000,3,O, 
60,1,N (N),6,N,Y,0.4642,0.7894,3,O, 
61,1,N (N),6,N,Y,0.3095,1.0000,2,O, 
62,1,N (N),6,N,Y,0.3095,1.0000,2,O, 
63,1,N (N),6,N,Y,0.2857,1.0000,2,O, 
64,1,N (N),6,N,Y,0.2619,0.8333,2,O, 
65,1,N (N),6,N,Y,0.2182,0.7777,2,O, 
66,1,N (N),6,N,N,0.5317,0.8333,3,O, 
67,1,N (N),6,N,N,0.4740,0.9473,4,O, 
68,1,N (N),5,N,Y,0.5833,1.0000,3,O, 
69,1,N (N),5,N,Y,0.1984,0.6666,2,O, 
0,12,N (N),4,N,Y,0.2428,0.9736,2,O,* 
0,12,N (N),6,N,Y,0.4222,0.7631,3,O,* 
