순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,Y,Y,0.9365,1.0000,4,O, 
1,36,N (N),6,Y,Y,0.9365,1.0000,4,O, 
2,36,N (N),6,N,Y,0.6428,0.7142,3,O, 
3,36,N (N),6,N,Y,0.5396,0.8888,3,O, 
4,36,N (N),5,N,Y,1.0000,0.9047,4,O, 
5,36,N (N),5,N,Y,0.6587,0.7142,3,O, 
6,36,N (N),5,N,Y,0.6190,0.7142,3,O, 
7,36,N (N),5,N,Y,0.6190,0.7142,3,O, 
8,36,N (N),4,N,Y,0.6904,0.8333,4,O, 
9,36,N (N),3,Y,Y,0.9047,1.0000,4,O, 
10,36,N (N),2,Y,Y,0.9603,1.0000,4,O, 
11,36,N (N),1,Y,Y,1.0000,1.0000,4,O, 
12,35,N (N),6,Y,Y,0.9000,0.8947,4,O, 
13,35,N (N),6,Y,Y,0.8785,0.8421,4,O, 
14,34,N (N),6,N,Y,0.7214,0.8421,4,O, 
15,33,N (N),6,N,N,0.9777,0.9473,4,O, 
16,30,N (N),6,N,Y,0.7698,0.9444,4,O, 
17,29,N (N),6,Y,Y,0.8962,0.7894,4,O, 
18,24,N (N),6,N,Y,0.5476,0.5000,3,O, 
19,24,N (N),4,Y,Y,0.9365,0.8888,4,O, 
20,20,N (N),6,Y,Y,1.0000,0.9473,4,O, 
21,20,N (N),6,N,N,0.8000,1.0000,4,O, 
22,20,N (N),5,N,Y,0.6031,0.6666,3,O, 
23,19,N (N),6,Y,Y,0.9206,0.8888,4,O, 
24,18,N (N),1,Y,N,1.0000,1.0000,4,O, 
25,17,N (N),6,N,Y,0.8492,1.0000,4,O, 
26,17,N (N),6,N,Y,0.4285,1.0000,2,O, 
27,16,N (N),6,N,Y,0.3518,0.7631,2,O, 
28,16,N (N),6,N,N,0.6984,1.0000,3,O, 
29,15,N (N),6,Y,Y,0.7698,1.0000,4,O, 
30,15,N (N),6,N,Y,0.4166,0.8611,2,O, 
31,15,N (N),6,N,Y,0.2357,0.4736,3,O, 
32,15,N (N),3,Y,Y,0.9047,0.5000,4,O, 
33,14,N (N),6,N,Y,0.3849,0.6944,2,O, 
34,13,N (N),6,N,Y,0.6746,0.7777,4,O, 
35,13,N (N),5,Y,N,0.9523,1.0000,4,O, 
36,13,N (N),5,N,Y,0.3666,0.6578,2,O, 
37,12,N (N),6,N,Y,0.4365,0.8333,2,O, 
38,12,N (N),6,N,Y,0.4037,0.9736,2,O, 
39,12,N (N),6,N,Y,0.4037,0.8157,2,O, 
40,12,N (N),6,N,Y,0.3888,0.8333,2,O, 
41,12,N (N),6,N,Y,0.3650,0.8333,2,O, 
