순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,N,Y,0.5629,0.7631,3,O, 
1,36,N (N),6,N,Y,0.5629,0.7631,3,O, 
2,36,N (N),6,N,N,1.0000,1.0000,4,O, 
3,35,N (N),2,N,N,1.0000,0.8947,4,O, 
4,30,N (N),6,N,Y,1.0000,1.0000,4,O, 
5,23,N (N),5,N,Y,0.7642,0.7894,4,O, 
6,20,N (N),6,N,Y,0.7103,0.8611,3,O, 
7,19,N (N),6,N,Y,0.4166,0.6944,3,O, 
8,17,N (N),6,N,Y,0.4107,0.9736,2,O, 
9,15,N (N),6,N,Y,0.5119,0.8611,3,O, 
10,15,N (N),5,N,Y,0.5634,0.9166,3,O, 
11,14,N (N),6,N,N,0.5436,1.0000,3,O, 
12,13,N (N),6,N,Y,0.2301,0.7500,2,O, 
13,12,N (N),6,N,Y,0.2714,0.9473,2,O, 
14,12,N (N),6,N,N,0.7936,0.8333,4,O, 
15,11,N (N),6,N,Y,0.5928,0.6315,4,O, 
16,11,N (N),6,N,Y,0.2500,0.7894,2,O, 
17,10,N (N),6,N,N,0.2857,0.8888,2,O, 
18,9,N (N),3,Y,N,1.0000,0.5000,4,O, 
19,8,N (N),6,N,Y,0.8095,0.8611,4,O, 
20,8,N (N),6,N,Y,0.2714,0.9473,2,O, 
21,6,N (N),6,Y,N,1.0000,1.0000,4,O, 
22,6,N (N),6,N,Y,0.8285,1.0000,4,O, 
23,6,N (N),6,N,Y,0.3015,1.0000,2,O, 
24,6,N (N),6,N,Y,0.2592,0.8421,2,O, 
25,5,N (N),6,N,Y,0.5500,0.9736,3,O, 
26,5,N (N),6,N,Y,0.5000,0.8750,3,O, 
27,5,N (N),6,N,Y,0.2592,0.8421,2,O, 
28,5,N (N),6,N,N,0.6190,0.9444,3,O, 
29,5,N (N),6,N,N,0.2888,1.0000,2,O, 
30,5,N (N),4,Y,Y,1.0000,0.9473,4,O, 
31,4,N (N),6,N,Y,0.4964,0.9736,3,O, 
32,4,N (N),6,N,Y,0.2962,0.8421,2,O, 
33,4,N (N),6,N,Y,0.2888,0.9736,2,O, 
34,4,N (N),6,N,Y,0.2460,0.9444,2,O, 
35,3,N (N),6,Y,N,1.0000,0.9473,4,O, 
36,3,N (N),6,N,Y,0.5555,0.8611,3,O, 
37,3,N (N),6,N,Y,0.3015,1.0000,2,O, 
38,3,N (N),6,N,Y,0.2714,0.9473,2,O, 
39,3,N (N),6,N,Y,0.2642,0.7368,2,O, 
40,3,N (N),6,N,Y,0.2428,0.8947,2,O, 
41,3,N (N),5,N,Y,0.8035,0.9473,4,O, 
42,2,N (N),6,N,Y,0.8412,0.8333,4,O, 
43,2,N (N),6,N,Y,0.7785,0.9473,4,O, 
44,2,N (N),6,N,Y,0.3142,1.0000,2,O, 
45,2,N (N),6,N,Y,0.3015,1.0000,2,O, 
46,2,N (N),6,N,Y,0.2857,0.9444,2,O, 
47,2,N (N),6,N,Y,0.2619,0.9444,2,O, 
48,1,N (N),6,Y,Y,1.0000,0.6666,4,O, 
49,1,N (N),6,Y,N,0.9523,0.8888,4,O, 
50,1,N (N),6,Y,N,0.8962,0.9473,4,O, 
51,1,N (N),6,Y,N,0.8015,0.8333,4,O, 
52,1,N (N),6,N,Y,0.9407,0.7894,4,O, 
53,1,N (N),6,N,Y,0.8500,0.9473,4,O, 
54,1,N (N),6,N,Y,0.8412,1.0000,4,O, 
55,1,N (N),6,N,Y,0.8333,0.8611,4,O, 
56,1,N (N),6,N,Y,0.8071,0.8947,4,O, 
57,1,N (N),6,N,Y,0.8000,0.9473,4,O, 
58,1,N (N),6,N,Y,0.7357,0.7894,4,O, 
59,1,N (N),6,N,Y,0.6357,0.8157,3,O, 
60,1,N (N),6,N,Y,0.5793,0.8611,3,O, 
61,1,N (N),6,N,Y,0.5515,0.8333,3,O, 
62,1,N (N),6,N,Y,0.5000,0.9210,3,O, 
63,1,N (N),6,N,Y,0.4571,0.9736,3,O, 
64,1,N (N),6,N,Y,0.4325,1.0000,2,O, 
65,1,N (N),6,N,Y,0.4178,0.7894,3,O, 
66,1,N (N),6,N,Y,0.3253,1.0000,2,O, 
67,1,N (N),6,N,Y,0.3095,1.0000,2,O, 
68,1,N (N),6,N,Y,0.3055,0.9444,2,O, 
69,1,N (N),6,N,Y,0.3015,1.0000,2,O, 
70,1,N (N),6,N,Y,0.2936,0.7777,2,O, 
71,1,N (N),6,N,Y,0.2857,0.9444,2,O, 
72,1,N (N),6,N,Y,0.2814,1.0000,2,O, 
73,1,N (N),6,N,Y,0.2750,0.9473,2,O, 
74,1,N (N),6,N,Y,0.2714,1.0000,2,O, 
75,1,N (N),6,N,Y,0.2714,1.0000,2,O, 
76,1,N (N),6,N,Y,0.2714,0.9473,2,O, 
77,1,N (N),6,N,Y,0.2714,0.9473,2,O, 
78,1,N (N),6,N,Y,0.2698,0.9444,2,O, 
79,1,N (N),6,N,Y,0.2619,0.8888,2,O, 
80,1,N (N),6,N,Y,0.2619,0.8421,2,O, 
81,1,N (N),6,N,Y,0.2555,0.9736,2,O, 
82,1,N (N),6,N,Y,0.2444,0.9473,2,O, 
83,1,N (N),6,N,Y,0.2301,0.5555,2,O, 
84,1,N (N),6,N,Y,0.2259,0.8684,2,O, 
85,1,N (N),6,N,Y,0.2107,0.6842,2,O, 
86,1,N (N),6,N,N,1.0000,1.0000,4,O, 
87,1,N (N),6,N,N,0.8095,0.8333,4,O, 
88,1,N (N),6,N,N,0.8015,1.0000,4,O, 
89,1,N (N),6,N,N,0.6746,1.0000,3,O, 
90,1,N (N),6,N,N,0.5714,1.0000,3,O, 
91,1,N (N),6,N,N,0.5500,0.8684,3,O, 
92,1,N (N),6,N,N,0.5000,0.9736,3,O, 
93,1,N (N),6,N,N,0.4148,0.9473,2,O, 
94,1,N (N),6,N,N,0.3571,0.8611,2,O, 
95,1,N (N),6,N,N,0.3015,1.0000,2,O, 
96,1,N (N),6,N,N,0.2460,0.8333,2,O, 
97,1,N (N),6,N,N,0.2407,0.8947,2,O, 
98,1,N (N),6,N,N,0.2370,0.8421,2,O, 
99,1,N (N),6,N,N,0.1785,0.5833,2,O, 
100,1,N (N),5,N,Y,0.9365,1.0000,4,O, 
101,1,N (N),5,N,N,0.2714,0.9473,2,O, 
0,12,N (N),6,N,Y,0.8814,0.8947,4,O,* 
