순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,N,Y,0.2619,0.8055,2,O, 
1,36,N (N),6,N,Y,0.2619,0.8055,2,O, 
2,36,N (N),6,N,N,0.2301,0.6944,2,O, 
3,29,N (N),6,N,Y,0.5634,1.0000,3,O, 
4,25,N (N),5,N,Y,0.1518,0.2105,2,O, 
5,19,N (N),6,N,Y,0.2658,0.9722,2,O, 
6,18,N (N),6,N,Y,0.7222,0.5000,3,O, 
7,17,N (N),6,N,Y,0.8074,0.9473,4,O, 
8,13,N (N),6,N,Y,0.2592,0.8421,2,O, 
9,12,N (N),6,N,Y,0.3095,1.0000,2,O, 
10,10,N (N),6,N,Y,0.7703,0.8947,4,O, 
11,10,N (N),6,N,Y,0.2619,0.7500,2,O, 
12,10,N (N),6,N,N,0.9500,0.5833,4,O, 
13,10,N (N),5,N,Y,0.2814,0.9736,2,O, 
14,9,N (N),6,Y,Y,0.8571,0.8333,4,O, 
15,8,N (N),6,N,Y,0.4851,0.7894,3,O, 
16,8,N (N),5,N,Y,0.2857,0.8888,2,O, 
17,7,N (N),6,N,Y,0.3111,1.0000,2,O, 
18,7,N (N),6,N,Y,0.2785,0.8947,2,O, 
19,7,N (N),6,N,Y,0.2619,0.6111,2,O, 
20,7,N (N),5,N,N,0.5793,1.0000,3,O, 
21,6,N (N),6,N,Y,0.2976,1.0000,2,O, 
22,5,N (N),6,Y,N,1.0000,1.0000,4,O, 
23,5,N (N),6,N,Y,0.2857,0.8888,2,O, 
24,5,N (N),6,N,Y,0.2785,1.0000,2,O, 
25,5,N (N),6,N,Y,0.2785,1.0000,2,O, 
26,5,N (N),6,N,Y,0.2619,0.8888,2,O, 
27,5,N (N),6,N,Y,0.2444,0.8421,2,O, 
28,4,N (N),6,N,Y,0.2380,0.8888,2,O, 
29,4,N (N),6,N,Y,0.2301,0.8888,2,O, 
30,4,N (N),5,N,Y,0.2444,0.7368,2,O, 
31,3,N (N),6,N,Y,0.7481,0.9473,4,O, 
32,3,N (N),6,N,Y,0.2888,0.9473,2,O, 
33,3,N (N),6,N,Y,0.2785,1.0000,2,O, 
34,3,N (N),6,N,Y,0.2539,0.9444,2,O, 
35,3,N (N),6,N,Y,0.2261,0.6944,2,O, 
36,3,N (N),5,N,Y,0.2666,0.8421,2,O, 
37,2,N (N),6,N,Y,0.5357,1.0000,3,O, 
38,2,N (N),6,N,Y,0.5333,0.9210,3,O, 
39,2,N (N),6,N,Y,0.2619,0.8888,2,O, 
40,2,N (N),6,N,Y,0.2539,0.8888,2,O, 
41,1,N (N),6,Y,Y,0.9714,1.0000,4,O, 
42,1,N (N),6,N,Y,0.7500,1.0000,4,O, 
43,1,N (N),6,N,Y,0.6587,0.8333,3,O, 
44,1,N (N),6,N,Y,0.5642,1.0000,3,O, 
45,1,N (N),6,N,Y,0.3015,1.0000,2,O, 
46,1,N (N),6,N,Y,0.2936,1.0000,2,O, 
47,1,N (N),6,N,Y,0.2857,0.8888,2,O, 
48,1,N (N),6,N,Y,0.2777,1.0000,2,O, 
49,1,N (N),6,N,Y,0.2698,0.9444,2,O, 
50,1,N (N),6,N,Y,0.2619,0.8888,2,O, 
51,1,N (N),6,N,Y,0.2357,0.6842,2,O, 
52,1,N (N),6,N,Y,0.2142,0.6842,2,O, 
53,1,N (N),6,N,N,1.0000,0.8333,4,O, 
54,1,N (N),5,N,Y,0.2785,1.0000,2,O, 
55,1,N (N),5,N,Y,0.2777,0.8888,2,O, 
56,1,N (N),4,Y,Y,0.9357,0.9473,4,O, 
57,1,N (N),4,N,Y,0.7785,0.9473,4,O, 
