순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,N,Y,0.4222,0.7368,3,O, 
1,36,N (N),6,N,Y,0.4222,0.7368,3,O, 
2,36,N (N),2,Y,N,1.0000,1.0000,4,O, 
3,36,N (N),1,Y,Y,0.8925,0.1052,4,O, 
4,35,N (N),6,N,Y,0.7714,0.9473,4,O, 
5,35,N (N),3,N,Y,0.8433,0.9473,5,O, 
6,27,N (N),6,N,Y,0.7380,0.7777,4,O, 
7,26,N (N),6,N,N,0.7703,1.0000,4,O, 
8,25,N (N),6,N,Y,0.7142,0.8333,4,O, 
9,25,N (N),6,N,Y,0.6857,0.8421,4,O, 
10,25,N (N),6,N,Y,0.4214,0.8421,3,O, 
11,23,N (N),6,N,Y,0.4814,0.8421,3,O, 
12,22,N (N),6,N,Y,0.2888,1.0000,2,O, 
13,22,N (N),5,Y,N,0.9682,1.0000,4,O, 
14,21,N (N),6,N,Y,0.5000,0.8881,3,O, 
15,20,N (N),6,Y,Y,0.9126,0.9444,4,O, 
16,20,N (N),6,N,Y,0.2518,0.8421,2,O, 
17,19,N (N),6,N,Y,0.5571,0.9473,3,O, 
18,16,N (N),6,Y,Y,0.7301,0.8333,4,O, 
19,16,N (N),6,N,Y,0.3285,0.3157,3,O, 
20,16,N (N),4,N,Y,0.1851,0.5789,2,O, 
21,15,N (N),6,N,Y,0.8809,0.6666,4,O, 
22,15,N (N),6,N,Y,0.6259,0.8947,3,O, 
23,15,N (N),6,N,Y,0.3809,0.7777,2,O, 
24,15,N (N),6,N,Y,0.2460,0.9444,2,O, 
25,15,N (N),4,N,Y,0.8614,0.9473,5,O, 
26,15,N (N),4,N,N,0.9000,0.6315,4,O, 
27,14,N (N),6,N,Y,0.3571,0.7894,2,O, 
28,14,N (N),4,N,Y,0.2888,0.8421,2,O, 
29,12,N (N),6,N,Y,0.8095,0.7777,4,O, 
30,12,N (N),6,N,Y,0.6642,1.0000,3,O, 
31,12,N (N),6,N,Y,0.2539,0.6944,2,O, 
32,12,N (N),6,N,Y,0.1925,0.5263,2,O, 
33,11,N (N),6,N,Y,0.5071,0.9473,3,O, 
34,11,N (N),6,N,Y,0.2460,0.7500,2,O, 
35,10,N (N),6,Y,Y,1.0000,1.0000,4,O, 
36,10,N (N),6,N,Y,0.4285,0.8333,3,O, 
37,10,N (N),6,N,Y,0.2740,0.9473,2,O, 
38,10,N (N),5,N,Y,0.2185,0.7105,2,O, 
39,9,N (N),5,N,Y,0.2698,0.8888,2,O, 
40,9,N (N),4,N,Y,0.6349,1.0000,3,O, 
41,8,N (N),6,N,Y,0.6370,1.0000,3,O, 
42,8,N (N),6,N,Y,0.2666,0.8421,2,O, 
43,8,N (N),6,N,Y,0.2642,0.8947,2,O, 
44,8,N (N),5,Y,Y,0.9761,0.6666,4,O, 
45,7,N (N),6,N,Y,0.8074,0.9473,4,O, 
46,7,N (N),4,N,Y,1.0000,1.0000,4,O, 
47,6,N (N),6,N,Y,0.7460,1.0000,4,O, 
48,6,N (N),6,N,Y,0.5000,0.8333,3,O, 
49,5,N (N),6,N,Y,0.5079,0.7777,3,O, 
50,5,N (N),6,N,Y,0.2962,1.0000,2,O, 
51,5,N (N),6,N,Y,0.2740,0.7368,2,O, 
52,5,N (N),6,N,N,0.1851,0.7368,2,O, 
53,4,N (N),6,N,Y,0.5428,0.7894,4,O, 
54,4,N (N),6,N,Y,0.5000,0.9210,3,O, 
55,4,N (N),6,N,Y,0.2666,0.8421,2,O, 
56,4,N (N),5,N,Y,0.2629,0.8947,2,O, 
57,3,N (N),6,N,Y,0.2785,1.0000,2,O, 
58,3,N (N),6,N,N,0.8015,1.0000,4,O, 
59,3,N (N),5,N,Y,0.3111,1.0000,2,O, 
60,2,N (N),6,N,Y,0.8174,1.0000,4,O, 
61,2,N (N),6,N,Y,0.8148,0.8947,4,O, 
62,2,N (N),6,N,Y,0.7063,1.0000,4,O, 
63,2,N (N),6,N,Y,0.4666,0.7368,3,O, 
64,2,N (N),6,N,Y,0.4126,1.0000,2,O, 
65,2,N (N),6,N,Y,0.2888,1.0000,2,O, 
66,2,N (N),6,N,Y,0.2814,0.9473,2,O, 
67,2,N (N),6,N,Y,0.2460,0.8611,2,O, 
68,2,N (N),6,N,N,0.4518,0.7894,3,O, 
69,1,N (N),5,N,N,0.6587,0.6666,4,O,* 
70,1,N (N),6,Y,Y,0.8809,1.0000,4,O, 
71,1,N (N),6,N,Y,1.0000,0.0555,4,O, 
72,1,N (N),6,N,Y,0.6349,0.9444,3,O, 
73,1,N (N),6,N,Y,0.6000,0.9473,3,O, 
74,1,N (N),6,N,Y,0.5714,1.0000,3,O, 
75,1,N (N),6,N,Y,0.5476,0.8333,3,O, 
76,1,N (N),6,N,Y,0.5079,0.8888,3,O, 
77,1,N (N),6,N,Y,0.4518,0.9473,3,O, 
78,1,N (N),6,N,Y,0.3851,0.7894,2,O, 
79,1,N (N),6,N,Y,0.3253,1.0000,2,O, 
80,1,N (N),6,N,Y,0.3111,0.8947,2,O, 
81,1,N (N),6,N,Y,0.3037,0.9473,2,O, 
82,1,N (N),6,N,Y,0.2857,1.0000,2,O, 
83,1,N (N),6,N,Y,0.2814,0.9473,2,O, 
84,1,N (N),6,N,Y,0.2777,0.8157,2,O, 
85,1,N (N),6,N,Y,0.2740,0.9473,2,O, 
86,1,N (N),6,N,Y,0.2740,0.8947,2,O, 
87,1,N (N),6,N,Y,0.2740,0.8947,2,O, 
88,1,N (N),6,N,Y,0.2666,0.8421,2,O, 
89,1,N (N),6,N,Y,0.2629,1.0000,2,O, 
90,1,N (N),6,N,Y,0.2592,0.8947,2,O, 
