순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,Y,N,0.9777,1.0000,4,O, 
1,36,N (N),6,Y,N,0.9777,1.0000,4,O, 
2,36,N (N),6,N,Y,1.0000,0.8095,4,O, 
3,36,N (N),6,N,Y,0.8444,0.9473,4,O, 
4,36,N (N),6,N,Y,0.8357,1.0000,4,O, 
5,36,N (N),6,N,Y,0.2785,1.0000,2,O, 
6,35,N (N),6,N,Y,0.8214,1.0000,4,O, 
7,35,N (N),6,N,Y,0.6666,1.0000,3,O, 
8,35,N (N),3,Y,Y,0.9920,0.7222,4,O, 
9,32,N (N),6,N,Y,0.2571,0.8421,2,O, 
10,31,N (N),6,N,Y,0.2740,1.0000,2,O, 
11,30,N (N),6,Y,Y,0.9682,1.0000,4,O, 
12,30,N (N),6,N,Y,0.6814,1.0000,3,O, 
13,30,N (N),6,N,Y,0.5148,0.6578,3,O, 
14,30,N (N),6,N,Y,0.2500,1.0000,2,O, 
15,30,N (N),5,N,Y,0.6428,0.6944,4,O, 
16,28,N (N),5,N,Y,0.6740,0.9473,3,O, 
17,27,N (N),6,N,Y,0.5317,0.8611,3,O, 
18,27,N (N),6,N,Y,0.2962,1.0000,2,O, 
19,26,N (N),6,N,Y,0.5634,0.5555,3,O, 
20,26,N (N),6,N,Y,0.3452,0.7777,2,O, 
21,25,N (N),6,Y,Y,0.8333,1.0000,4,O, 
22,25,N (N),6,N,Y,0.6444,0.8157,3,O, 
23,25,N (N),6,N,Y,0.5464,0.8157,3,O, 
24,25,N (N),6,N,Y,0.2962,1.0000,2,O, 
25,25,N (N),6,N,Y,0.2857,1.0000,2,O, 
26,24,N (N),6,N,Y,0.3000,1.0000,2,O, 
27,23,N (N),6,Y,Y,0.8888,1.0000,4,O, 
28,22,N (N),6,N,Y,0.6309,0.7777,3,O, 
29,22,N (N),6,N,Y,0.4892,1.0000,3,O, 
30,22,N (N),6,N,Y,0.2500,0.8750,2,O, 
31,21,N (N),6,N,Y,0.2857,1.0000,2,O, 
32,20,N (N),6,N,Y,0.7703,0.9473,4,O, 
33,20,N (N),6,N,Y,0.7619,0.3333,4,O, 
34,20,N (N),6,N,Y,0.3892,0.8157,2,O, 
35,20,N (N),6,N,Y,0.2539,0.7222,2,O, 
36,19,N (N),6,N,Y,0.8296,0.9473,4,O, 
37,19,N (N),6,N,Y,0.2857,1.0000,2,O, 
38,19,N (N),4,N,Y,0.5833,1.0000,3,O, 
39,18,N (N),6,N,Y,0.3253,1.0000,2,O, 
40,18,N (N),6,N,Y,0.3015,1.0000,2,O, 
41,18,N (N),6,N,Y,0.2857,1.0000,2,O, 
42,17,N (N),6,Y,Y,0.8333,0.8333,4,O, 
43,17,N (N),6,N,Y,0.2851,0.9736,2,O, 
44,16,N (N),6,N,Y,0.9801,0.7894,4,O, 
45,16,N (N),6,N,Y,0.9185,0.9473,4,O, 
46,16,N (N),6,N,Y,0.3015,0.9444,2,O, 
47,16,N (N),3,N,Y,0.5642,1.0000,3,O, 
48,15,N (N),6,N,Y,0.7738,0.8333,4,O, 
49,15,N (N),6,N,Y,0.7261,1.0000,3,O, 
50,15,N (N),6,N,Y,0.5873,0.8611,3,O, 
51,15,N (N),6,N,Y,0.3095,1.0000,2,O, 
52,15,N (N),6,N,Y,0.2740,0.8947,2,O, 
53,14,N (N),6,N,Y,0.8037,0.7894,4,O, 
54,14,N (N),5,Y,Y,0.8809,0.6666,4,O, 
55,13,N (N),6,N,Y,0.7380,1.0000,3,O, 
56,13,N (N),6,N,Y,0.3095,1.0000,2,O, 
57,13,N (N),6,N,Y,0.3000,1.0000,2,O, 
58,13,N (N),6,N,Y,0.2817,0.1666,2,O, 
59,12,N (N),6,N,Y,0.5079,0.8611,3,O, 
60,12,N (N),6,N,Y,0.4555,0.7894,3,O, 
61,12,N (N),6,N,Y,0.3666,0.9736,2,O, 
62,12,N (N),6,N,Y,0.3571,1.0000,2,O, 
63,12,N (N),6,N,Y,0.2817,1.0000,2,O, 
64,11,N (N),6,N,Y,0.6428,1.0000,3,O, 
65,10,N (N),6,Y,Y,0.8571,1.0000,4,O, 
66,10,N (N),6,N,Y,1.0000,0.6842,4,O, 
67,10,N (N),6,N,Y,0.3174,1.0000,2,O, 
68,10,N (N),6,N,Y,0.2936,1.0000,2,O, 
69,10,N (N),6,N,Y,0.2888,1.0000,2,O, 
70,10,N (N),5,N,Y,0.3174,1.0000,2,O, 
71,7,N (N),6,N,Y,0.8074,1.0000,4,O, 
72,7,N (N),6,N,Y,0.6904,1.0000,3,O, 
73,7,N (N),6,N,Y,0.2976,1.0000,2,O, 
74,6,N (N),6,N,Y,0.3095,1.0000,2,X, 
75,6,N (N),6,N,Y,0.2777,0.9444,2,X, 
76,5,N (N),6,N,Y,0.7698,1.0000,4,O, 
77,5,N (N),6,N,Y,0.7182,1.0000,3,O, 
78,5,N (N),6,N,Y,0.6626,1.0000,4,O, 
79,5,N (N),6,N,Y,0.2539,1.0000,2,X, 
80,5,N (N),6,N,Y,0.2539,0.8888,2,X, 
81,4,N (N),6,N,Y,0.8968,1.0000,4,O, 
82,4,N (N),6,N,Y,0.3095,0.8888,2,X, 
83,3,N (N),6,N,Y,0.6507,1.0000,3,O, 
84,2,N (N),6,N,Y,0.8253,0.8333,4,O, 
85,2,N (N),6,N,Y,0.7658,0.8611,4,O, 
86,2,N (N),6,N,Y,0.3037,1.0000,2,X, 
87,2,N (N),6,N,Y,0.3015,1.0000,2,X, 
88,2,N (N),6,N,Y,0.2666,1.0000,2,X, 
89,2,N (N),6,N,Y,0.2023,0.6666,2,X, 
90,1,N (N),6,Y,Y,1.0000,0.5000,4,O, 
91,1,N (N),6,Y,Y,0.8666,0.8947,4,O, 
92,1,N (N),6,N,Y,0.8968,0.8333,4,O, 
93,1,N (N),6,N,Y,0.5912,1.0000,3,O, 
94,1,N (N),6,N,Y,0.2817,1.0000,2,X, 
95,1,N (N),6,N,Y,0.2777,0.7222,2,X, 
