순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,N,Y,0.2142,0.8421,2,O,* 
1,36,N (N),6,N,Y,0.2142,0.8421,2,O,* 
2,36,N (N),6,Y,Y,0.9071,0.9473,4,O, 
3,36,N (N),6,Y,Y,0.8571,0.8333,4,O, 
4,36,N (N),6,N,Y,0.8370,1.0000,4,O, 
5,36,N (N),6,N,Y,0.8296,0.9473,4,O, 
6,36,N (N),6,N,Y,0.8214,0.7894,4,O, 
7,36,N (N),6,N,Y,0.7925,1.0000,4,O, 
8,36,N (N),6,N,Y,0.7428,0.9473,4,O, 
9,36,N (N),6,N,Y,0.6928,0.9473,3,O, 
10,36,N (N),6,N,Y,0.6892,0.9736,3,O, 
11,36,N (N),6,N,Y,0.6785,1.0000,3,O, 
12,36,N (N),6,N,Y,0.6746,1.0000,3,O, 
13,36,N (N),6,N,Y,0.6629,0.9736,3,O, 
14,36,N (N),6,N,Y,0.6571,0.7894,3,O, 
15,36,N (N),6,N,Y,0.6507,0.8333,3,O, 
16,36,N (N),6,N,Y,0.6500,0.9473,3,O, 
17,36,N (N),6,N,Y,0.6500,0.9473,3,O, 
18,36,N (N),6,N,Y,0.6500,0.8684,3,O, 
19,36,N (N),6,N,Y,0.6428,0.9473,3,O, 
20,36,N (N),6,N,Y,0.6357,0.9473,3,O, 
21,36,N (N),6,N,Y,0.6285,0.7894,3,O, 
22,36,N (N),6,N,Y,0.6214,1.0000,3,O, 
23,36,N (N),6,N,Y,0.6190,1.0000,3,O, 
24,36,N (N),6,N,Y,0.6142,0.9473,4,O, 
25,36,N (N),6,N,Y,0.6142,0.7894,3,O, 
26,36,N (N),6,N,Y,0.5857,0.8421,3,O, 
27,36,N (N),6,N,Y,0.5198,0.8611,3,O, 
28,36,N (N),6,N,Y,0.5071,0.7894,3,O, 
29,36,N (N),6,N,Y,0.5037,0.8421,3,O, 
30,36,N (N),6,N,Y,0.5000,0.7894,3,O, 
31,36,N (N),6,N,Y,0.5000,0.7894,3,O, 
32,36,N (N),6,N,Y,0.4857,1.0000,3,O, 
33,36,N (N),6,N,Y,0.4571,0.9736,3,O, 
34,36,N (N),6,N,Y,0.4535,1.0000,2,O, 
35,36,N (N),6,N,Y,0.4407,1.0000,2,O, 
36,36,N (N),6,N,Y,0.4404,1.0000,2,O, 
37,36,N (N),6,N,Y,0.4404,0.9166,2,O, 
38,36,N (N),6,N,Y,0.4392,0.9736,2,O, 
39,36,N (N),6,N,Y,0.4392,0.8684,2,O, 
40,36,N (N),6,N,Y,0.4321,0.9736,2,O, 
41,36,N (N),6,N,Y,0.4250,1.0000,2,O, 
42,36,N (N),6,N,Y,0.4185,0.8684,2,O, 
43,36,N (N),6,N,Y,0.4178,0.9736,2,O, 
44,36,N (N),6,N,Y,0.4148,0.9473,2,O, 
45,36,N (N),6,N,Y,0.4111,0.9736,2,O, 
46,36,N (N),6,N,Y,0.4111,0.8684,2,O, 
47,36,N (N),6,N,Y,0.4107,0.9736,2,O, 
48,36,N (N),6,N,Y,0.4107,0.9736,2,O, 
49,36,N (N),6,N,Y,0.4107,0.9736,2,O, 
50,36,N (N),6,N,Y,0.4087,0.8611,2,O, 
51,36,N (N),6,N,Y,0.4074,0.9473,2,O, 
52,36,N (N),6,N,Y,0.4071,0.9473,2,O, 
53,36,N (N),6,N,Y,0.4071,0.9473,2,O, 
54,36,N (N),6,N,Y,0.4037,0.8157,2,O, 
55,36,N (N),6,N,Y,0.4035,1.0000,2,O, 
56,36,N (N),6,N,Y,0.4000,0.8157,2,O, 
57,36,N (N),6,N,Y,0.3964,0.9736,2,O, 
58,36,N (N),6,N,Y,0.3928,0.9473,2,O, 
59,36,N (N),6,N,Y,0.3892,0.9736,2,O, 
60,36,N (N),6,N,Y,0.3892,0.7631,2,O, 
61,36,N (N),6,N,Y,0.3888,1.0000,2,O, 
62,36,N (N),6,N,Y,0.3857,0.9736,2,O, 
63,36,N (N),6,N,Y,0.3821,0.8157,2,O, 
64,36,N (N),6,N,Y,0.3785,0.8421,2,O, 
65,36,N (N),6,N,Y,0.3777,0.8157,2,O, 
66,36,N (N),6,N,Y,0.3714,0.9473,2,O, 
67,36,N (N),6,N,Y,0.3714,0.7894,2,O, 
68,36,N (N),6,N,Y,0.3531,0.8611,2,X, 
