순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,N,Y,0.5142,0.9473,3,O, 
1,36,N (N),6,N,Y,0.5142,0.9473,3,O, 
2,36,N (N),6,N,Y,0.5079,0.8333,3,O, 
3,36,N (N),6,N,Y,0.4714,0.8947,3,O, 
4,36,N (N),6,N,Y,0.4642,0.7894,3,O, 
5,28,N (N),6,N,Y,0.5071,0.8947,3,O, 
6,24,N (N),6,N,Y,0.7714,0.9473,4,O, 
7,23,N (N),6,N,Y,0.2380,0.6111,2,O, 
8,20,N (N),6,N,Y,0.7936,0.9444,4,O, 
9,20,N (N),5,N,Y,0.7571,0.7894,4,O, 
10,19,N (N),6,N,Y,0.3333,0.7368,2,O, 
11,18,N (N),6,N,Y,0.3111,0.8421,2,O, 
12,16,N (N),6,N,Y,0.5873,0.8333,3,O, 
13,16,N (N),5,N,Y,0.2619,0.8888,2,O, 
14,15,N (N),6,N,Y,0.8015,0.8333,4,O, 
15,15,N (N),6,N,Y,0.8000,0.9473,4,O, 
16,15,N (N),6,N,Y,0.2579,0.8611,2,O, 
17,15,N (N),6,N,Y,0.2500,0.9166,2,O, 
18,15,N (N),4,N,Y,0.9365,1.0000,4,O, 
19,14,N (N),5,N,Y,0.8129,0.8947,4,O, 
20,13,N (N),6,N,Y,0.3333,1.0000,2,O, 
21,12,N (N),6,N,Y,0.3412,0.8333,2,O, 
22,12,N (N),6,N,Y,0.3015,0.6666,2,O, 
23,12,N (N),6,N,Y,0.2857,1.0000,2,X, 
24,11,N (N),6,Y,Y,0.8571,1.0000,4,O, 
25,11,N (N),6,N,Y,0.7301,0.8333,4,X, 
26,11,N (N),6,N,Y,0.5952,0.8333,3,O, 
27,11,N (N),5,N,Y,0.8000,1.0000,4,X, 
28,10,N (N),6,N,Y,0.7936,0.6666,4,X, 
29,10,N (N),6,N,Y,0.4920,0.9444,3,O, 
30,10,N (N),6,N,Y,0.4523,0.8333,3,O, 
31,10,N (N),6,N,Y,0.2698,1.0000,2,X, 
32,10,N (N),6,N,Y,0.2444,0.8157,2,X, 
33,9,N (N),6,N,Y,0.7571,1.0000,4,X, 
34,8,N (N),6,N,Y,0.2857,1.0000,2,X, 
35,6,N (N),6,N,Y,0.4682,0.8333,3,X, 
36,6,N (N),6,N,Y,0.2619,1.0000,2,X, 
37,5,N (N),6,N,Y,0.4761,0.8333,3,X, 
38,2,N (N),5,Y,Y,0.9071,0.8947,4,X, 
39,2,N (N),5,N,Y,0.5555,1.0000,3,X, 
