순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,35,N (N),6,N,Y,0.7828,0.6875,2,O, 
1,35,N (N),6,N,Y,0.7828,0.6875,2,O, 
2,35,N (N),6,N,Y,0.7828,0.6458,2,O, 
3,24,N (N),6,N,Y,0.4296,0.8157,3,O, 
4,22,N (N),6,N,Y,0.7960,0.6458,2,O, 
5,18,N (N),5,N,Y,0.7368,0.6458,2,O, 
6,12,N (N),6,N,Y,0.8642,0.7894,4,O, 
7,10,N (N),6,N,Y,0.8092,0.6458,2,O, 
8,10,N (N),6,N,Y,0.6555,0.9736,3,O, 
9,7,N (N),5,N,Y,0.4325,0.8611,2,O, 
10,6,N (N),6,N,Y,0.7714,0.9473,4,O, 
11,5,N (N),6,N,Y,0.6349,0.8888,3,O, 
12,2,N (N),6,N,Y,0.6587,0.8611,3,O, 
13,2,N (N),6,N,Y,0.6142,1.0000,3,O, 
14,1,N (N),6,N,Y,0.5000,0.9375,3,O, 
15,1,N (N),6,N,Y,0.3925,0.8947,2,O, 
16,1,N (N),6,N,Y,0.2740,0.9473,2,X, 
