순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,N,Y,0.8174,1.0000,4,O, 
1,36,N (N),6,N,Y,0.8174,1.0000,4,O, 
2,36,N (N),6,N,Y,0.6825,0.7777,3,O, 
3,36,N (N),6,N,Y,0.5714,1.0000,3,O, 
4,36,N (N),6,N,Y,0.5277,0.7777,3,O, 
5,36,N (N),6,N,Y,0.5074,0.7894,3,O, 
6,36,N (N),6,N,Y,0.5064,0.9736,3,O, 
7,36,N (N),6,N,Y,0.4642,0.7368,3,O, 
8,36,N (N),6,N,Y,0.4592,0.5789,3,O, 
9,36,N (N),6,N,Y,0.2814,0.8421,2,O, 
10,36,N (N),6,N,Y,0.2714,1.0000,2,O, 
11,36,N (N),6,N,Y,0.2642,1.0000,2,O, 
12,36,N (N),6,N,Y,0.2301,0.8611,2,O, 
13,36,N (N),6,N,N,0.5238,0.9444,3,O, 
14,36,N (N),5,N,Y,0.7642,0.9473,4,O, 
15,36,N (N),5,N,Y,0.7214,0.7894,3,O, 
16,36,N (N),5,N,Y,0.6962,0.7894,4,O, 
17,36,N (N),5,N,Y,0.4857,0.9473,3,O, 
18,36,N (N),5,N,Y,0.4087,0.7500,2,O, 
19,36,N (N),5,N,Y,0.2857,1.0000,2,O, 
20,36,N (N),4,Y,Y,0.9185,0.9473,4,O, 
21,36,N (N),3,Y,Y,1.0000,0.8421,4,O, 
22,36,N (N),3,Y,Y,1.0000,0.6315,4,O, 
23,36,N (N),3,Y,N,1.0000,0.8421,4,O, 
24,36,N (N),3,N,Y,1.0000,0.5000,4,O, 
25,36,N (N),3,N,N,0.4888,0.7894,3,O, 
26,36,N (N),1,Y,Y,0.9851,0.7894,4,O, 
27,36,N (N),1,Y,N,0.9925,0.6315,4,O, 
28,36,N (N),1,N,Y,1.0000,1.0000,4,O, 
29,36,N (N),1,N,Y,0.9841,0.6666,4,O, 
30,35,N (N),6,N,Y,0.6447,1.0000,2,O, 
31,34,N (N),6,Y,Y,0.9928,0.6842,4,O, 
32,34,N (N),6,N,Y,0.7539,1.0000,4,O, 
33,34,N (N),6,N,Y,0.5296,0.9736,3,O, 
34,34,N (N),6,N,Y,0.2607,1.0000,2,O, 
35,34,N (N),6,N,Y,0.2571,0.9210,2,O, 
36,34,N (N),6,N,Y,0.2535,0.9210,2,O, 
37,33,N (N),6,N,Y,0.5333,0.9210,3,O, 
38,32,N (N),6,N,Y,0.2619,1.0000,2,O, 
39,31,N (N),6,N,Y,0.5285,1.0000,3,O, 
40,31,N (N),6,N,Y,0.5285,0.9473,3,O, 
41,31,N (N),3,Y,Y,0.9333,0.9473,4,O, 
42,30,N (N),6,N,Y,0.5674,1.0000,3,O, 
43,30,N (N),6,N,Y,0.5634,0.8333,4,O, 
44,30,N (N),6,N,Y,0.5555,0.8421,3,O, 
45,30,N (N),6,N,Y,0.5407,0.7894,3,O, 
46,30,N (N),6,N,Y,0.5000,0.8333,3,O, 
47,30,N (N),6,N,Y,0.3333,0.8888,2,O, 
48,30,N (N),6,N,Y,0.2888,1.0000,2,O, 
49,30,N (N),6,N,Y,0.2500,0.8333,2,O, 
50,30,N (N),4,N,Y,0.3015,1.0000,2,O, 
51,29,N (N),6,Y,Y,0.8571,1.0000,4,O, 
52,29,N (N),6,N,Y,0.5142,1.0000,3,O, 
53,29,N (N),6,N,Y,0.2936,1.0000,2,O, 
54,29,N (N),6,N,Y,0.2857,0.9444,2,O, 
55,29,N (N),6,N,Y,0.2857,0.8888,2,O, 
56,29,N (N),6,N,Y,0.2698,1.0000,2,O, 
57,29,N (N),6,N,Y,0.2539,0.8888,2,O, 
58,29,N (N),5,N,Y,0.3777,0.6315,2,O, 
59,29,N (N),5,N,Y,0.2222,0.8421,2,O, 
60,28,N (N),6,N,Y,0.7777,0.8947,4,O, 
61,28,N (N),6,N,Y,0.3253,1.0000,2,O, 
62,28,N (N),6,N,Y,0.3174,1.0000,2,O, 
63,28,N (N),6,N,Y,0.3095,1.0000,2,O, 
64,28,N (N),6,N,Y,0.2936,1.0000,2,O, 
65,28,N (N),6,N,Y,0.2896,1.0000,2,O, 
66,28,N (N),6,N,Y,0.2777,0.9444,2,O, 
67,28,N (N),6,N,Y,0.2777,0.8888,2,O, 
68,28,N (N),6,N,Y,0.2619,0.8888,2,O, 
69,28,N (N),6,N,Y,0.2539,0.9444,2,O, 
70,28,N (N),6,N,Y,0.2023,0.7777,2,O, 
71,28,N (N),5,Y,Y,0.8968,1.0000,4,O, 
72,28,N (N),5,N,Y,0.5654,0.9722,3,O, 
73,28,N (N),5,N,Y,0.2698,0.8888,2,O, 
74,28,N (N),3,Y,Y,0.8296,1.0000,4,O, 
75,27,N (N),6,N,Y,0.7703,1.0000,4,O, 
76,27,N (N),6,N,Y,0.6428,1.0000,3,O, 
77,27,N (N),6,N,Y,0.5952,1.0000,3,O, 
78,27,N (N),6,N,Y,0.5714,1.0000,3,O, 
79,27,N (N),5,N,Y,0.8095,0.7777,4,O, 
80,27,N (N),5,N,Y,0.2666,0.8947,2,O, 
81,26,N (N),6,N,Y,0.2962,0.3684,3,O,* 
82,26,N (N),6,N,Y,0.8222,1.0000,4,O, 
83,26,N (N),6,N,Y,0.5789,0.8750,2,O, 
84,26,N (N),6,N,Y,0.5037,0.8157,3,O, 
85,26,N (N),6,N,Y,0.4185,0.7631,2,O, 
86,26,N (N),6,N,Y,0.3928,0.9473,2,O, 
87,26,N (N),6,N,Y,0.3412,0.8333,2,O, 
88,26,N (N),6,N,Y,0.3412,0.8333,2,O, 
89,26,N (N),6,N,Y,0.2936,1.0000,2,O, 
90,26,N (N),6,N,Y,0.2698,0.8611,2,O, 
91,26,N (N),6,N,Y,0.2666,0.8421,2,O, 
92,26,N (N),6,N,Y,0.2460,0.9444,2,O, 
93,26,N (N),6,N,Y,0.2341,0.7222,2,O, 
94,26,N (N),5,N,Y,0.2619,0.8333,2,O, 
95,26,N (N),3,N,N,0.7071,0.9473,4,O, 
96,25,N (N),6,N,Y,0.7785,1.0000,4,O, 
97,25,N (N),6,N,Y,0.2964,0.9736,2,O, 
98,25,N (N),6,N,Y,0.2888,1.0000,2,O, 
99,25,N (N),6,N,Y,0.2857,0.8888,2,O, 
100,25,N (N),6,N,Y,0.2666,0.7894,2,O, 
101,25,N (N),6,N,Y,0.2619,0.8888,2,O, 
102,25,N (N),6,N,Y,0.2619,0.8888,2,O, 
103,25,N (N),6,N,Y,0.2261,0.6944,2,O, 
104,25,N (N),6,N,N,0.4603,1.0000,3,O, 
105,25,N (N),5,N,Y,0.6726,1.0000,3,O, 
106,25,N (N),5,N,Y,0.5317,0.8333,3,O, 
107,25,N (N),5,N,Y,0.3259,0.7894,2,O, 
108,24,N (N),6,N,Y,0.6074,0.9473,3,O, 
109,24,N (N),6,N,Y,0.6031,1.0000,3,O, 
110,24,N (N),6,N,Y,0.5158,0.8333,3,O, 
111,24,N (N),6,N,Y,0.4962,0.9210,3,O, 
112,24,N (N),6,N,Y,0.3968,0.7777,2,O, 
113,24,N (N),6,N,Y,0.2936,0.8333,2,O, 
114,24,N (N),6,N,Y,0.2857,0.9444,2,O, 
115,24,N (N),6,N,Y,0.2777,1.0000,2,O, 
