순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,N,Y,0.3555,0.6842,2,O, 
1,36,N (N),6,N,Y,0.3555,0.6842,2,O, 
2,35,N (N),4,Y,Y,1.0000,1.0000,4,O, 
3,30,N (N),5,N,Y,0.6507,0.7222,3,O, 
4,23,N (N),6,N,Y,0.6185,0.9473,3,O, 
5,23,N (N),6,N,Y,0.6150,1.0000,3,O, 
6,20,N (N),4,N,Y,0.6888,0.6315,4,O, 
7,18,N (N),6,N,Y,0.7111,1.0000,4,O, 
8,16,N (N),5,N,Y,0.5000,0.8750,3,O, 
9,15,N (N),6,Y,Y,0.8285,0.7894,4,O, 
10,15,N (N),4,N,Y,0.7500,0.8750,4,O, 
11,12,N (N),6,N,Y,0.2285,0.9473,2,O, 
12,8,N (N),6,N,Y,0.2619,0.9444,2,O, 
13,7,N (N),6,N,Y,0.3611,0.8611,2,O, 
14,6,N (N),6,N,Y,0.5666,0.8684,3,O, 
15,1,N (N),6,N,Y,1.0000,0.3157,4,O, 
16,1,N (N),6,N,Y,0.8142,0.7916,3,O, 
17,1,N (N),6,N,Y,0.5037,0.8421,3,O, 
18,1,N (N),5,N,Y,0.8071,0.8958,3,O, 
