순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,N,Y,0.4035,1.0000,2,O, 
1,36,N (N),6,N,Y,0.4035,1.0000,2,O, 
2,36,N (N),6,N,Y,0.3678,0.7105,2,O, 
3,36,N (N),6,N,N,1.0000,0.7222,4,O, 
4,36,N (N),5,Y,Y,0.9285,0.9473,4,O, 
5,36,N (N),5,Y,Y,0.9214,0.9473,4,O, 
6,36,N (N),5,Y,Y,0.8607,0.5789,4,O, 
7,36,N (N),3,Y,Y,0.9571,0.1578,4,O, 
8,34,N (N),6,N,Y,0.6500,0.8157,3,O, 
9,34,N (N),6,N,Y,0.5785,1.0000,3,O, 
10,33,N (N),6,N,Y,0.6296,0.7894,3,O, 
11,30,N (N),6,N,Y,0.3296,0.7105,2,O, 
12,30,N (N),5,N,Y,0.8650,1.0000,4,O, 
13,29,N (N),6,N,Y,0.8134,0.6944,4,O, 
14,27,N (N),4,N,Y,0.5515,0.9444,3,O, 
15,25,N (N),6,N,Y,0.7629,0.9473,4,O, 
16,25,N (N),5,Y,Y,0.9142,0.8421,4,O, 
17,25,N (N),5,N,Y,0.8071,0.6315,4,O, 
18,22,N (N),4,N,Y,0.3821,0.7631,2,O, 
19,20,N (N),6,N,Y,0.7555,0.9473,4,O, 
20,20,N (N),6,N,Y,0.7539,0.8888,4,O, 
21,20,N (N),6,N,Y,0.4007,0.8611,2,O, 
22,19,N (N),6,Y,Y,1.0000,0.7894,4,O, 
23,18,N (N),5,Y,Y,0.9126,1.0000,4,O, 
24,15,N (N),6,N,Y,0.7698,0.8333,4,O, 
25,15,N (N),6,N,Y,0.7296,0.9736,4,O, 
26,15,N (N),6,N,Y,0.4563,1.0000,2,O, 
27,15,N (N),6,N,Y,0.3849,0.6944,3,O, 
28,15,N (N),6,N,N,0.7440,0.6666,4,O, 
29,14,N (N),6,N,Y,0.8357,0.6842,4,O, 
30,14,N (N),5,N,Y,0.6071,0.9166,3,O, 
31,13,N (N),6,N,Y,0.6984,0.6666,4,O, 
32,13,N (N),6,N,Y,0.3095,1.0000,2,O, 
33,12,N (N),6,N,Y,0.6666,0.7222,3,O, 
34,12,N (N),6,N,Y,0.6518,0.9473,3,O, 
