순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,N,Y,0.6785,0.6315,4,O, 
1,36,N (N),6,N,Y,0.6785,0.6315,4,O, 
2,18,N (N),6,N,Y,0.7500,0.8750,4,O, 
3,15,N (N),6,N,Y,0.4801,1.0000,2,O, 
4,12,N (N),6,N,Y,0.4285,1.0000,2,O, 
5,5,N (N),6,Y,Y,0.8968,0.1666,4,O, 
6,3,N (N),6,N,Y,0.9285,0.9444,4,O, 
7,3,N (N),6,N,Y,0.4785,0.8157,3,O, 
8,2,N (N),6,N,Y,0.7703,0.8421,4,O, 
9,1,N (N),6,Y,Y,0.9333,1.0000,4,O, 
10,1,N (N),6,Y,Y,0.9142,0.7894,4,O, 
11,1,N (N),6,Y,Y,0.8500,0.9473,4,O, 
12,1,N (N),6,N,Y,0.4333,1.0000,2,O, 
13,1,N (N),6,N,Y,0.4285,1.0000,2,O, 
14,1,N (N),5,N,Y,0.5674,1.0000,3,O, 
