순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,Y,Y,0.9206,0.6666,4,O, 
1,36,N (N),6,Y,Y,0.9206,0.6666,4,O, 
2,36,N (N),6,Y,Y,0.9071,0.8157,4,O, 
3,36,N (N),6,Y,Y,0.8968,1.0000,4,O, 
4,36,N (N),6,Y,Y,0.8333,0.4444,4,O, 
5,36,N (N),6,Y,Y,0.7962,0.9473,4,O, 
6,36,N (N),6,N,Y,0.9285,0.6666,4,O, 
7,36,N (N),6,N,Y,0.8492,0.9722,4,O, 
8,36,N (N),6,N,Y,0.7259,0.6578,4,O, 
9,36,N (N),6,N,Y,0.6746,1.0000,3,O, 
10,36,N (N),6,N,Y,0.6150,0.9722,3,O, 
11,36,N (N),6,N,Y,0.6111,1.0000,3,O, 
12,36,N (N),6,N,Y,0.5740,0.9736,3,O, 
13,36,N (N),6,N,Y,0.5436,1.0000,3,O, 
14,36,N (N),6,N,Y,0.5436,0.8333,3,O, 
15,36,N (N),6,N,Y,0.5000,0.8421,3,O, 
16,36,N (N),6,N,Y,0.5000,0.7500,3,O, 
17,36,N (N),6,N,Y,0.4148,0.9736,2,O, 
18,36,N (N),6,N,Y,0.3849,0.8611,2,O, 
19,36,N (N),6,N,Y,0.3095,1.0000,2,O, 
20,36,N (N),6,N,Y,0.2976,1.0000,2,O, 
21,36,N (N),6,N,Y,0.2925,0.7105,2,O, 
22,36,N (N),6,N,Y,0.2888,0.8421,2,O, 
23,36,N (N),6,N,Y,0.2857,0.8888,2,O, 
24,36,N (N),6,N,Y,0.2740,0.8421,2,O, 
25,36,N (N),5,N,Y,0.8095,1.0000,4,O, 
26,36,N (N),5,N,Y,0.7460,1.0000,3,O, 
27,36,N (N),4,N,Y,0.8214,1.0000,4,O, 
28,35,N (N),6,Y,Y,0.9111,1.0000,4,O, 
29,35,N (N),4,Y,Y,1.0000,1.0000,4,O, 
30,35,N (N),2,Y,Y,0.9714,0.2105,4,O, 
31,33,N (N),6,N,Y,0.5571,1.0000,3,O, 
32,31,N (N),6,Y,Y,0.9324,0.9736,4,O, 
33,31,N (N),6,N,Y,0.3611,0.8333,2,O, 
34,29,N (N),6,N,Y,0.2370,0.7894,2,O, 
35,26,N (N),6,Y,Y,0.9126,1.0000,4,O, 
36,25,N (N),6,N,Y,0.5333,0.9736,3,O, 
37,24,N (N),6,N,Y,0.4925,0.9473,3,O, 
38,24,N (N),5,N,Y,0.5079,0.6666,3,O, 
39,22,N (N),6,Y,Y,0.8814,0.7368,4,O, 
40,21,N (N),6,Y,Y,0.9206,1.0000,4,X, 
41,21,N (N),6,N,Y,0.5793,0.9166,3,O, 
42,21,N (N),6,N,Y,0.5396,0.8888,3,O, 
43,20,N (N),3,Y,Y,1.0000,0.6315,4,X, 
44,19,N (N),6,N,Y,0.8740,0.6842,4,X, 
45,18,N (N),6,N,Y,0.8571,1.0000,4,X, 
46,18,N (N),6,N,Y,0.3095,0.9444,2,O, 
47,18,N (N),5,N,Y,0.2777,0.9166,2,O, 
48,17,N (N),6,N,Y,0.5148,0.6315,3,X, 
49,17,N (N),5,N,Y,0.7619,1.0000,4,X, 
50,15,N (N),6,N,Y,0.7571,0.6315,4,X, 
51,15,N (N),6,N,Y,0.6285,1.0000,3,X, 
52,15,N (N),6,N,Y,0.6111,1.0000,3,X, 
53,15,N (N),6,N,Y,0.5873,1.0000,3,X, 
54,14,N (N),6,N,Y,0.3015,1.0000,2,O, 
55,13,N (N),6,N,Y,0.2936,1.0000,2,O, 
56,13,N (N),6,N,Y,0.2444,0.8947,2,O, 
57,12,N (N),6,N,Y,0.3015,1.0000,2,O, 
58,10,N (N),6,N,Y,1.0000,0.7894,4,X, 
59,10,N (N),6,N,Y,0.3015,1.0000,2,X, 
60,10,N (N),5,N,Y,0.3571,0.8611,2,X, 
61,9,N (N),6,N,Y,0.5992,0.8333,3,X, 
62,6,N (N),6,N,Y,0.1851,0.6315,2,X, 
63,5,N (N),6,N,Y,0.3703,0.9736,2,X, 
64,4,N (N),6,N,Y,0.3373,1.0000,2,X, 
65,2,N (N),6,N,Y,0.5071,0.9736,3,X, 
66,1,N (N),6,Y,Y,1.0000,0.8421,4,X, 
67,1,N (N),6,Y,Y,1.0000,0.1666,4,X, 
68,1,N (N),6,N,Y,0.8650,1.0000,4,X, 
69,1,N (N),6,N,Y,0.8571,1.0000,4,X, 
70,1,N (N),6,N,Y,0.8000,1.0000,4,X, 
71,1,N (N),5,Y,Y,0.9500,0.8947,4,X, 
