순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,N,Y,0.3230,1.0000,2,O, 
1,36,N (N),6,N,Y,0.3230,1.0000,2,O, 
2,34,N (N),6,Y,Y,0.9928,0.8421,4,O, 
3,24,N (N),6,Y,Y,1.0000,0.6315,4,O, 
4,18,N (N),4,Y,Y,0.9206,1.0000,4,O, 
5,15,N (N),6,Y,Y,0.9285,1.0000,4,O, 
6,15,N (N),6,N,Y,0.3015,1.0000,2,O, 
7,13,N (N),6,N,Y,0.3253,1.0000,2,O, 
8,12,N (N),6,N,Y,0.8214,1.0000,4,O, 
9,9,N (N),6,Y,Y,0.8888,0.8611,4,O, 
10,3,N (N),6,Y,Y,0.8407,0.8421,4,X, 
11,2,N (N),6,N,Y,0.8214,0.8947,4,X, 
12,2,N (N),6,N,Y,0.7357,1.0000,4,X, 
13,2,N (N),6,N,Y,0.3015,1.0000,2,O, 
14,1,N (N),6,N,Y,0.7460,1.0000,3,O, 
15,1,N (N),6,N,Y,0.6190,1.0000,3,O, 
16,1,N (N),6,N,Y,0.5571,1.0000,3,O, 
17,1,N (N),6,N,Y,0.3777,0.8157,2,O, 
18,1,N (N),6,N,Y,0.2962,1.0000,2,O, 
19,1,N (N),6,N,Y,0.2619,0.8888,2,X, 
20,1,N (N),5,Y,Y,0.9206,0.8333,4,X, 
