순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,N,Y,0.2592,0.9473,2,O, 
1,36,N (N),6,N,Y,0.2592,0.9473,2,O, 
2,36,N (N),5,N,Y,0.6746,0.8055,4,O, 
3,35,N (N),6,N,Y,0.7500,0.8421,4,O, 
4,35,N (N),2,Y,Y,1.0000,0.6315,4,O, 
5,30,N (N),6,N,Y,0.6428,1.0000,3,O, 
6,29,N (N),6,N,Y,0.9555,0.7368,4,O, 
7,28,N (N),6,N,Y,0.2714,0.9736,2,O, 
8,28,N (N),6,N,N,0.8650,1.0000,4,O, 
9,28,N (N),4,N,Y,0.7857,1.0000,4,O, 
10,27,N (N),6,N,Y,0.2740,1.0000,2,O, 
11,26,N (N),6,N,Y,0.5357,0.8888,3,O, 
12,26,N (N),6,N,Y,0.2592,0.9473,2,O, 
13,25,N (N),6,N,Y,0.2888,0.9473,2,O, 
14,25,N (N),6,N,Y,0.2592,0.9473,2,O, 
15,25,N (N),4,Y,Y,0.9071,0.9473,4,O, 
16,24,N (N),6,Y,Y,0.8888,0.8333,4,O, 
17,24,N (N),6,N,Y,0.3531,1.0000,2,O, 
18,24,N (N),6,N,Y,0.2592,0.9210,2,O, 
19,23,N (N),6,N,Y,0.2698,1.0000,2,O, 
20,22,N (N),6,N,Y,0.2666,0.8947,2,O, 
21,22,N (N),5,N,Y,0.2444,0.8421,2,O, 
22,21,N (N),6,N,Y,0.2888,1.0000,2,O, 
23,20,N (N),6,Y,Y,0.9206,0.8333,4,O, 
24,20,N (N),6,N,Y,0.2976,1.0000,2,O, 
25,20,N (N),6,N,Y,0.2785,1.0000,2,O, 
26,20,N (N),6,N,Y,0.2539,0.8333,2,O, 
27,20,N (N),6,N,Y,0.2333,0.8157,2,O, 
28,19,N (N),6,N,Y,0.2814,0.9473,2,O, 
29,19,N (N),6,N,Y,0.2698,0.8888,2,O, 
30,18,N (N),6,N,Y,0.2738,0.9722,2,O, 
31,17,N (N),6,N,Y,0.3174,1.0000,2,O, 
32,15,N (N),6,N,Y,0.6944,1.0000,3,O, 
33,15,N (N),4,Y,Y,0.9047,1.0000,4,O, 
34,15,N (N),4,N,Y,0.2962,1.0000,2,O, 
35,15,N (N),3,Y,Y,0.9142,0.5263,4,O, 
