순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),5,Y,Y,1.0000,0.6842,4,O, 
1,36,N (N),5,Y,Y,1.0000,0.6842,4,O, 
2,36,N (N),3,Y,N,1.0000,1.0000,4,O, 
3,31,N (N),6,N,Y,0.6296,1.0000,3,O, 
4,29,N (N),6,N,Y,0.4087,0.8611,2,O, 
5,23,N (N),5,N,Y,0.8857,0.7894,4,O, 
6,14,N (N),6,N,Y,0.4555,1.0000,2,O, 
7,12,N (N),6,N,Y,0.2619,1.0000,2,O, 
8,11,N (N),6,N,Y,0.4404,1.0000,2,O, 
9,10,N (N),6,N,Y,0.7222,0.9473,4,O, 
10,10,N (N),6,N,Y,0.5912,0.9166,3,O, 
11,10,N (N),6,N,Y,0.3392,0.6578,2,O, 
12,10,N (N),6,N,N,0.6269,0.8333,3,O, 
13,9,N (N),5,N,Y,0.3555,0.9473,2,O, 
14,7,N (N),6,N,Y,0.3849,0.8611,2,O, 
15,5,N (N),6,N,Y,0.6500,0.9473,3,O, 
16,5,N (N),6,N,Y,0.5793,1.0000,3,O, 
17,5,N (N),6,N,Y,0.5071,0.9736,3,O, 
18,5,N (N),6,N,Y,0.4206,1.0000,2,O, 
19,5,N (N),6,N,Y,0.3095,0.9444,2,O, 
20,4,N (N),6,N,Y,0.6468,1.0000,3,O, 
21,4,N (N),6,N,Y,0.4404,0.8611,2,O, 
22,3,N (N),6,N,Y,0.4880,1.0000,2,O, 
23,3,N (N),6,N,Y,0.4642,1.0000,2,O, 
24,3,N (N),6,N,Y,0.4563,1.0000,2,O, 
25,3,N (N),6,N,Y,0.4185,0.9736,2,O, 
26,3,N (N),6,N,Y,0.2928,0.7894,2,O, 
27,2,N (N),6,Y,Y,0.9357,1.0000,4,O, 
28,2,N (N),6,Y,Y,0.8730,0.7777,4,O, 
29,2,N (N),6,N,Y,0.6592,0.9473,3,O, 
30,2,N (N),6,N,Y,0.4722,1.0000,2,O, 
31,2,N (N),6,N,Y,0.4246,1.0000,2,O, 
32,2,N (N),6,N,Y,0.4037,0.9736,2,O, 
33,2,N (N),6,N,Y,0.3666,0.5526,2,O, 
34,2,N (N),6,N,Y,0.2888,1.0000,2,O, 
35,1,N (N),6,Y,Y,0.9761,0.7894,4,O, 
36,1,N (N),6,Y,Y,0.9484,0.6666,4,O, 
37,1,N (N),6,Y,Y,0.9285,0.9473,4,O, 
38,1,N (N),6,Y,Y,0.9178,0.8421,4,O, 
39,1,N (N),6,Y,Y,0.9047,0.5000,4,O, 
40,1,N (N),6,Y,Y,0.8888,0.5000,4,O, 
41,1,N (N),6,Y,Y,0.8814,1.0000,4,O, 
42,1,N (N),6,N,Y,0.8174,1.0000,4,O, 
43,1,N (N),6,N,Y,0.7703,0.9473,4,O, 
44,1,N (N),6,N,Y,0.7222,1.0000,3,O, 
45,1,N (N),6,N,Y,0.6928,1.0000,3,O, 
46,1,N (N),6,N,Y,0.6785,1.0000,3,O, 
47,1,N (N),6,N,Y,0.6507,0.8333,3,O, 
48,1,N (N),6,N,Y,0.5317,1.0000,3,O, 
49,1,N (N),6,N,Y,0.5119,1.0000,2,O, 
50,1,N (N),6,N,Y,0.5039,1.0000,2,O, 
51,1,N (N),6,N,Y,0.4960,1.0000,2,O, 
52,1,N (N),6,N,Y,0.4960,1.0000,2,O, 
53,1,N (N),6,N,Y,0.4888,0.8684,3,O, 
54,1,N (N),6,N,Y,0.4801,1.0000,2,O, 
55,1,N (N),6,N,Y,0.4722,1.0000,2,O, 
56,1,N (N),6,N,Y,0.4703,0.9736,2,O, 
57,1,N (N),6,N,Y,0.4392,1.0000,2,O, 
58,1,N (N),6,N,Y,0.4285,1.0000,2,O, 
59,1,N (N),6,N,Y,0.4246,1.0000,2,O, 
60,1,N (N),6,N,Y,0.4246,1.0000,2,O, 
61,1,N (N),6,N,Y,0.4246,1.0000,2,O, 
62,1,N (N),6,N,Y,0.4206,1.0000,2,O, 
63,1,N (N),6,N,Y,0.4206,0.8333,2,O, 
64,1,N (N),6,N,Y,0.4107,1.0000,2,O, 
65,1,N (N),6,N,Y,0.4037,0.9736,2,O, 
66,1,N (N),6,N,Y,0.4037,0.8157,3,O, 
67,1,N (N),6,N,Y,0.4000,0.9473,2,O, 
68,1,N (N),6,N,Y,0.3968,1.0000,2,O, 
69,1,N (N),6,N,Y,0.3928,1.0000,2,O, 
70,1,N (N),6,N,Y,0.3925,0.7894,2,O, 
71,1,N (N),6,N,Y,0.3849,0.9166,2,O, 
72,1,N (N),6,N,Y,0.3849,0.8055,2,O, 
73,1,N (N),6,N,Y,0.3785,0.7894,2,O, 
74,1,N (N),6,N,Y,0.3607,0.7105,2,O, 
75,1,N (N),6,N,Y,0.3592,0.8684,2,O, 
76,1,N (N),6,N,Y,0.3492,0.8611,2,O, 
77,1,N (N),6,N,Y,0.3464,0.6578,2,O, 
78,1,N (N),6,N,Y,0.2579,0.8333,2,O, 
79,1,N (N),6,N,Y,0.2285,0.6842,2,O, 
80,1,N (N),5,Y,Y,0.9285,0.6666,4,O, 
81,1,N (N),5,N,Y,0.4111,1.0000,2,O, 
