순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,Y,Y,0.9047,0.6666,4,O, 
1,36,N (N),6,Y,Y,0.9047,0.6666,4,O, 
2,36,N (N),6,N,Y,0.4960,0.7857,3,O, 
3,36,N (N),6,N,Y,0.4250,0.7894,3,O, 
4,36,N (N),6,N,Y,0.4037,0.8157,2,O, 
5,36,N (N),6,N,Y,0.3888,0.9736,2,O, 
6,36,N (N),6,N,Y,0.3650,0.8611,2,O, 
7,36,N (N),6,N,Y,0.2678,0.8684,2,O, 
8,36,N (N),6,N,N,0.3769,0.6944,2,O, 
9,36,N (N),5,Y,Y,0.9185,1.0000,4,O, 
10,36,N (N),3,N,Y,0.7063,0.8333,4,O, 
11,35,N (N),4,N,Y,0.8095,1.0000,3,O, 
12,33,N (N),6,N,Y,0.7185,0.7894,3,O, 
13,32,N (N),6,N,N,0.3690,1.0000,2,O, 
14,31,N (N),6,N,Y,0.6259,0.8157,3,O, 
15,25,N (N),6,Y,Y,0.8666,0.9473,4,O, 
16,24,N (N),6,N,Y,0.3740,0.8157,2,O, 
17,24,N (N),6,N,Y,0.3690,0.8611,2,O, 
18,24,N (N),6,N,Y,0.2619,0.4444,2,O, 
19,22,N (N),6,Y,Y,0.8222,1.0000,4,O, 
20,22,N (N),6,N,Y,0.6296,0.9736,3,O, 
21,21,N (N),6,N,Y,0.6547,1.0000,3,O, 
22,20,N (N),6,N,Y,0.6825,0.9444,3,O, 
23,20,N (N),6,N,Y,0.5138,0.8157,3,O, 
24,19,N (N),6,N,Y,0.5892,1.0000,3,O, 
25,19,N (N),6,N,Y,0.3777,0.7894,2,O, 
26,16,N (N),6,N,Y,0.7777,0.7894,4,O, 
27,15,N (N),5,N,Y,0.6571,1.0000,3,O, 
28,12,N (N),6,N,Y,0.6222,1.0000,3,O, 
29,11,N (N),6,N,Y,0.6592,0.5000,4,O, 
30,10,N (N),6,N,N,0.8174,0.8333,4,O, 
31,8,N (N),6,N,Y,0.4087,0.8611,2,O, 
32,8,N (N),4,Y,Y,0.9142,1.0000,4,O, 
33,1,N (N),6,Y,Y,0.9047,0.6666,4,O, 
34,1,N (N),6,N,N,0.6190,0.8611,3,X, 
