순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,31,N (N),6,Y,Y,1.0000,0.4736,4,O, 
1,31,N (N),6,Y,Y,1.0000,0.4736,4,O, 
2,28,N (N),6,Y,Y,0.9047,1.0000,4,O, 
3,21,N (N),5,N,Y,0.7777,1.0000,4,O, 
4,20,N (N),6,Y,Y,0.8814,0.6842,4,O, 
5,15,N (N),6,N,Y,0.8055,0.8333,4,O, 
6,12,N (N),6,N,Y,0.7301,1.0000,3,O, 
7,12,N (N),5,N,Y,0.2500,0.8750,2,O, 
8,10,N (N),6,N,Y,0.8357,0.9473,4,O, 
9,10,N (N),6,N,Y,0.7555,0.7368,4,O, 
10,10,N (N),6,N,Y,0.7222,0.8611,3,O, 
11,5,N (N),6,Y,Y,0.8714,0.9473,4,O, 
12,5,N (N),6,N,Y,0.8888,0.8333,4,O, 
13,4,N (N),6,Y,Y,1.0000,0.5000,4,X, 
14,4,N (N),5,Y,Y,1.0000,0.0555,4,X, 
15,4,N (N),4,Y,Y,0.9444,0.8333,4,X, 
16,3,N (N),6,Y,Y,0.9333,0.7894,4,X, 
17,3,N (N),6,N,Y,0.2539,0.7777,2,O, 
18,2,N (N),6,Y,Y,1.0000,0.1578,4,X, 
19,1,N (N),6,Y,Y,0.9047,1.0000,4,X, 
20,1,N (N),6,N,Y,0.8968,1.0000,4,X, 
21,1,N (N),6,N,Y,0.6408,0.7500,3,O, 
22,1,N (N),6,N,Y,0.6074,0.8157,3,O, 
23,1,N (N),6,N,Y,0.2817,0.8055,2,O, 
