순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,18,Y (N),6,Y,Y,1.0000,1.0000,4,O, 
1,18,Y (N),6,Y,Y,1.0000,1.0000,4,O, 
2,18,Y (N),6,Y,Y,1.0000,1.0000,4,O, 
3,18,Y (Y),6,Y,Y,0.9111,1.0000,4,O, 
4,18,Y (Y),6,Y,Y,0.8962,0.6315,4,O, 
5,18,Y (Y),6,Y,Y,0.8370,0.9736,4,O, 
6,18,Y (Y),6,N,Y,1.0000,0.9473,4,O, 
7,18,Y (Y),6,N,Y,0.8444,0.6578,4,O, 
8,18,Y (Y),6,N,Y,0.8296,0.9473,4,O, 
9,18,Y (Y),6,N,Y,0.8296,0.7368,4,O, 
10,18,Y (Y),6,N,Y,0.8074,1.0000,4,O, 
11,18,Y (Y),6,N,Y,0.7629,0.8157,4,O, 
12,18,Y (Y),6,N,Y,0.6074,0.9736,4,O, 
13,18,Y (Y),6,N,Y,0.5777,0.9736,4,O, 
14,18,Y (Y),6,N,Y,0.3111,1.0000,2,O, 
15,18,Y (Y),5,N,Y,1.0000,0.9473,4,O, 
16,18,Y (Y),5,N,Y,0.3703,0.9736,2,O, 
17,18,N (N),6,Y,Y,0.9047,1.0000,4,O, 
18,18,N (N),6,Y,Y,0.8888,1.0000,4,O, 
19,18,N (N),6,Y,Y,0.8730,0.5000,4,O, 
20,18,N (N),6,Y,Y,0.8611,1.0000,4,O, 
21,18,N (N),6,N,Y,0.8666,1.0000,4,O, 
22,18,N (N),6,N,Y,0.8571,1.0000,4,O, 
23,18,N (N),6,N,Y,0.8492,1.0000,4,O, 
24,18,N (N),6,N,Y,0.8333,1.0000,4,O, 
25,18,N (N),6,N,Y,0.7619,1.0000,3,O, 
26,18,N (N),6,N,Y,0.7142,0.8888,3,X, 
27,18,N (N),6,N,Y,0.7063,1.0000,3,X, 
28,18,N (N),6,N,Y,0.6825,1.0000,3,X, 
29,18,N (N),6,N,Y,0.6587,0.8611,3,X, 
30,18,N (N),6,N,Y,0.6190,0.6666,3,X, 
31,18,N (N),6,N,Y,0.5952,0.9166,3,X, 
32,18,N (N),6,N,Y,0.5793,0.9166,3,X, 
33,18,N (N),6,N,Y,0.5753,1.0000,3,X, 
34,18,N (N),6,N,Y,0.5259,0.8684,3,X, 
35,18,N (N),6,N,Y,0.4000,0.6578,3,X, 
36,18,N (N),5,N,Y,0.7500,0.8750,4,X, 
37,18,N (N),5,N,Y,0.6587,1.0000,3,X, 
38,18,N (N),5,N,Y,0.1074,0.0000,2,X, 
39,18,N (N),4,Y,Y,0.9206,1.0000,4,X, 
40,18,N (N),4,Y,Y,0.8968,1.0000,4,X, 
41,18,N (N),4,N,Y,0.7817,1.0000,4,X, 
42,18,N (N),3,Y,Y,0.9285,1.0000,4,X, 
43,16,Y (Y),6,N,Y,0.6962,0.7894,4,X, 
44,14,Y (Y),6,N,Y,0.6148,0.7894,3,X, 
45,14,N (N),5,N,Y,0.4325,1.0000,2,X, 
46,12,N (N),6,N,Y,0.7738,1.0000,4,X, 
47,10,N (N),6,N,Y,0.7261,1.0000,3,X, 
48,10,N (N),4,Y,Y,0.8888,1.0000,4,X, 
49,6,Y (Y),6,N,Y,0.4518,1.0000,2,X, 
50,1,N (N),6,N,Y,0.8222,1.0000,4,X, 
