순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,12,Y (N),6,Y,Y,1.0000,1.0000,4,O, 
1,12,Y (N),6,Y,Y,1.0000,1.0000,4,O, 
2,12,Y (Y),6,Y,Y,1.0000,0.6315,4,O, 
3,12,Y (N),6,Y,Y,0.8962,0.9473,4,O, 
4,12,Y (N),6,N,Y,0.4563,0.9722,2,O, 
5,12,Y (Y),6,N,Y,0.2500,0.8881,2,O, 
6,12,Y (Y),6,N,N,0.5037,0.9736,3,O, 
7,12,Y (N),5,N,Y,0.8888,0.6666,4,O, 
8,12,Y (N),3,Y,Y,1.0000,0.9473,4,O, 
9,12,N (N),6,Y,Y,0.9571,0.9473,4,O, 
10,12,N (N),6,N,Y,0.5407,0.9736,3,O, 
11,12,N (N),5,Y,Y,0.9285,0.6666,4,O, 
12,11,N (N),6,N,Y,0.5428,0.7894,3,O, 
13,10,Y (N),6,Y,Y,1.0000,1.0000,4,O, 
14,10,Y (N),6,Y,Y,1.0000,1.0000,4,O, 
15,10,Y (N),6,N,Y,0.7857,1.0000,3,O, 
16,8,Y (N),6,N,Y,0.7037,0.9473,4,O, 
17,8,Y (N),6,N,Y,0.4087,0.9722,2,O, 
18,8,Y (Y),6,N,N,0.6148,0.7894,3,O, 
19,8,Y (Y),6,N,N,0.4222,1.0000,2,O, 
20,8,N (N),6,N,Y,1.0000,0.9473,4,O, 
21,4,Y (Y),6,Y,N,0.9037,1.0000,4,O, 
22,4,Y (N),6,N,Y,0.6825,1.0000,3,O, 
23,4,Y (Y),6,N,N,0.6444,0.9473,3,O, 
24,4,Y (Y),6,N,N,0.2444,0.8421,2,O, 
25,4,N (N),6,N,Y,0.7962,0.9473,4,O, 
26,4,N (N),6,N,Y,0.5214,1.0000,3,O, 
27,3,Y (N),6,N,Y,0.7380,1.0000,3,O, 
28,3,Y (Y),6,N,Y,0.5481,0.8157,3,O, 
29,3,Y (Y),6,N,N,0.5962,0.8157,3,O, 
30,3,N (N),6,N,Y,0.7222,1.0000,3,O, 
31,2,Y (Y),6,N,N,0.6962,0.9736,3,X, 
32,2,Y (Y),6,N,N,0.3814,0.8157,2,X, 
33,1,Y (N),6,N,Y,0.6555,1.0000,3,X, 
34,1,Y (Y),6,N,Y,0.5925,0.8684,4,X, 
35,1,Y (N),6,N,Y,0.5515,0.8611,3,X, 
