순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,Y (N),6,N,Y,0.8481,0.5000,4,O, 
1,36,Y (N),6,N,Y,0.8481,0.5000,4,O, 
2,36,Y (Y),6,N,Y,0.8074,0.9473,4,O, 
3,36,Y (Y),6,N,Y,0.7185,1.0000,3,O, 
4,36,Y (Y),6,N,Y,0.6962,0.7894,4,O, 
5,36,Y (Y),6,N,Y,0.5333,0.8684,3,O, 
6,36,Y (Y),6,N,Y,0.4666,0.7894,3,O, 
7,36,Y (Y),6,N,Y,0.3962,0.9736,2,O, 
8,36,Y (Y),6,N,Y,0.2851,0.9736,2,O, 
9,36,Y (Y),6,N,Y,0.2851,0.9736,2,O, 
10,36,Y (Y),5,N,Y,0.7925,1.0000,4,O, 
11,36,N (N),6,N,Y,1.0000,0.7894,4,O, 
12,36,N (N),6,N,Y,0.6984,1.0000,3,O, 
13,35,Y (Y),6,N,Y,0.6962,0.9736,3,O, 
14,35,Y (Y),6,N,Y,0.3407,1.0000,2,O, 
15,35,Y (Y),4,N,Y,0.9333,0.7894,4,O, 
16,34,Y (Y),6,Y,Y,0.8888,1.0000,4,O, 
17,34,Y (Y),6,N,Y,0.4370,0.9736,2,O, 
18,34,Y (Y),6,N,Y,0.2962,1.0000,2,O, 
19,34,Y (Y),6,N,Y,0.2888,1.0000,2,O, 
20,34,Y (Y),5,N,Y,0.2888,1.0000,2,O, 
21,33,Y (Y),6,N,Y,0.7555,0.9473,4,O, 
22,33,Y (Y),6,N,Y,0.6703,0.9736,4,O, 
23,33,Y (Y),6,N,Y,0.6296,0.9473,3,O, 
24,33,Y (Y),6,N,Y,0.6148,1.0000,3,O, 
25,33,Y (Y),6,N,Y,0.3037,1.0000,2,O, 
26,33,Y (Y),6,N,Y,0.2962,1.0000,2,O, 
27,33,Y (Y),6,N,Y,0.2666,0.8684,2,O, 
28,33,Y (Y),6,N,Y,0.2592,0.8684,2,O, 
29,33,Y (Y),6,N,Y,0.2444,1.0000,2,O, 
30,32,Y (Y),6,N,Y,0.8740,0.9473,4,O, 
31,32,Y (Y),6,N,Y,0.8000,1.0000,4,O, 
32,32,Y (Y),6,N,Y,0.3555,1.0000,2,O, 
33,32,Y (Y),6,N,Y,0.2851,0.9736,2,O, 
34,31,Y (Y),6,N,Y,0.6222,0.9736,3,O, 
35,31,Y (Y),6,N,Y,0.5333,0.8157,3,O, 
36,31,Y (Y),6,N,Y,0.4259,0.9736,2,O, 
37,31,Y (Y),6,N,Y,0.2888,1.0000,2,O, 
38,31,Y (Y),6,N,Y,0.2814,0.9473,2,O, 
39,30,Y (Y),6,N,Y,0.5259,0.8157,3,O, 
40,30,Y (Y),6,N,Y,0.5000,0.8881,3,O, 
41,30,Y (Y),6,N,Y,0.3111,0.8947,2,O, 
42,30,Y (Y),6,N,Y,0.3037,1.0000,2,O, 
43,30,Y (Y),6,N,Y,0.3037,1.0000,2,O, 
44,30,Y (Y),6,N,Y,0.2592,0.9473,2,O, 
45,30,Y (Y),6,N,Y,0.2555,0.8157,2,O, 
46,30,Y (Y),6,N,Y,0.2444,0.8421,2,X, 
47,30,Y (Y),5,Y,Y,0.9481,1.0000,4,X, 
48,30,Y (Y),5,N,Y,0.7925,0.9473,4,X, 
49,29,Y (Y),6,N,Y,0.5185,0.9736,3,X, 
50,29,Y (Y),6,N,Y,0.3185,1.0000,2,X, 
51,29,Y (Y),6,N,Y,0.2740,0.8947,2,X, 
52,28,Y (Y),6,N,Y,0.2962,1.0000,2,X, 
53,27,Y (Y),6,N,Y,0.8148,1.0000,3,X, 
54,27,Y (Y),6,N,Y,0.5407,1.0000,3,X, 
55,26,Y (Y),6,N,Y,0.2888,1.0000,2,X, 
56,25,Y (Y),6,N,Y,0.8629,1.0000,4,X, 
57,23,Y (Y),6,N,Y,0.5111,0.8157,3,X, 
58,17,Y (Y),6,N,Y,0.2444,0.8421,2,X, 
59,15,Y (Y),6,N,Y,0.7333,1.0000,3,X, 
60,15,N (N),6,N,Y,0.9126,1.0000,3,X, 
61,3,Y (Y),6,N,Y,0.6814,1.0000,3,X, 
62,1,N (N),6,Y,Y,0.9603,1.0000,4,X, 
