순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,12,N (N),6,N,Y,0.8814,0.6315,4,O, 
1,12,N (N),6,N,Y,0.8814,0.6315,4,O, 
2,12,N (N),6,N,Y,0.8222,0.7894,4,O, 
3,12,N (N),6,N,Y,0.6518,0.9736,3,O, 
4,12,N (N),6,N,Y,0.5407,0.8157,3,O, 
5,12,N (N),6,N,Y,0.5000,0.8881,3,O, 
6,12,N (N),6,N,Y,0.5000,0.6315,3,O, 
7,12,N (N),5,Y,Y,0.9555,0.6842,4,O, 
8,12,N (N),4,N,Y,0.7333,0.5000,4,O, 
9,10,N (N),6,N,Y,0.6148,0.6578,3,O, 
10,5,N (N),6,N,Y,0.6888,0.8421,3,O, 
11,3,N (N),6,N,Y,0.7037,0.6315,4,O, 
12,2,N (N),6,N,Y,0.8000,0.9473,4,O, 
13,2,N (N),6,N,Y,0.7629,0.8684,4,O, 
14,1,N (N),6,Y,Y,0.7481,0.9473,4,O, 
15,1,N (N),6,N,Y,0.5592,1.0000,3,O, 
16,1,N (N),6,N,Y,0.5481,0.8157,3,O, 
17,1,N (N),6,N,Y,0.5259,0.8157,3,O, 
18,1,N (N),6,N,Y,0.2962,1.0000,2,O, 
