순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,9,N (N),5,Y,Y,0.9851,0.7894,4,O, 
1,9,N (N),5,Y,Y,0.9851,0.7894,4,O, 
2,4,N (N),6,N,Y,0.2460,0.8611,2,O, 
3,2,N (N),6,N,Y,0.7777,1.0000,3,O, 
4,2,N (N),6,N,Y,0.5851,0.9210,3,O, 
5,2,N (N),6,N,Y,0.5037,0.8157,3,O, 
6,2,N (N),6,N,Y,0.4740,1.0000,3,O, 
7,2,N (N),6,N,Y,0.3253,1.0000,2,O, 
8,2,N (N),6,N,Y,0.2888,1.0000,2,O, 
9,1,N (N),6,Y,Y,1.0000,1.0000,4,O, 
10,1,N (N),6,N,Y,0.7703,0.8421,4,O, 
11,1,N (N),6,N,Y,0.6444,0.9736,3,O, 
12,1,N (N),6,N,Y,0.6428,0.8611,3,O, 
13,1,N (N),6,N,Y,0.6370,0.9736,3,O, 
14,1,N (N),6,N,Y,0.4037,0.8157,2,O, 
15,1,N (N),6,N,Y,0.3481,0.8157,2,O, 
16,1,N (N),6,N,Y,0.2740,1.0000,2,O, 
17,1,N (N),6,N,Y,0.2592,0.8947,2,O, 
