순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,27,Y (N),6,Y,Y,0.9365,0.7222,4,O, 
1,27,Y (N),6,Y,Y,0.9365,0.7222,4,O, 
2,20,N (N),5,N,Y,0.4563,0.8611,2,O, 
3,18,Y (Y),4,Y,Y,0.9259,1.0000,4,O, 
4,16,N (N),6,N,Y,0.4007,1.0000,2,O, 
5,10,Y (Y),6,N,Y,0.7555,0.9473,4,O, 
6,10,N (N),6,N,Y,0.7896,0.9444,4,O, 
7,9,N (N),6,N,Y,0.4404,0.9166,2,O, 
8,5,Y (Y),6,N,Y,0.3962,0.9736,2,O, 
9,5,N (N),6,N,Y,0.4325,0.8611,2,O, 
10,3,Y (Y),6,N,Y,0.4259,1.0000,2,O, 
11,3,Y (Y),6,N,Y,0.3962,0.9736,2,O, 
12,3,Y (Y),6,N,Y,0.2814,0.9473,2,O, 
13,3,N (N),6,N,Y,0.3928,1.0000,2,O, 
14,2,N (N),6,N,Y,0.4166,0.9166,2,O, 
15,1,Y (Y),6,Y,Y,1.0000,0.7894,4,O, 
16,1,Y (Y),6,Y,Y,0.9777,0.7368,4,O, 
17,1,Y (Y),6,N,Y,0.9111,1.0000,4,O, 
18,1,Y (Y),6,N,Y,0.6148,0.9473,3,O, 
19,1,N (N),6,N,Y,0.6904,1.0000,3,O, 
20,1,N (N),6,N,Y,0.3968,0.8888,2,O, 
