순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,13,N (N),6,N,Y,0.3000,1.0000,2,O, 
1,13,N (N),6,N,Y,0.3000,1.0000,2,O, 
2,10,Y (Y),6,N,Y,0.4777,0.8684,3,O, 
3,8,Y (Y),6,N,Y,0.4185,0.9210,2,O, 
4,7,Y (Y),5,N,Y,0.4407,0.0000,3,O, 
5,6,Y (Y),6,N,Y,0.8148,0.4736,4,O, 
6,5,Y (Y),6,N,Y,0.2962,1.0000,2,O, 
7,5,Y (Y),6,N,Y,0.2629,0.8157,2,O, 
8,4,Y (Y),5,N,Y,0.4777,1.0000,2,O, 
9,4,N (N),6,N,Y,0.6904,1.0000,3,O, 
10,2,N (N),5,N,Y,0.4007,1.0000,2,O, 
11,1,N (N),6,N,Y,0.8592,0.6842,4,X, 
12,1,N (N),6,N,Y,0.8571,0.9473,4,X, 
