순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,26,Y (Y),6,Y,Y,0.9185,0.7894,4,O, 
1,26,Y (Y),6,Y,Y,0.9185,0.7894,4,O, 
2,16,Y (Y),5,N,Y,0.7481,0.9736,4,O, 
3,12,Y (N),6,N,Y,0.8000,0.8421,4,O, 
4,7,Y (Y),6,N,Y,0.6296,0.9473,3,O, 
5,5,Y (N),6,N,Y,0.4962,0.9736,3,O, 
6,4,Y (Y),6,N,Y,0.5777,1.0000,3,O, 
7,2,Y (Y),6,N,Y,0.5000,0.8881,3,O, 
8,1,Y (Y),6,Y,Y,0.9185,0.9473,4,O, 
9,1,Y (N),6,Y,Y,0.9037,0.9473,4,O, 
10,1,Y (Y),6,Y,Y,0.8571,0.7222,4,O, 
11,1,Y (Y),6,Y,Y,0.8444,1.0000,4,O, 
12,1,Y (Y),6,N,Y,0.9185,0.9473,4,O, 
13,1,Y (N),6,N,Y,0.8370,1.0000,4,O, 
14,1,Y (N),6,N,Y,0.8095,0.7222,4,O, 
15,1,Y (Y),6,N,Y,0.7925,1.0000,4,O, 
16,1,Y (Y),6,N,Y,0.7925,1.0000,4,O, 
17,1,Y (Y),6,N,Y,0.5555,1.0000,3,O, 
18,1,Y (Y),6,N,Y,0.5259,1.0000,3,O, 
19,1,Y (Y),6,N,Y,0.5148,0.9736,3,O, 
20,1,Y (Y),6,N,Y,0.5000,0.8881,3,O, 
21,1,Y (Y),6,N,Y,0.4666,0.7631,3,O, 
22,1,Y (Y),6,N,Y,0.3185,1.0000,2,O, 
23,1,Y (Y),6,N,Y,0.2888,1.0000,2,O, 
24,1,Y (Y),6,N,Y,0.2814,1.0000,2,O, 
25,1,Y (Y),6,N,Y,0.2814,0.9473,2,O, 
26,1,Y (Y),6,N,Y,0.2666,0.8947,2,O, 
27,1,Y (Y),5,N,Y,0.5000,0.8881,3,O, 
