순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,24,Y (Y),3,Y,Y,0.9407,0.6315,4,O, 
1,24,Y (Y),3,Y,Y,0.9407,0.6315,4,O, 
2,13,Y (Y),6,N,Y,0.7500,0.8881,4,O, 
3,12,Y (Y),6,N,Y,0.4296,0.9736,3,O, 
4,10,N (N),6,Y,Y,0.9206,1.0000,4,O, 
5,10,N (N),6,N,Y,0.6507,0.9444,4,O, 
6,10,N (N),6,N,Y,0.3571,0.7777,3,O, 
7,6,Y (Y),6,N,Y,0.6592,0.7894,4,O, 
8,3,Y (Y),6,N,Y,0.3740,0.9736,2,O, 
9,2,Y (Y),6,N,Y,0.5407,1.0000,3,O, 
10,2,N (N),6,N,Y,0.6973,1.0000,2,O, 
11,1,Y (Y),6,Y,Y,0.9555,0.6315,4,O, 
12,1,Y (Y),6,N,Y,1.0000,0.9473,5,O, 
13,1,Y (Y),6,N,Y,0.9027,1.0000,4,O, 
14,1,Y (Y),6,N,Y,0.5814,0.8157,3,O, 
15,1,Y (Y),6,N,Y,0.5753,1.0000,3,O, 
16,1,Y (Y),6,N,Y,0.3111,0.6315,2,O, 
17,1,N (N),6,N,Y,0.7142,1.0000,4,O, 
18,1,N (N),6,N,Y,0.6444,0.8157,3,O, 
