순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,12,Y (N),6,Y,Y,1.0000,1.0000,4,O, 
1,12,Y (N),6,Y,Y,1.0000,1.0000,4,O, 
2,12,Y (N),6,Y,Y,1.0000,0.8888,4,O, 
3,12,Y (Y),6,Y,Y,1.0000,0.5263,4,O, 
4,12,Y (N),6,Y,Y,1.0000,0.4444,4,O, 
5,12,Y (Y),6,Y,Y,0.9925,0.7894,4,O, 
6,12,Y (Y),6,Y,Y,0.9777,0.7894,4,O, 
7,12,Y (N),6,Y,Y,0.9555,0.8333,4,O, 
8,12,Y (N),6,Y,Y,0.9259,1.0000,4,O, 
9,12,Y (N),6,Y,Y,0.9206,0.8333,4,O, 
10,12,Y (Y),6,Y,Y,0.9037,1.0000,4,O, 
11,12,Y (Y),6,Y,Y,0.9037,0.8947,4,O, 
12,12,Y (Y),6,Y,Y,0.9037,0.8421,4,O, 
13,12,Y (Y),6,Y,Y,0.8888,1.0000,4,O, 
14,12,Y (Y),6,Y,Y,0.8888,0.9473,4,O, 
15,12,Y (Y),6,Y,Y,0.8814,0.9473,4,O, 
16,12,Y (Y),6,Y,Y,0.8666,0.9473,4,O, 
17,12,Y (Y),6,Y,Y,0.8148,1.0000,4,O, 
18,12,Y (Y),6,N,Y,1.0000,0.9473,4,O, 
19,12,Y (Y),6,N,Y,0.9333,1.0000,4,O, 
20,12,Y (N),6,N,Y,0.8809,0.9444,4,O, 
21,12,Y (Y),6,N,Y,0.8518,0.9473,4,O, 
22,12,Y (N),6,N,Y,0.8357,1.0000,4,O, 
23,12,Y (Y),6,N,Y,0.8148,0.9473,4,O, 
24,12,Y (Y),6,N,Y,0.8000,0.9473,4,O, 
25,12,Y (Y),6,N,Y,0.8000,0.9473,4,O, 
26,12,Y (N),6,N,Y,0.7925,1.0000,4,X, 
27,12,Y (Y),6,N,Y,0.7925,0.9736,4,X, 
28,12,Y (Y),6,N,Y,0.7851,0.7894,4,X, 
29,12,Y (N),6,N,Y,0.7703,1.0000,3,X, 
30,12,Y (Y),6,N,Y,0.7666,0.9473,4,X, 
31,12,Y (Y),6,N,Y,0.7629,0.9736,3,X, 
32,12,Y (N),6,N,Y,0.7555,1.0000,3,X, 
33,12,Y (N),6,N,Y,0.7500,1.0000,3,X, 
34,12,Y (Y),6,N,Y,0.7481,0.7894,4,X, 
35,12,Y (Y),6,N,Y,0.7407,0.9473,4,X, 
36,12,Y (Y),6,N,Y,0.7333,1.0000,3,X, 
37,12,Y (N),6,N,Y,0.7222,1.0000,3,X, 
38,12,Y (Y),6,N,Y,0.6962,1.0000,3,X, 
39,12,Y (Y),6,N,Y,0.6888,0.9473,3,X, 
40,12,Y (Y),6,N,Y,0.6851,0.9473,4,X, 
41,12,Y (Y),6,N,Y,0.6814,0.9736,3,X, 
42,12,Y (Y),6,N,Y,0.6814,0.9473,3,X, 
43,12,Y (Y),6,N,Y,0.6592,0.6578,4,X, 
44,12,Y (Y),6,N,Y,0.6444,1.0000,3,X, 
45,12,Y (Y),6,N,Y,0.6444,0.8421,3,X, 
46,12,Y (Y),6,N,Y,0.6148,0.8157,3,X, 
47,12,Y (Y),6,N,Y,0.6037,0.9736,3,X, 
48,12,Y (Y),6,N,Y,0.5925,1.0000,3,X, 
49,12,Y (Y),6,N,Y,0.5703,0.9736,3,X, 
50,12,Y (N),6,N,Y,0.5357,1.0000,3,X, 
51,12,Y (Y),6,N,Y,0.5000,0.8881,3,X, 
52,12,Y (Y),6,N,Y,0.4703,1.0000,2,X, 
53,12,Y (Y),6,N,Y,0.4259,1.0000,2,X, 
54,12,Y (Y),6,N,Y,0.3888,0.8157,2,X, 
55,12,Y (Y),5,Y,Y,0.9333,1.0000,4,X, 
56,12,Y (Y),5,Y,Y,0.9185,0.7894,4,X, 
57,12,Y (Y),5,Y,Y,0.9074,0.9736,4,X, 
58,12,Y (N),5,N,Y,0.9880,1.0000,4,X, 
59,12,Y (Y),5,N,Y,0.7500,0.9375,4,X, 
60,12,Y (Y),5,N,Y,0.3851,0.1578,3,X, 
61,12,N (N),6,N,Y,0.7629,1.0000,4,X, 
62,12,N (N),6,N,Y,0.4166,1.0000,2,X, 
63,12,N (N),5,N,Y,0.7619,0.8611,4,X, 
64,6,Y (N),6,Y,Y,0.9285,0.5000,4,X, 
65,2,Y (Y),6,N,Y,0.8148,0.9473,4,X, 
66,1,Y (N),6,Y,Y,0.9761,0.6666,4,X, 
67,1,Y (N),6,Y,Y,0.9603,1.0000,4,X, 
