순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,10,Y (Y),5,N,Y,0.1481,0.1578,2,O, 
1,10,Y (Y),5,N,Y,0.1481,0.1578,2,O, 
2,6,Y (N),6,N,Y,0.7571,0.8333,4,O, 
3,2,Y (Y),6,N,Y,0.1851,0.5263,2,O, 
4,1,Y (Y),6,N,Y,0.3185,1.0000,2,O, 
5,1,Y (Y),6,N,Y,0.3037,1.0000,2,O, 
6,1,Y (Y),6,N,Y,0.2962,1.0000,2,O, 
7,1,Y (Y),6,N,Y,0.2962,1.0000,2,O, 
8,1,Y (Y),6,N,Y,0.2925,1.0000,2,O, 
9,1,Y (Y),6,N,Y,0.2814,1.0000,2,O, 
10,1,Y (Y),6,N,Y,0.2666,1.0000,2,O, 
11,1,Y (Y),6,N,Y,0.2592,0.9473,2,O, 
12,1,Y (Y),6,N,Y,0.2518,0.8421,2,O, 
13,1,Y (Y),6,N,Y,0.2222,0.4736,2,O, 
14,1,Y (Y),5,N,Y,0.2888,1.0000,2,O, 
15,1,N (N),6,N,Y,0.3015,1.0000,2,O, 
0,12,Y (Y),5,N,Y,0.2592,0.9736,2,O,* 
