순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,12,Y (Y),6,Y,Y,0.9047,0.6666,4,O, 
1,12,Y (Y),6,Y,Y,0.9047,0.6666,4,O, 
2,12,Y (Y),6,Y,N,0.8730,1.0000,4,O, 
3,12,Y (N),6,N,Y,0.9047,0.8611,4,O, 
4,12,Y (Y),6,N,Y,0.7222,0.8333,4,O, 
5,12,Y (Y),6,N,Y,0.6825,1.0000,4,O, 
6,12,Y (N),5,N,Y,0.9714,0.9473,4,O, 
7,12,N (N),6,N,Y,0.8650,0.8333,4,O, 
8,12,N (N),6,N,Y,0.7698,0.8333,4,O, 
9,6,Y (N),6,N,Y,0.7857,1.0000,4,O, 
10,3,N (N),6,N,Y,0.7222,0.8333,3,O, 
11,2,N (N),6,N,Y,0.9642,0.7894,4,O, 
12,1,Y (Y),6,Y,N,0.9603,0.6666,4,O, 
0,12,Y (Y),1,N,Y,0.8730,1.0000,4,O,* 
