순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,24,Y (Y),6,Y,Y,1.0000,1.0000,4,O, 
1,24,Y (Y),6,Y,Y,1.0000,1.0000,4,O, 
2,24,N (N),4,N,Y,0.6746,0.5000,4,O, 
3,15,Y (Y),6,Y,Y,1.0000,1.0000,4,O, 
4,12,Y (Y),6,Y,Y,0.8968,0.8333,4,O, 
5,12,Y (Y),4,N,Y,0.7460,0.6666,4,O, 
6,6,Y (Y),6,N,Y,0.6071,0.3611,3,O, 
7,6,Y (Y),6,N,Y,0.5873,1.0000,3,O, 
8,6,Y (Y),6,N,Y,0.5436,1.0000,3,O, 
9,6,N (N),6,N,Y,0.7555,0.7894,4,O, 
10,4,Y (Y),6,N,Y,0.5674,1.0000,3,O, 
11,3,Y (Y),6,N,Y,0.5952,1.0000,3,O, 
12,2,Y (Y),6,Y,Y,1.0000,1.0000,4,O, 
13,2,Y (Y),6,N,Y,0.6984,0.8611,3,O, 
14,2,Y (Y),6,N,Y,0.6269,1.0000,3,O, 
15,2,Y (Y),6,N,Y,0.6031,0.6666,3,O, 
16,2,Y (Y),6,N,Y,0.5119,0.6944,3,O, 
17,1,Y (Y),6,Y,Y,1.0000,0.9444,4,O, 
18,1,Y (Y),6,Y,Y,0.9841,0.8333,4,O, 
19,1,Y (Y),6,Y,Y,0.9523,0.7777,4,O, 
20,1,Y (Y),6,Y,Y,0.9444,0.7500,4,O, 
21,1,Y (Y),6,Y,Y,0.8492,1.0000,4,O, 
22,1,Y (Y),6,Y,Y,0.7619,0.7777,4,O, 
23,1,Y (Y),6,N,Y,1.0000,0.8947,4,O, 
24,1,Y (Y),6,N,Y,0.9481,1.0000,4,O, 
25,1,Y (Y),6,N,Y,0.8492,1.0000,3,O, 
26,1,Y (Y),6,N,Y,0.8174,1.0000,4,O, 
27,1,Y (Y),6,N,Y,0.8055,1.0000,4,O, 
28,1,Y (Y),6,N,Y,0.7857,1.0000,4,O, 
29,1,Y (Y),6,N,Y,0.7857,0.6666,4,O, 
30,1,Y (Y),6,N,Y,0.7777,0.8333,3,O, 
31,1,Y (Y),6,N,Y,0.7619,0.8333,3,O, 
32,1,Y (Y),6,N,Y,0.7539,0.8333,3,O, 
33,1,Y (Y),6,N,Y,0.4563,1.0000,3,O, 
34,1,N (N),6,N,Y,0.6185,0.9736,3,O, 
