순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,29,N (N),4,N,Y,0.8296,0.9473,4,O, 
1,29,N (N),4,N,Y,0.8296,0.9473,4,O, 
2,26,N (N),6,N,Y,0.5321,1.0000,3,O, 
3,20,N (N),6,N,Y,0.9777,0.3157,4,O, 
4,5,N (N),6,Y,Y,1.0000,0.9473,4,O, 
5,5,N (N),6,N,Y,0.5259,1.0000,3,O, 
6,5,N (N),6,N,Y,0.5000,0.6578,3,O, 
7,5,N (N),6,N,Y,0.4740,0.8947,3,O, 
8,5,N (N),6,N,N,0.9703,0.9473,4,O, 
9,4,N (N),6,N,Y,0.8333,1.0000,4,O, 
10,4,N (N),6,N,Y,0.8138,0.6315,4,O, 
11,4,N (N),6,N,Y,0.5629,0.9736,3,O, 
12,4,N (N),6,N,Y,0.5222,0.8157,3,O, 
13,2,N (N),6,Y,Y,1.0000,0.9473,4,O, 
14,2,N (N),6,N,Y,0.7740,0.9473,4,O, 
15,2,N (N),6,N,Y,0.6629,0.9736,3,O, 
16,2,N (N),6,N,Y,0.5111,0.6578,3,O, 
17,2,N (N),6,N,Y,0.4888,0.9473,3,O, 
18,2,N (N),6,N,N,0.8370,1.0000,4,O, 
19,2,N (N),4,N,Y,0.5851,0.9736,3,O, 
20,1,N (N),6,N,Y,0.8000,0.9473,4,O, 
21,1,N (N),6,N,Y,0.7481,0.7894,4,O, 
22,1,N (N),6,N,Y,0.6444,0.8684,3,O, 
23,1,N (N),6,N,Y,0.6444,0.8157,3,O, 
24,1,N (N),6,N,Y,0.5851,0.8684,3,O, 
25,1,N (N),6,N,Y,0.5703,1.0000,3,O, 
26,1,N (N),6,N,Y,0.5333,0.7894,3,O, 
27,1,N (N),6,N,Y,0.4444,0.9736,3,O, 
28,1,N (N),6,N,Y,0.4407,0.9473,2,O, 
29,1,N (N),6,N,Y,0.4259,0.6315,3,O, 
30,1,N (N),5,N,Y,0.7592,0.6315,4,O, 
31,1,N (N),5,N,Y,0.4370,1.0000,2,X, 
