순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,25,N (N),6,Y,Y,0.9333,0.7368,4,O, 
1,25,N (N),6,Y,Y,0.9333,0.7368,4,O, 
2,22,N (N),6,N,Y,0.6148,0.6315,4,O, 
3,20,N (N),6,N,Y,0.5000,0.8881,3,O, 
4,16,N (N),6,N,Y,0.5592,0.9736,3,O, 
5,15,N (N),6,N,Y,0.5111,0.8684,3,O, 
6,14,N (N),6,N,Y,0.8592,0.9473,4,O, 
7,13,N (N),6,N,Y,0.2703,0.8157,2,O, 
8,12,N (N),6,N,Y,0.9777,0.1578,4,O, 
9,12,N (N),6,N,Y,0.7777,0.8157,4,O, 
10,12,N (N),6,N,Y,0.4740,0.8157,3,O, 
11,10,N (N),6,N,Y,0.8444,1.0000,4,O, 
12,10,N (N),6,N,Y,0.7851,0.9473,4,O, 
13,10,N (N),6,N,Y,0.7851,0.7894,4,O, 
14,10,N (N),6,N,Y,0.7703,0.9473,4,O, 
15,10,N (N),6,N,Y,0.7037,0.6315,4,O, 
16,10,N (N),5,N,Y,0.7111,0.8421,4,O, 
17,9,N (N),6,N,Y,0.2444,0.8421,2,O, 
18,8,N (N),6,N,Y,0.7185,0.9473,4,O, 
19,6,N (N),6,N,Y,0.3074,0.6578,2,O, 
20,5,N (N),6,N,Y,0.7111,0.8421,4,O, 
21,5,N (N),6,N,Y,0.6074,0.7894,4,O, 
22,5,N (N),6,N,Y,0.2888,1.0000,2,O, 
23,5,N (N),6,N,Y,0.2555,0.6315,2,O, 
24,5,N (N),5,N,Y,0.4000,0.7368,3,O, 
25,4,N (N),6,N,Y,0.5333,0.8947,3,O, 
26,4,N (N),6,N,Y,0.2555,1.0000,2,O, 
27,4,N (N),6,N,Y,0.2370,0.6315,2,O, 
28,4,N (N),5,N,Y,0.4925,0.9736,3,O, 
29,3,N (N),6,N,Y,0.7851,0.9473,4,O, 
30,3,N (N),6,N,Y,0.7703,0.7894,4,O, 
31,3,N (N),6,N,Y,0.7185,1.0000,4,O, 
32,3,N (N),6,N,Y,0.5777,0.8684,3,O, 
33,3,N (N),6,N,Y,0.2888,1.0000,2,O, 
34,3,N (N),6,N,Y,0.2888,0.8421,2,O, 
35,3,N (N),6,N,Y,0.2666,0.8421,2,O, 
36,3,N (N),6,N,Y,0.2555,0.9473,2,O, 
37,3,N (N),6,N,Y,0.2518,0.7631,2,O, 
38,2,N (N),6,N,Y,0.8000,0.8421,4,O, 
39,2,N (N),6,N,Y,0.7777,0.7894,4,O, 
40,2,N (N),6,N,Y,0.7407,0.9473,4,O, 
41,2,N (N),6,N,Y,0.5592,0.9473,3,O, 
42,2,N (N),6,N,Y,0.2444,0.8947,2,O, 
43,1,N (N),6,N,Y,0.8000,0.7894,4,O, 
44,1,N (N),6,N,Y,0.7629,1.0000,4,O, 
45,1,N (N),6,N,Y,0.7555,0.8947,4,O, 
46,1,N (N),6,N,Y,0.5851,0.8421,4,O, 
47,1,N (N),6,N,Y,0.5407,0.8157,3,O, 
48,1,N (N),6,N,Y,0.2888,1.0000,2,O, 
49,1,N (N),6,N,Y,0.2814,0.9473,2,O, 
50,1,N (N),6,N,Y,0.2592,0.9736,2,O, 
