순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,35,Y (Y),6,N,Y,0.8444,0.6315,4,O, 
1,35,Y (Y),6,N,Y,0.8444,0.6315,4,O, 
2,34,N (N),6,N,Y,0.9342,0.9583,2,O, 
3,32,Y (Y),6,N,Y,0.8253,0.8333,4,O, 
4,25,Y (Y),6,Y,Y,0.8666,1.0000,4,O, 
5,25,Y (Y),6,N,Y,0.9259,0.7894,4,O, 
6,22,Y (Y),6,N,Y,0.6333,0.5789,3,O, 
7,21,Y (Y),6,N,Y,0.7500,0.9375,4,O, 
8,21,Y (Y),6,N,Y,0.5185,0.8157,3,O, 
9,20,Y (Y),6,N,Y,0.4000,0.9736,2,O, 
10,19,N (N),6,N,Y,0.9342,0.8333,2,O, 
11,18,Y (Y),6,N,Y,0.7703,0.9473,4,O, 
12,15,Y (Y),6,N,Y,0.8055,1.0000,4,O, 
13,10,Y (Y),5,N,Y,0.6481,0.9473,3,O, 
14,10,N (N),6,N,Y,0.9523,0.8333,4,O, 
15,7,Y (Y),6,N,Y,0.4037,0.8157,2,O, 
16,7,Y (Y),6,N,N,0.7535,0.7894,4,O, 
17,5,Y (Y),6,N,Y,0.9071,0.7894,4,O, 
18,5,Y (Y),6,N,Y,0.8259,0.8684,4,O, 
19,5,Y (Y),6,N,Y,0.8214,0.7894,4,O, 
20,4,Y (Y),6,N,Y,0.6666,0.8421,3,O, 
21,4,Y (Y),6,N,Y,0.6629,0.9736,3,O, 
22,4,Y (Y),6,N,Y,0.5777,0.9736,3,O, 
23,4,Y (Y),6,N,Y,0.5296,0.9736,3,O, 
24,4,Y (Y),6,N,Y,0.3962,0.9736,2,O, 
25,4,Y (Y),6,N,Y,0.3814,0.8157,3,O, 
26,3,Y (Y),6,N,Y,0.5703,0.9210,3,O, 
27,3,Y (Y),6,N,Y,0.5518,1.0000,3,O, 
28,3,Y (Y),6,N,Y,0.4777,1.0000,3,O, 
29,3,Y (Y),6,N,Y,0.2925,0.8157,3,O, 
30,2,Y (Y),6,N,Y,0.5185,0.9736,3,O, 
31,1,Y (Y),6,Y,Y,0.8888,0.7894,4,O, 
32,1,Y (Y),6,N,Y,0.6000,0.8157,3,O, 
33,1,Y (Y),6,N,Y,0.5629,1.0000,3,O, 
34,1,N (N),6,Y,Y,0.9357,0.9473,4,O, 
35,1,N (N),6,N,Y,0.6185,1.0000,3,O, 
36,1,N (N),5,N,Y,0.5000,0.9722,3,O, 
