순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,8,Y (Y),6,Y,Y,0.8666,1.0000,4,O, 
1,8,Y (Y),6,Y,Y,0.8666,1.0000,4,O, 
2,5,Y (Y),5,Y,Y,1.0000,1.0000,4,O, 
3,5,Y (Y),5,Y,Y,0.9407,0.9473,4,O, 
4,3,Y (Y),6,N,Y,0.9407,1.0000,4,O, 
5,2,Y (Y),6,N,Y,0.9703,0.9473,4,O, 
6,2,Y (Y),6,N,Y,0.8148,0.8421,4,O, 
7,1,Y (Y),6,Y,Y,0.9777,1.0000,4,O, 
8,1,Y (Y),6,N,Y,0.9259,1.0000,4,O, 
9,1,Y (Y),6,N,Y,0.8962,0.9473,4,O, 
10,1,Y (Y),6,N,Y,0.8444,0.8947,4,O, 
11,1,Y (Y),5,Y,Y,0.9185,1.0000,4,O, 
12,1,Y (Y),4,Y,Y,1.0000,0.8421,4,O, 
