순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,Y (Y),1,Y,Y,1.0000,0.6315,5,O, 
1,36,Y (Y),1,Y,Y,1.0000,0.6315,5,O, 
2,19,N (N),6,N,Y,0.4126,0.8611,2,O, 
3,17,Y (N),5,N,Y,0.7703,0.9444,3,O, 
4,13,Y (Y),6,N,Y,0.5212,0.9736,3,O, 
5,10,Y (Y),6,N,Y,0.6928,0.8421,4,O, 
6,10,Y (Y),6,N,Y,0.3678,0.8157,2,O, 
7,10,Y (Y),6,N,Y,0.3647,1.0000,2,O, 
8,10,Y (Y),6,N,Y,0.3616,0.9736,2,O, 
9,10,Y (Y),5,N,Y,0.3490,0.9736,2,O, 
10,9,Y (Y),6,N,Y,0.7071,0.9473,4,O, 
11,8,Y (Y),5,N,Y,0.3616,0.9736,2,O, 
12,8,Y (Y),5,N,Y,0.3597,0.8157,2,O, 
13,8,Y (Y),5,N,Y,0.3301,0.9736,2,O, 
14,7,Y (N),6,Y,Y,0.9111,0.8333,4,O, 
15,7,Y (Y),6,N,Y,0.3616,0.9736,2,O, 
16,7,Y (Y),6,N,Y,0.2865,0.8157,2,O, 
17,7,Y (Y),5,N,Y,0.5274,0.9736,3,O, 
18,7,N (N),6,N,Y,0.6464,0.9736,3,O, 
19,6,Y (Y),6,N,Y,0.3750,0.9736,2,O, 
20,5,Y (Y),6,N,Y,0.7500,0.9473,3,O, 
21,5,Y (Y),6,N,Y,0.3963,0.9473,3,O, 
22,5,Y (Y),6,N,Y,0.3571,0.9736,2,O, 
23,5,Y (Y),6,N,Y,0.2774,0.9473,2,O, 
24,5,Y (Y),6,N,Y,0.2469,0.8157,2,O, 
25,5,Y (Y),5,N,Y,0.3445,0.9736,2,O, 
26,5,Y (Y),5,N,Y,0.3048,0.9736,2,O, 
27,5,Y (Y),5,N,Y,0.2452,1.0000,2,O, 
28,5,Y (Y),4,N,Y,0.3616,0.9736,2,O, 
29,4,Y (Y),6,N,Y,0.6928,0.9473,3,O, 
30,4,Y (Y),6,N,Y,0.6321,0.8157,3,O, 
31,4,Y (Y),6,N,Y,0.6321,0.8157,3,O, 
32,4,Y (Y),6,N,Y,0.4642,0.9736,3,O, 
33,4,Y (Y),6,N,Y,0.4178,1.0000,2,O, 
34,4,Y (Y),6,N,Y,0.3785,0.9736,2,O, 
35,4,Y (Y),6,N,Y,0.2678,1.0000,2,O, 
36,4,Y (Y),5,N,Y,0.3445,0.9736,2,O, 
37,4,Y (Y),5,N,Y,0.3262,0.8157,2,O, 
38,3,Y (Y),6,N,Y,0.6535,0.9736,3,O, 
