순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,25,Y (Y),3,Y,Y,0.9428,0.7894,4,O, 
1,25,Y (Y),3,Y,Y,0.9428,0.7894,4,O, 
2,15,Y (Y),4,Y,Y,0.9000,1.0000,4,O, 
3,14,Y (Y),6,Y,Y,0.9357,0.7894,4,O, 
4,13,Y (Y),6,Y,Y,0.8357,0.9473,4,O, 
5,12,Y (Y),6,N,Y,0.8500,0.7894,4,O, 
6,12,Y (Y),6,N,Y,0.7214,0.7894,4,O, 
7,12,Y (Y),5,Y,Y,0.8857,0.7368,4,O, 
8,11,Y (Y),6,Y,Y,0.8714,0.8421,4,O, 
9,10,Y (Y),6,N,Y,0.6714,0.9473,3,O, 
10,10,Y (Y),6,N,Y,0.6142,0.9473,3,O, 
11,10,Y (Y),6,N,Y,0.5857,0.9473,3,O, 
12,8,Y (Y),6,N,Y,0.7000,0.9473,3,O, 
13,7,Y (Y),6,Y,Y,0.9642,1.0000,4,O, 
14,7,Y (Y),6,N,Y,0.8000,0.7894,4,O, 
15,7,Y (Y),6,N,Y,0.6500,0.9473,3,O, 
16,5,Y (Y),6,N,Y,0.8000,1.0000,4,O, 
17,5,Y (Y),6,N,Y,0.7714,1.0000,4,O, 
18,5,Y (Y),6,N,Y,0.7571,1.0000,4,O, 
19,4,Y (Y),6,Y,Y,0.9357,0.9473,4,O, 
20,4,Y (Y),6,N,Y,0.8857,1.0000,4,O, 
21,4,Y (Y),6,N,Y,0.5785,0.9473,4,O, 
22,4,Y (Y),5,Y,Y,0.8642,0.9473,4,O, 
23,4,Y (Y),5,N,Y,0.8071,0.6315,4,O, 
24,4,Y (Y),5,N,Y,0.7571,0.9473,4,O, 
25,3,Y (Y),6,N,Y,0.9071,1.0000,4,O, 
26,3,Y (Y),6,N,Y,0.8000,1.0000,3,O, 
27,2,Y (Y),6,Y,Y,0.9142,0.8947,4,O, 
28,2,Y (Y),6,Y,Y,0.9071,0.7894,4,O, 
29,2,Y (Y),6,Y,Y,0.8642,1.0000,4,O, 
30,2,Y (Y),6,N,Y,0.7571,0.9473,4,O, 
31,2,Y (Y),6,N,Y,0.7428,0.9473,4,X, 
32,2,Y (Y),6,N,Y,0.5642,0.9473,3,X, 
33,1,Y (Y),6,N,Y,0.7785,0.9736,4,X, 
34,1,Y (Y),6,N,Y,0.7500,0.9722,4,X, 
35,1,Y (Y),6,N,Y,0.7142,0.9473,3,X, 
36,1,Y (Y),6,N,Y,0.6928,0.9473,4,X, 
37,1,Y (Y),5,Y,Y,0.9500,0.8421,4,X, 
38,1,Y (Y),5,N,Y,0.7928,0.9473,4,X, 
39,1,Y (Y),5,N,Y,0.5000,0.9722,3,X, 
