순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,35,Y (Y),2,Y,Y,1.0000,0.4736,4,O, 
1,35,Y (Y),2,Y,Y,1.0000,0.4736,4,O, 
2,27,Y (Y),6,Y,Y,0.9571,0.7894,4,O, 
3,18,Y (Y),6,N,Y,0.8142,0.9473,4,O, 
4,15,Y (Y),6,N,Y,0.8814,0.7894,4,O, 
5,14,N (N),6,N,Y,0.5222,0.8157,3,O, 
6,13,Y (Y),6,Y,Y,0.9142,0.9473,4,O, 
7,13,Y (Y),6,N,Y,0.8214,1.0000,4,O, 
8,13,Y (Y),5,Y,Y,0.9285,0.6315,4,O, 
9,12,N (N),6,N,Y,0.5396,0.8611,3,O, 
10,10,Y (Y),6,N,Y,0.7250,1.0000,3,O, 
11,10,N (N),6,N,Y,0.4563,1.0000,2,O, 
12,9,Y (Y),6,N,Y,0.8642,0.9473,4,O, 
13,7,Y (Y),6,N,Y,0.7928,0.9473,4,O, 
14,5,Y (Y),6,N,Y,0.7214,1.0000,4,O, 
15,5,Y (Y),6,N,Y,0.6464,0.9473,3,O, 
16,3,Y (Y),6,Y,Y,0.9285,0.8333,4,O, 
17,3,Y (Y),6,Y,Y,0.8785,0.7894,4,O, 
18,3,Y (Y),6,N,Y,0.8285,0.9473,4,O, 
19,3,Y (Y),6,N,Y,0.8214,0.8421,4,O, 
20,3,Y (Y),6,N,Y,0.7928,0.9473,4,O, 
21,3,Y (Y),6,N,Y,0.5571,1.0000,3,O, 
22,3,Y (Y),6,N,Y,0.5142,0.9736,3,O, 
23,2,Y (Y),6,Y,Y,0.9428,0.9473,4,O, 
24,2,Y (Y),6,N,Y,0.8214,0.8157,4,O, 
25,2,Y (Y),6,N,Y,0.7428,0.9473,4,O, 
26,2,Y (Y),6,N,Y,0.5500,0.9473,3,X, 
27,1,Y (Y),6,Y,Y,0.9357,1.0000,4,X, 
28,1,Y (Y),6,Y,Y,0.8928,0.9473,4,X, 
29,1,Y (Y),6,N,Y,0.6785,1.0000,3,X, 
30,1,Y (Y),6,N,Y,0.6642,0.9736,3,X, 
31,1,Y (Y),6,N,Y,0.5892,0.8947,3,X, 
32,1,Y (Y),6,N,Y,0.5785,0.9473,3,X, 
