순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,10,Y (Y),6,N,Y,0.8071,1.0000,4,O, 
1,10,Y (Y),6,N,Y,0.8071,1.0000,4,O, 
2,8,Y (Y),6,N,Y,0.7428,0.9473,4,O, 
3,5,Y (Y),3,Y,Y,0.9571,0.6315,4,O, 
4,3,Y (Y),6,Y,Y,0.8392,0.9736,4,O, 
5,2,Y (Y),6,Y,Y,0.9345,1.0000,4,O, 
6,2,Y (Y),6,N,Y,0.8214,1.0000,4,O, 
7,2,Y (Y),5,Y,Y,0.9523,0.6666,4,O, 
8,1,Y (Y),6,N,Y,0.9682,0.8333,4,O, 
9,1,Y (Y),6,N,Y,0.8642,0.7894,4,O, 
10,1,Y (Y),6,N,Y,0.7928,0.9473,4,O, 
11,1,Y (Y),6,N,Y,0.7928,0.7894,4,X, 
12,1,Y (Y),6,N,Y,0.7857,0.7894,4,X, 
13,1,Y (Y),6,N,Y,0.7714,1.0000,4,X, 
14,1,Y (Y),6,N,Y,0.7428,0.9473,4,X, 
15,1,Y (Y),6,N,Y,0.7428,0.9473,4,X, 
16,1,Y (Y),6,N,Y,0.7142,0.9473,3,X, 
17,1,Y (Y),6,N,Y,0.7142,0.8947,4,X, 
18,1,Y (Y),5,N,Y,1.0000,1.0000,4,X, 
