순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,Y (Y),6,N,Y,0.2714,0.9473,2,O, 
1,36,Y (Y),6,N,Y,0.2714,0.9473,2,O, 
2,36,Y (Y),6,N,N,0.8714,0.9473,4,O, 
3,36,N (N),6,N,Y,0.3333,0.8888,2,O, 
4,35,N (N),6,N,Y,0.3037,0.9473,2,O, 
5,30,N (N),6,N,Y,0.2888,0.8421,2,O, 
6,29,Y (Y),6,N,Y,0.2714,0.9473,2,O, 
7,25,Y (Y),6,N,Y,0.5481,1.0000,3,O, 
8,25,Y (Y),6,N,Y,0.5481,1.0000,3,O, 
9,25,Y (Y),6,N,Y,0.5481,0.8684,3,O, 
10,25,Y (Y),6,N,Y,0.2571,1.0000,2,O, 
11,25,Y (Y),6,N,N,0.8928,0.8421,4,O, 
12,25,N (N),6,N,Y,0.5357,0.9210,3,O, 
13,23,Y (Y),6,N,Y,0.2714,0.9473,2,O, 
14,23,N (N),6,N,Y,0.2714,1.0000,2,O, 
15,22,Y (Y),6,N,Y,0.7619,1.0000,4,O, 
16,22,Y (Y),6,N,Y,0.5000,0.9210,3,O, 
17,22,Y (Y),6,N,Y,0.2714,0.9473,2,O, 
18,22,N (N),6,N,Y,0.2571,0.8947,2,X, 
19,21,Y (Y),6,N,Y,0.2714,0.9473,2,O, 
20,21,Y (Y),6,N,Y,0.2714,0.9473,2,O, 
21,21,Y (Y),6,N,N,0.8285,1.0000,4,O, 
22,20,Y (Y),6,N,Y,0.2785,1.0000,2,O, 
23,20,Y (Y),6,N,Y,0.2500,0.9473,2,O, 
24,20,Y (Y),6,N,N,0.8214,0.9473,4,O, 
25,20,N (N),6,N,Y,0.2321,0.8947,2,X, 
26,18,Y (Y),6,N,Y,0.3785,0.8157,2,O, 
27,18,Y (Y),6,N,Y,0.2821,0.9473,2,O, 
28,18,Y (Y),6,N,Y,0.2785,1.0000,2,O, 
29,18,Y (Y),6,N,Y,0.2714,1.0000,2,O, 
30,18,Y (Y),6,N,Y,0.2642,1.0000,2,O, 
31,18,Y (Y),6,N,Y,0.2642,0.9736,2,O, 
32,18,Y (Y),6,N,N,0.8000,0.9473,4,O, 
33,18,Y (Y),6,N,N,0.7857,0.9736,4,O, 
34,18,Y (Y),6,N,N,0.5357,0.8157,3,O, 
35,18,Y (Y),6,N,N,0.3607,0.8157,3,O, 
36,17,Y (Y),6,N,Y,0.2750,1.0000,2,O, 
37,17,N (N),6,N,Y,0.5074,0.9736,3,X, 
38,16,Y (Y),6,N,Y,0.5000,0.9210,3,O, 
39,16,Y (Y),6,N,Y,0.3107,0.9736,2,O, 
40,16,Y (Y),6,N,Y,0.2928,1.0000,2,O, 
41,16,Y (Y),6,N,Y,0.2785,1.0000,2,O, 
42,16,Y (Y),6,N,Y,0.2714,0.9473,2,O, 
43,16,Y (Y),6,N,Y,0.2678,0.9210,2,O, 
44,16,Y (Y),6,N,Y,0.2250,0.7894,2,O, 
45,16,Y (Y),5,N,N,0.6714,0.4736,4,O, 
46,16,N (N),6,Y,Y,0.9365,0.7894,4,X, 
47,15,Y (Y),6,N,Y,0.5000,0.9210,3,O, 
48,15,Y (Y),6,N,Y,0.4535,0.8684,2,O, 
49,15,Y (Y),6,N,Y,0.2714,1.0000,2,O, 
50,15,Y (Y),6,N,Y,0.2714,0.9473,2,O, 
51,15,Y (Y),6,N,Y,0.2678,1.0000,2,O, 
52,15,Y (Y),6,N,Y,0.2500,0.8421,2,O, 
53,15,Y (Y),6,N,Y,0.1964,0.6315,2,O, 
54,15,N (N),6,N,Y,0.5396,1.0000,3,X, 
55,14,Y (Y),6,N,Y,0.4035,1.0000,2,O, 
56,14,Y (Y),6,N,Y,0.3607,0.8947,2,O, 
57,14,Y (Y),6,N,Y,0.2857,1.0000,2,O, 
58,14,Y (Y),6,N,Y,0.2714,1.0000,2,O, 
59,14,Y (Y),6,N,Y,0.2678,0.9736,2,O, 
60,14,Y (Y),6,N,Y,0.2678,0.7631,2,O, 
61,14,Y (Y),6,N,Y,0.2642,0.9473,2,O, 
62,14,Y (Y),6,N,Y,0.2071,0.7894,2,O, 
63,14,Y (Y),5,N,Y,0.2642,0.9473,2,O, 
64,13,Y (Y),6,N,Y,0.3214,1.0000,2,O, 
65,13,Y (Y),6,N,Y,0.2857,0.9210,2,O, 
66,13,Y (Y),6,N,Y,0.2714,1.0000,2,O, 
67,13,Y (Y),6,N,Y,0.2285,0.8684,2,O, 
68,13,Y (Y),6,N,Y,0.2214,0.9210,2,O, 
69,13,N (N),6,N,Y,0.6666,0.7894,3,X, 
70,12,Y (Y),6,N,Y,0.4857,0.9736,3,O, 
71,12,Y (Y),6,N,Y,0.2928,1.0000,2,O, 
72,12,Y (Y),6,N,Y,0.2714,1.0000,2,O, 
73,12,Y (Y),6,N,Y,0.2714,0.9473,2,O, 
74,12,Y (Y),6,N,Y,0.2714,0.9473,2,O, 
75,12,Y (Y),6,N,Y,0.2714,0.9473,2,O, 
76,12,Y (Y),6,N,Y,0.2678,0.9736,2,O, 
77,12,Y (Y),6,N,Y,0.2500,0.6842,2,X, 
78,12,Y (Y),6,N,Y,0.2464,0.7631,2,X, 
79,12,Y (Y),6,N,Y,0.2285,0.8421,2,X, 
80,12,Y (Y),6,N,Y,0.1142,0.1842,2,X, 
81,11,Y (Y),6,N,Y,0.2857,1.0000,2,X, 
82,11,Y (Y),6,N,Y,0.2785,1.0000,2,X, 
83,11,Y (Y),6,N,Y,0.2714,1.0000,2,X, 
84,11,Y (Y),6,N,Y,0.2714,0.9473,2,X, 
85,11,Y (Y),6,N,Y,0.2678,0.9736,2,X, 
86,11,Y (Y),6,N,N,0.4714,0.8684,3,X, 
87,10,Y (Y),6,N,Y,0.2785,1.0000,2,X, 
88,10,Y (Y),6,N,Y,0.2464,0.9473,2,X, 
89,10,Y (Y),6,N,Y,0.2035,0.6052,2,X, 
90,10,N (N),6,N,Y,0.2777,1.0000,2,X, 
