순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,10,Y (Y),6,N,Y,0.7857,0.8421,4,O, 
1,10,Y (Y),6,N,Y,0.7857,0.8421,4,O, 
2,8,Y (Y),6,N,Y,0.8071,1.0000,4,O, 
3,7,Y (Y),6,N,Y,0.7785,0.7894,4,O, 
4,6,Y (Y),6,N,Y,0.7714,0.8421,4,O, 
5,6,Y (Y),6,N,Y,0.6785,0.9473,3,O, 
6,5,Y (Y),6,N,Y,0.7428,0.7894,4,O, 
7,3,Y (Y),6,N,Y,0.8285,0.9473,4,O, 
8,3,Y (Y),6,N,Y,0.7357,0.8684,4,O, 
9,2,Y (Y),6,Y,Y,0.8857,0.9473,4,O, 
10,2,Y (Y),6,N,Y,0.8428,0.9473,4,O, 
11,2,Y (Y),6,N,Y,0.8071,0.9473,4,O, 
12,2,Y (Y),6,N,Y,0.7857,0.9473,4,O, 
13,2,Y (Y),6,N,Y,0.5285,0.9473,3,O, 
14,1,Y (Y),6,Y,Y,1.0000,0.8947,4,O, 
15,1,Y (Y),6,Y,Y,0.9428,0.8421,4,O, 
16,1,Y (Y),6,Y,Y,0.9142,0.9473,4,O, 
17,1,Y (Y),6,Y,Y,0.8857,0.9473,4,O, 
18,1,Y (Y),6,N,Y,0.8428,1.0000,4,O, 
19,1,Y (Y),6,N,Y,0.8142,1.0000,4,O, 
20,1,Y (Y),6,N,Y,0.8000,0.9736,4,O, 
21,1,Y (Y),6,N,Y,0.8000,0.9473,4,O, 
22,1,Y (Y),6,N,Y,0.7785,0.9473,4,O, 
23,1,Y (Y),6,N,Y,0.7785,0.9473,4,O, 
24,1,Y (Y),6,N,Y,0.7714,0.7894,4,O, 
25,1,Y (Y),6,N,Y,0.7714,0.7894,4,O, 
26,1,Y (Y),6,N,Y,0.7571,0.9473,4,O, 
27,1,Y (Y),6,N,Y,0.7535,1.0000,4,O, 
28,1,Y (Y),6,N,Y,0.7500,0.8421,4,O, 
29,1,Y (Y),6,N,Y,0.7428,0.8684,4,O, 
30,1,Y (Y),6,N,Y,0.7428,0.8421,4,O, 
31,1,Y (Y),6,N,Y,0.5750,0.9736,3,O, 
32,1,Y (Y),3,N,Y,0.8785,1.0000,4,O, 
