순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,35,Y (N),4,Y,Y,0.9571,1.0000,4,O, 
1,35,Y (N),4,Y,Y,0.9571,1.0000,4,O, 
2,21,N (N),6,N,Y,0.7500,0.9722,4,O, 
3,20,Y (N),6,N,Y,0.7571,0.8947,4,O, 
4,15,Y (Y),6,N,Y,0.4321,0.6578,3,O, 
5,15,Y (Y),5,N,Y,0.5714,0.8421,3,O, 
6,14,Y (Y),6,N,Y,0.7642,0.6315,4,O, 
7,14,Y (Y),6,N,Y,0.6178,1.0000,3,O, 
8,14,Y (Y),6,N,Y,0.6000,0.9210,3,O, 
9,14,Y (Y),6,N,Y,0.5642,1.0000,3,O, 
10,13,Y (Y),6,Y,Y,0.9285,0.9473,4,O, 
11,13,Y (Y),6,N,Y,0.8285,1.0000,4,O, 
12,13,Y (Y),6,N,Y,0.6571,0.9473,3,O, 
13,13,Y (Y),6,N,Y,0.5642,1.0000,3,O, 
14,13,Y (Y),6,N,Y,0.5142,0.9736,3,O, 
15,13,Y (Y),6,N,Y,0.5000,0.8157,3,O, 
16,12,Y (Y),6,N,Y,0.8571,1.0000,4,O, 
17,12,Y (Y),6,N,Y,0.5607,1.0000,3,O, 
18,12,Y (Y),6,N,Y,0.5571,0.8684,3,O, 
19,12,Y (Y),6,N,Y,0.5178,0.9736,3,O, 
20,12,Y (Y),6,N,Y,0.5178,0.9736,3,O, 
21,11,Y (Y),6,N,Y,0.7500,0.6315,4,O, 
22,11,Y (Y),6,N,Y,0.3250,0.6315,2,O, 
23,10,Y (Y),6,N,Y,0.7500,0.9473,4,O, 
24,10,Y (Y),6,N,Y,0.7500,0.8157,4,O, 
25,10,Y (Y),6,N,Y,0.5607,0.9473,3,O, 
26,10,Y (Y),6,N,Y,0.5392,0.9736,3,O, 
27,9,Y (N),6,Y,Y,0.9185,0.7894,4,O, 
28,9,Y (Y),6,N,Y,0.6678,0.7894,3,O, 
29,9,Y (Y),6,N,Y,0.5142,0.9736,3,O, 
30,9,Y (Y),6,N,Y,0.5142,0.8157,3,O, 
31,8,Y (Y),6,N,Y,0.8071,1.0000,4,O, 
32,8,Y (Y),6,N,Y,0.7785,0.7894,4,O, 
33,8,Y (Y),6,N,Y,0.5750,0.9473,3,O, 
34,7,Y (Y),6,N,Y,0.5857,0.9736,3,O, 
35,7,N (N),6,Y,Y,0.9851,1.0000,4,O, 
36,5,Y (Y),6,N,Y,0.7357,1.0000,4,O, 
37,5,Y (N),6,N,Y,0.6944,1.0000,3,O, 
38,5,Y (Y),6,N,Y,0.5642,0.9736,3,O, 
39,4,Y (Y),5,N,Y,0.8071,0.8947,4,O, 
40,4,Y (Y),5,N,Y,0.5178,0.8421,3,O, 
41,3,Y (Y),6,N,Y,0.7428,1.0000,4,O, 
42,3,Y (Y),6,N,Y,0.7428,0.8947,4,O, 
43,3,Y (Y),6,N,Y,0.7214,0.9736,4,O, 
44,3,Y (N),6,N,Y,0.6706,0.8611,3,O, 
45,2,Y (N),6,N,Y,0.7738,0.5555,4,O, 
46,1,Y (Y),6,Y,Y,0.9071,0.9473,4,O, 
47,1,Y (N),6,Y,Y,0.8888,0.6315,4,O, 
48,1,Y (Y),6,N,Y,0.6571,0.7894,4,O, 
49,1,Y (N),6,N,Y,0.6185,1.0000,3,O, 
50,1,Y (Y),6,N,Y,0.5178,0.9473,3,O, 
51,1,Y (Y),5,N,Y,0.7750,0.9473,4,X, 
