순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,15,Y (Y),6,N,Y,0.5000,0.9210,3,O, 
1,15,Y (Y),6,N,Y,0.5000,0.9210,3,O, 
2,15,Y (Y),6,N,Y,0.5000,0.9210,3,O, 
3,15,N (N),6,N,Y,0.8074,0.6315,4,O, 
4,11,Y (Y),6,N,Y,0.3321,0.9736,3,O, 
5,9,Y (Y),6,N,Y,0.4857,0.7105,3,O, 
6,8,Y (Y),6,N,Y,0.8857,0.9473,4,O, 
7,1,Y (Y),6,Y,N,0.9642,0.9473,4,O, 
8,1,Y (Y),6,N,Y,0.7178,0.9736,3,O, 
9,1,Y (Y),6,N,Y,0.6142,1.0000,3,O, 
10,1,Y (Y),6,N,Y,0.4250,0.9210,2,O, 
11,1,Y (Y),6,N,Y,0.4107,0.8157,2,O, 
12,1,Y (Y),6,N,N,0.3571,0.5263,3,O, 
