순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,7,Y (Y),6,N,Y,0.7222,1.0000,3,O, 
1,7,Y (Y),6,N,Y,0.7222,1.0000,3,O, 
2,7,Y (Y),6,N,Y,0.5000,0.9210,3,O, 
3,7,Y (Y),6,N,Y,0.1714,0.8947,2,O, 
4,6,Y (Y),6,N,Y,0.2928,1.0000,2,O, 
5,5,Y (Y),6,N,Y,0.3000,1.0000,2,O, 
6,5,Y (Y),6,N,Y,0.2857,1.0000,2,O, 
7,5,Y (Y),6,N,Y,0.2785,1.0000,2,O, 
8,5,Y (Y),6,N,Y,0.2535,0.9736,2,O, 
9,5,Y (Y),6,N,Y,0.2142,0.6842,2,O, 
10,5,Y (Y),6,N,Y,0.1892,0.5789,2,O, 
11,5,Y (Y),6,N,Y,0.1500,0.7368,2,O, 
12,4,Y (Y),6,N,Y,0.2500,0.9736,2,O, 
13,3,Y (Y),6,N,Y,0.4851,1.0000,3,O, 
14,3,Y (Y),6,N,Y,0.2750,1.0000,2,O, 
15,3,Y (Y),6,N,N,0.8071,0.9473,4,O, 
16,2,Y (Y),6,N,Y,0.3000,1.0000,2,O, 
17,2,Y (Y),6,N,Y,0.2714,1.0000,2,O, 
18,2,Y (Y),6,N,Y,0.2571,0.9736,2,O, 
19,2,Y (Y),6,N,N,0.8857,1.0000,4,O, 
20,2,Y (Y),6,N,N,0.7857,1.0000,4,O, 
21,1,Y (Y),6,N,Y,0.5214,0.8157,3,O, 
22,1,Y (Y),6,N,Y,0.3071,1.0000,2,O, 
23,1,Y (Y),6,N,Y,0.3000,1.0000,2,O, 
24,1,Y (Y),6,N,Y,0.2964,1.0000,2,O, 
25,1,Y (Y),6,N,Y,0.2928,1.0000,2,O, 
26,1,Y (Y),6,N,Y,0.2714,0.9473,2,O, 
