순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,Y (Y),6,N,Y,0.5555,0.5263,3,O, 
1,36,Y (Y),6,N,Y,0.5555,0.5263,3,O, 
2,36,Y (Y),6,N,Y,0.5000,0.8157,3,O, 
3,28,Y (Y),6,N,Y,0.5407,0.7631,3,O, 
4,23,Y (Y),6,N,Y,0.5148,0.8684,3,O, 
5,21,Y (Y),6,N,Y,0.5703,1.0000,3,O, 
6,21,Y (Y),6,N,Y,0.5629,1.0000,3,O, 
7,20,Y (Y),6,N,Y,0.6074,0.9736,3,O, 
8,20,Y (Y),6,N,Y,0.5370,0.8157,3,O, 
9,20,Y (Y),6,N,Y,0.4814,0.9736,3,O, 
10,19,Y (Y),6,N,Y,0.5777,0.9736,3,O, 
11,19,Y (Y),6,N,Y,0.5481,0.9736,3,O, 
12,19,Y (Y),6,N,Y,0.5407,0.9210,3,O, 
13,18,Y (Y),6,N,Y,0.5629,0.0526,3,O, 
14,18,Y (Y),6,N,Y,0.5185,0.6052,3,O, 
15,15,Y (Y),6,N,Y,0.4962,0.9736,3,O, 
16,13,Y (Y),6,N,Y,0.4370,0.8157,3,O, 
17,12,Y (Y),6,N,Y,0.6222,0.9736,3,O, 
18,12,Y (Y),6,N,Y,0.5925,1.0000,3,O, 
19,11,Y (Y),6,N,Y,0.5407,0.8684,3,X, 
20,10,Y (Y),6,N,Y,0.6037,1.0000,3,X, 
21,2,Y (Y),6,N,Y,0.6777,0.8421,3,X, 
22,2,Y (Y),6,N,Y,0.6296,0.9210,3,X, 
23,1,Y (Y),6,N,Y,0.5703,1.0000,3,X, 
