순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,30,Y (Y),6,N,Y,0.4321,0.9736,2,O, 
1,30,Y (Y),6,N,Y,0.4321,0.9736,2,O, 
2,25,Y (Y),6,N,Y,0.3535,0.8157,2,O, 
3,25,N (N),6,N,Y,0.5000,0.9375,3,O, 
4,21,N (N),6,N,Y,0.3678,0.5000,2,O, 
5,20,Y (Y),6,N,Y,0.5107,1.0000,2,O, 
6,20,Y (Y),6,N,Y,0.4035,0.9210,2,O, 
7,20,Y (Y),6,N,Y,0.3964,1.0000,2,O, 
8,20,Y (Y),6,N,Y,0.3821,0.8157,2,O, 
9,15,Y (Y),6,N,Y,0.7857,0.8421,4,O, 
10,15,Y (Y),6,N,Y,0.2571,0.8947,2,O, 
11,12,Y (Y),6,N,Y,0.3964,0.9210,2,O, 
12,12,Y (Y),6,N,Y,0.3821,0.9736,2,O, 
13,12,Y (Y),6,N,Y,0.3678,0.6578,2,O, 
14,2,N (N),6,N,Y,0.3015,1.0000,2,X, 
