순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,10,Y (Y),6,N,Y,0.5000,0.8881,3,O, 
1,10,Y (Y),6,N,Y,0.5000,0.8881,3,O, 
2,9,Y (Y),6,N,Y,0.6740,0.9736,3,O, 
3,9,Y (N),6,N,Y,0.4087,0.6944,2,O, 
4,8,Y (N),5,N,Y,0.7259,1.0000,3,O, 
5,5,N (N),6,N,Y,0.5296,0.9736,3,O, 
6,5,N (N),3,Y,Y,0.9333,0.9473,4,O, 
7,2,Y (Y),6,Y,Y,0.8592,1.0000,4,O, 
8,2,Y (Y),6,N,Y,0.3962,0.9210,2,O, 
9,2,Y (Y),6,N,Y,0.2500,1.0000,2,O, 
10,2,Y (Y),4,N,Y,0.2814,1.0000,2,O, 
11,2,N (N),6,N,Y,0.7555,0.8947,4,O, 
12,2,N (N),6,N,Y,0.2936,1.0000,2,O, 
13,1,Y (Y),6,N,Y,0.3111,1.0000,2,O, 
14,1,Y (Y),6,N,Y,0.3037,1.0000,2,O, 
15,1,Y (Y),6,N,Y,0.2814,1.0000,2,O, 
16,1,Y (Y),6,N,Y,0.2814,0.8947,2,O, 
17,1,Y (Y),6,N,Y,0.2740,0.9473,2,O, 
18,1,Y (Y),6,N,Y,0.2714,1.0000,2,O, 
19,1,Y (Y),6,N,Y,0.2518,0.9473,2,O, 
20,1,Y (Y),6,N,Y,0.2370,0.8421,2,O, 
21,1,Y (Y),6,N,Y,0.2296,0.8157,2,O, 
22,1,Y (Y),6,N,Y,0.2285,0.6842,2,O, 
23,1,Y (Y),6,N,N,0.8785,0.8421,4,O, 
24,1,N (N),6,N,Y,0.3037,1.0000,2,O, 
25,1,N (N),6,N,Y,0.2936,1.0000,2,O, 
26,1,N (N),3,N,Y,0.5444,0.8947,3,O, 
