순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,13,N (N),6,N,Y,0.4074,0.8684,2,O, 
1,13,N (N),6,N,Y,0.4074,0.8684,2,O, 
2,12,N (N),6,Y,Y,1.0000,0.8421,4,O, 
3,12,N (N),6,Y,Y,0.7592,0.8421,4,O, 
4,10,N (N),6,N,Y,0.6148,1.0000,3,O, 
5,6,N (N),6,N,Y,0.8015,0.8333,4,O, 
6,5,N (N),6,Y,Y,1.0000,0.9473,4,O, 
7,3,N (N),6,Y,Y,0.8000,1.0000,4,O, 
8,2,N (N),6,N,Y,0.8888,0.6842,4,O, 
9,2,N (N),6,N,Y,0.6296,1.0000,3,O, 
10,1,N (N),6,Y,Y,0.9333,0.7368,4,O, 
11,1,N (N),6,N,Y,0.8134,1.0000,4,O, 
12,1,N (N),6,N,Y,0.8111,0.8421,4,O, 
13,1,N (N),6,N,Y,0.7555,0.8421,4,O, 
14,1,N (N),6,N,Y,0.7472,0.8421,4,O, 
15,1,N (N),6,N,Y,0.6555,1.0000,3,O, 
16,1,N (N),6,N,Y,0.6370,1.0000,3,O, 
17,1,N (N),6,N,Y,0.5259,1.0000,3,O, 
18,1,N (N),6,N,Y,0.4925,0.8947,3,O, 
19,1,N (N),5,Y,Y,1.0000,1.0000,4,O, 
