순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,Y (Y),6,N,Y,0.6031,1.0000,3,O, 
1,36,Y (Y),6,N,Y,0.6031,1.0000,3,O, 
2,36,Y (N),2,Y,Y,0.9801,0.8333,4,O, 
3,36,N (N),3,Y,Y,0.9481,0.9736,4,O, 
4,36,N (N),3,N,Y,0.7539,1.0000,3,O, 
5,34,Y (N),6,N,Y,0.6148,0.9473,3,O, 
6,34,N (N),6,N,Y,0.7703,0.6842,4,O, 
7,31,Y (Y),4,Y,Y,0.9126,1.0000,4,O, 
8,30,Y (Y),6,N,Y,0.7539,0.8888,4,O, 
9,30,Y (N),6,N,Y,0.6349,0.8611,4,O, 
10,30,Y (Y),6,N,Y,0.5476,0.8611,3,O, 
11,30,Y (Y),6,N,Y,0.4404,1.0000,2,O, 
12,30,N (N),5,Y,Y,0.9185,1.0000,4,O, 
13,28,Y (N),5,N,Y,0.7518,0.7894,4,O, 
14,27,Y (Y),6,N,Y,0.6150,1.0000,3,O, 
15,27,N (N),6,N,Y,0.8571,1.0000,4,O, 
16,26,Y (Y),6,Y,Y,0.9285,0.8333,4,O, 
17,26,Y (Y),6,N,Y,0.4722,0.5277,3,O, 
18,26,N (N),4,Y,Y,0.9703,0.7894,4,O, 
19,25,Y (Y),6,Y,Y,0.7896,0.8333,4,O, 
20,25,Y (N),6,N,Y,0.8370,1.0000,4,O, 
21,25,Y (N),6,N,Y,0.7916,0.9473,4,O, 
22,25,Y (Y),6,N,Y,0.5000,0.8750,3,O, 
23,25,N (N),6,N,Y,0.6111,0.6944,3,O, 
24,24,Y (Y),6,Y,Y,0.9603,0.6666,4,O, 
25,24,Y (N),6,N,Y,0.8015,0.8888,3,O, 
26,24,Y (N),6,N,Y,0.7407,1.0000,4,O, 
27,24,Y (Y),6,N,Y,0.6587,0.8888,4,O, 
28,24,N (N),6,N,Y,0.6428,1.0000,3,O, 
29,23,N (N),6,N,Y,0.6984,1.0000,3,O, 
30,23,N (N),6,N,Y,0.5238,0.9166,3,O, 
31,22,Y (Y),6,N,Y,0.5714,1.0000,3,O, 
32,22,Y (Y),6,N,Y,0.4325,0.9166,2,O, 
33,21,Y (Y),6,N,Y,0.6269,1.0000,3,O, 
34,21,Y (Y),6,N,Y,0.4801,1.0000,2,O, 
35,21,N (N),6,N,Y,0.6984,1.0000,4,X, 
36,21,N (N),6,N,Y,0.2539,0.5000,2,X, 
37,20,Y (Y),6,N,Y,0.8253,0.7222,4,X, 
38,20,Y (Y),6,N,Y,0.6428,1.0000,3,X, 
39,20,Y (Y),6,N,Y,0.5555,0.6944,3,X, 
40,20,Y (Y),6,N,Y,0.4246,0.9722,2,X, 
41,20,Y (Y),6,N,Y,0.4206,0.9444,2,X, 
42,20,Y (Y),5,N,Y,0.5476,0.8333,3,X, 
43,20,Y (Y),4,N,Y,0.7182,0.5000,4,X, 
44,20,N (N),6,N,Y,0.4007,1.0000,2,X, 
45,19,Y (Y),6,N,Y,0.6428,0.5000,4,X, 
46,19,N (N),6,N,Y,1.0000,0.8611,4,X, 
47,18,Y (N),6,N,Y,0.8222,1.0000,4,X, 
48,18,Y (Y),6,N,Y,0.7936,0.3333,4,X, 
49,18,Y (Y),6,N,Y,0.4126,0.9166,2,X, 
50,17,Y (Y),6,N,Y,0.8789,1.0000,4,X, 
51,17,Y (Y),6,N,Y,0.3492,0.6666,2,X, 
52,16,Y (Y),6,N,Y,0.4841,1.0000,3,X, 
53,15,N (N),6,Y,Y,0.7857,1.0000,4,X, 
54,8,Y (Y),6,N,Y,0.7698,0.8333,4,X, 
55,8,Y (Y),6,N,Y,0.7301,0.8333,4,X, 
56,1,Y (Y),6,Y,Y,0.7539,0.8333,4,X, 
57,1,Y (N),6,N,Y,0.6984,1.0000,3,X, 
58,1,N (N),6,N,Y,0.3293,0.5277,2,X, 
0,12,Y (Y),1,N,Y,0.0238,0.1666,1,O,* 
