순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,12,Y (Y),6,Y,Y,0.9694,1.0000,4,O, 
1,12,Y (Y),6,Y,Y,0.9694,1.0000,4,O, 
2,12,Y (Y),6,Y,Y,0.9682,1.0000,4,O, 
3,12,Y (Y),6,Y,Y,0.7619,0.8333,4,O, 
4,12,Y (Y),6,N,Y,0.9920,1.0000,4,O, 
5,12,Y (Y),6,N,Y,0.8293,0.8611,4,O, 
6,12,Y (Y),6,N,Y,0.8148,0.9473,4,O, 
7,12,Y (Y),6,N,Y,0.7341,0.8333,4,O, 
8,12,Y (Y),6,N,Y,0.7222,1.0000,3,O, 
9,12,Y (Y),6,N,Y,0.7222,0.8888,4,O, 
10,12,Y (Y),6,N,Y,0.6507,0.8333,3,O, 
11,12,Y (Y),6,N,Y,0.5515,0.8888,3,O, 
12,12,Y (Y),6,N,Y,0.4523,1.0000,2,O, 
13,12,Y (Y),6,N,Y,0.4087,0.9166,2,O, 
14,12,Y (Y),6,N,Y,0.3928,0.8611,2,O, 
15,12,Y (Y),4,Y,Y,0.8962,0.7894,4,O, 
16,12,N (N),6,Y,Y,0.8690,0.8333,4,O, 
17,12,N (N),6,Y,Y,0.8518,0.6666,4,O, 
18,12,N (N),6,N,Y,0.8849,1.0000,4,O, 
19,12,N (N),6,N,Y,0.7182,0.8611,3,O, 
20,12,N (N),6,N,Y,0.6944,0.8333,3,O, 
21,12,N (N),4,N,Y,0.9722,0.8055,4,O, 
22,10,Y (Y),6,N,Y,0.7619,0.8333,4,O, 
23,8,Y (Y),6,N,Y,0.4285,1.0000,2,O, 
24,8,Y (Y),6,N,Y,0.4246,0.8611,2,O, 
25,7,Y (Y),6,Y,Y,0.7420,1.0000,4,X, 
26,7,Y (Y),6,N,Y,0.3928,1.0000,2,O, 
27,6,Y (Y),6,N,Y,0.4087,0.8611,2,O, 
28,5,Y (Y),6,N,Y,0.4325,1.0000,2,O, 
29,5,Y (Y),6,N,Y,0.3968,1.0000,2,O, 
30,4,Y (Y),6,N,Y,0.5674,0.9166,3,O, 
31,4,N (N),6,N,Y,0.4682,0.7777,2,O, 
32,3,Y (Y),6,N,Y,0.3968,1.0000,2,O, 
33,2,Y (Y),6,N,Y,0.7777,0.8888,4,X, 
34,2,Y (Y),6,N,Y,0.6825,0.8333,3,O, 
35,2,Y (Y),6,N,Y,0.6468,1.0000,3,O, 
36,2,Y (Y),6,N,Y,0.4087,0.7777,2,O, 
37,2,N (N),6,N,Y,0.8962,0.6315,4,X, 
