순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,18,Y (Y),6,Y,Y,1.0000,0.8333,4,O, 
1,18,Y (Y),6,Y,Y,1.0000,0.8333,4,O, 
2,18,Y (Y),6,Y,Y,0.9047,0.6666,4,O, 
3,18,Y (Y),6,N,Y,1.0000,1.0000,4,O, 
4,18,Y (Y),6,N,Y,1.0000,1.0000,4,O, 
5,18,Y (Y),6,N,Y,0.9481,1.0000,4,O, 
6,18,Y (Y),6,N,Y,0.9285,1.0000,4,O, 
7,18,Y (Y),6,N,Y,0.9206,1.0000,4,O, 
8,18,Y (Y),6,N,Y,0.8730,0.8333,4,O, 
9,18,Y (Y),6,N,Y,0.8571,0.8333,4,O, 
10,18,Y (Y),6,N,Y,0.8492,1.0000,4,O, 
11,18,Y (Y),6,N,Y,0.8333,1.0000,4,O, 
12,18,Y (Y),6,N,Y,0.8333,1.0000,4,O, 
13,18,Y (Y),6,N,Y,0.7857,1.0000,4,O, 
14,18,Y (Y),6,N,Y,0.7658,1.0000,4,O, 
15,18,Y (Y),6,N,Y,0.7539,1.0000,3,O, 
16,18,Y (Y),6,N,Y,0.7481,0.7894,4,O, 
17,18,Y (Y),6,N,Y,0.7420,0.8888,4,O, 
18,18,Y (Y),6,N,Y,0.7185,0.9473,4,O, 
19,18,Y (Y),6,N,Y,0.6984,0.8333,3,O, 
20,18,Y (Y),6,N,Y,0.6944,0.8888,3,O, 
21,18,Y (Y),6,N,Y,0.6814,1.0000,3,O, 
22,18,Y (Y),6,N,Y,0.6428,1.0000,3,O, 
23,18,Y (Y),6,N,Y,0.6150,0.8611,3,O, 
24,18,Y (Y),6,N,Y,0.6111,0.9166,3,O, 
25,18,Y (Y),6,N,Y,0.6111,0.6944,3,O, 
26,18,Y (Y),6,N,Y,0.5952,1.0000,3,O, 
27,18,Y (Y),6,N,Y,0.5793,1.0000,3,O, 
28,18,Y (Y),6,N,Y,0.5777,1.0000,3,O, 
29,18,Y (Y),6,N,Y,0.5555,1.0000,3,O, 
30,18,Y (Y),6,N,Y,0.5396,0.8333,3,O, 
31,18,Y (Y),6,N,Y,0.5198,0.8333,3,O, 
32,18,Y (Y),6,N,Y,0.5000,0.8750,3,O, 
33,18,Y (Y),6,N,Y,0.5000,0.8750,3,O, 
34,18,Y (Y),6,N,Y,0.4880,1.0000,2,O, 
35,18,Y (Y),6,N,Y,0.4087,0.8611,2,O, 
36,18,Y (Y),6,N,Y,0.3333,1.0000,2,O, 
37,18,Y (Y),6,N,Y,0.3333,1.0000,2,O, 
38,18,Y (Y),6,N,Y,0.3253,1.0000,2,O, 
39,18,Y (Y),6,N,Y,0.3134,1.0000,2,O, 
40,18,Y (Y),6,N,Y,0.3095,1.0000,2,O, 
41,18,Y (Y),6,N,Y,0.3095,1.0000,2,O, 
42,18,Y (Y),6,N,Y,0.3095,1.0000,2,O, 
43,18,Y (Y),6,N,Y,0.3095,0.6666,2,O, 
44,18,Y (Y),6,N,Y,0.3015,1.0000,2,O, 
45,18,Y (Y),6,N,Y,0.3015,1.0000,2,O, 
46,18,Y (Y),6,N,Y,0.2936,1.0000,2,O, 
47,18,Y (Y),6,N,Y,0.2936,1.0000,2,O, 
48,18,Y (Y),6,N,Y,0.2857,1.0000,2,O, 
49,18,Y (Y),6,N,Y,0.2738,0.3333,2,O, 
50,18,Y (Y),6,N,Y,0.2698,0.9722,2,O, 
51,18,Y (Y),6,N,Y,0.2698,0.8888,2,O, 
52,18,Y (Y),6,N,Y,0.2539,0.8611,2,O, 
53,18,Y (Y),6,N,Y,0.2380,0.8611,2,O, 
54,18,Y (Y),6,N,Y,0.2341,0.6388,2,O, 
55,18,Y (Y),6,N,N,0.7539,1.0000,4,O, 
56,18,Y (Y),5,Y,Y,0.9047,0.7777,4,O, 
57,18,Y (Y),5,N,Y,0.8968,0.6111,4,O, 
58,18,Y (Y),5,N,Y,0.5436,1.0000,3,O, 
59,18,Y (Y),4,N,Y,0.8650,0.6666,4,O, 
60,18,Y (Y),4,N,Y,0.8293,1.0000,4,O, 
61,18,Y (Y),4,N,Y,0.8253,0.8333,4,O, 
62,18,N (N),6,N,Y,0.8809,0.6666,4,O, 
63,18,N (N),6,N,Y,0.8000,0.7894,4,O, 
64,18,N (N),6,N,Y,0.7629,0.9736,4,O, 
65,18,N (N),6,N,Y,0.6984,0.8333,3,O, 
66,18,N (N),6,N,Y,0.6825,1.0000,3,O, 
67,18,N (N),6,N,Y,0.6587,0.8888,3,O, 
68,18,N (N),6,N,Y,0.6315,1.0000,2,O, 
69,18,N (N),6,N,Y,0.6230,1.0000,3,O, 
70,18,N (N),6,N,Y,0.5921,0.8750,2,O, 
71,18,N (N),6,N,Y,0.5793,1.0000,3,O, 
72,18,N (N),6,N,Y,0.5753,1.0000,3,O, 
73,18,N (N),6,N,Y,0.5674,0.6666,4,O, 
74,18,N (N),6,N,Y,0.3015,1.0000,2,O, 
75,18,N (N),6,N,Y,0.2962,0.8947,2,O, 
76,18,N (N),6,N,Y,0.2740,0.8947,2,O, 
77,18,N (N),3,Y,Y,1.0000,0.7894,4,O, 
78,17,Y (Y),6,N,Y,0.8962,0.9473,4,O, 
79,17,Y (Y),6,N,Y,0.6666,0.8333,4,O, 
80,17,Y (Y),6,N,Y,0.6031,1.0000,3,O, 
81,17,Y (Y),6,N,Y,0.5000,0.9166,3,O, 
82,17,Y (Y),6,N,Y,0.3015,1.0000,2,O, 
83,17,Y (Y),6,N,Y,0.2777,0.8888,2,O, 
84,17,N (N),6,N,Y,0.8571,1.0000,4,O, 
85,17,N (N),6,N,Y,0.4960,0.8333,3,O, 
86,16,Y (Y),6,Y,Y,0.8888,1.0000,4,O, 
87,16,Y (Y),6,N,Y,0.7142,0.5000,4,O, 
88,16,Y (Y),6,N,Y,0.6825,1.0000,4,O, 
89,16,Y (Y),6,N,Y,0.6666,1.0000,3,O, 
90,16,Y (Y),6,N,Y,0.6428,0.8333,3,O, 
91,16,Y (Y),6,N,Y,0.5555,1.0000,3,O, 
92,16,Y (Y),6,N,Y,0.4682,0.1666,4,O, 
93,16,Y (Y),6,N,Y,0.4404,1.0000,2,O, 
94,16,Y (Y),6,N,Y,0.3412,1.0000,2,O, 
95,16,Y (Y),6,N,Y,0.3174,1.0000,2,O, 
96,16,Y (Y),6,N,Y,0.3095,1.0000,2,O, 
97,16,Y (Y),6,N,Y,0.2936,1.0000,2,O, 
98,16,Y (Y),6,N,Y,0.2698,0.9444,2,O, 
