순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,18,Y (Y),6,N,Y,0.7579,1.0000,3,O, 
1,18,Y (Y),6,N,Y,0.7579,1.0000,3,O, 
2,18,Y (Y),6,N,Y,0.7222,1.0000,3,O, 
3,18,Y (Y),6,N,Y,0.7222,0.8611,3,O, 
4,18,Y (Y),6,N,Y,0.6547,1.0000,3,O, 
5,18,Y (Y),6,N,Y,0.4642,1.0000,2,O, 
6,18,Y (Y),6,N,Y,0.4484,1.0000,2,O, 
7,17,Y (Y),6,Y,Y,0.9365,1.0000,4,O, 
8,15,Y (Y),6,Y,Y,0.8095,0.8333,4,O, 
9,15,Y (Y),6,N,Y,0.6904,1.0000,3,O, 
10,15,Y (Y),6,N,Y,0.6865,0.6944,3,O, 
11,15,Y (Y),6,N,Y,0.6666,1.0000,3,O, 
12,15,Y (Y),6,N,Y,0.5714,1.0000,3,O, 
13,15,Y (Y),6,N,Y,0.4166,0.8611,2,O, 
14,13,Y (Y),6,N,Y,0.6269,1.0000,3,O, 
15,12,Y (Y),6,N,Y,0.6428,0.5000,3,O, 
16,12,Y (Y),6,N,Y,0.5436,0.8611,3,O, 
17,11,Y (Y),6,N,Y,0.8000,0.7894,4,O, 
18,10,Y (Y),6,Y,Y,0.9523,0.8333,4,O, 
19,10,Y (Y),6,N,Y,0.8730,1.0000,4,O, 
20,10,Y (Y),6,N,Y,0.7301,1.0000,3,O, 
21,10,Y (Y),6,N,Y,0.4484,1.0000,2,O, 
22,9,Y (Y),6,N,Y,0.8148,0.9473,4,O, 
23,8,Y (Y),6,Y,Y,0.9841,1.0000,4,O, 
24,8,Y (Y),5,N,Y,0.4087,0.8611,2,O, 
25,7,Y (Y),6,N,Y,0.6031,0.6666,3,O, 
26,7,Y (Y),5,N,Y,0.6507,0.8333,3,O, 
27,6,Y (Y),6,Y,Y,0.9186,1.0000,4,O, 
28,6,Y (Y),6,N,Y,0.6814,1.0000,3,O, 
29,6,Y (Y),6,N,Y,0.4246,0.9166,2,O, 
30,5,Y (Y),6,Y,Y,0.8814,0.9736,4,O, 
31,5,Y (Y),6,Y,Y,0.8492,0.3888,4,O, 
32,5,Y (Y),6,N,Y,0.6984,1.0000,3,O, 
33,5,Y (Y),6,N,Y,0.4722,1.0000,2,O, 
34,5,Y (Y),6,N,Y,0.4365,0.8611,2,O, 
35,5,Y (Y),5,Y,Y,0.9682,0.7222,4,O, 
36,4,Y (Y),6,N,Y,0.8412,1.0000,4,O, 
37,4,Y (Y),6,N,Y,0.7222,1.0000,3,O, 
38,4,Y (Y),6,N,Y,0.7142,1.0000,3,O, 
39,4,Y (Y),6,N,Y,0.6507,0.6666,3,O, 
40,4,Y (Y),6,N,Y,0.4246,1.0000,2,O, 
41,3,Y (Y),6,Y,Y,0.9285,1.0000,4,O, 
42,3,Y (Y),6,Y,Y,0.8333,1.0000,4,O, 
43,3,Y (Y),6,N,Y,0.8333,1.0000,4,O, 
44,3,Y (Y),6,N,Y,0.7500,1.0000,3,O, 
45,3,Y (Y),6,N,Y,0.6785,0.6944,3,O, 
46,3,Y (Y),6,N,Y,0.3015,1.0000,2,O, 
47,2,Y (Y),6,Y,Y,0.8650,0.8333,4,O, 
48,2,Y (Y),6,N,Y,0.8095,0.8333,4,O, 
49,2,Y (Y),6,N,Y,0.7301,0.8333,3,O, 
50,2,Y (Y),6,N,Y,0.7063,0.8333,4,O, 
51,2,Y (Y),6,N,Y,0.6962,0.9473,3,O, 
52,2,Y (Y),6,N,Y,0.6507,0.8333,3,O, 
53,2,Y (Y),6,N,Y,0.6190,1.0000,3,O, 
54,2,Y (Y),6,N,Y,0.6031,0.8333,3,O, 
55,2,Y (Y),6,N,Y,0.5753,0.8611,3,O, 
56,2,Y (Y),6,N,Y,0.4484,1.0000,2,O, 
57,2,Y (Y),6,N,Y,0.4404,1.0000,2,O, 
58,2,Y (Y),6,N,Y,0.4087,1.0000,2,O, 
59,1,Y (Y),6,Y,Y,0.9920,1.0000,4,O, 
60,1,Y (Y),6,N,Y,0.8095,1.0000,4,O, 
61,1,Y (Y),6,N,Y,0.8095,0.8333,4,O, 
62,1,Y (Y),6,N,Y,0.8015,1.0000,4,O, 
63,1,Y (Y),6,N,Y,0.7936,1.0000,3,O, 
64,1,Y (Y),6,N,Y,0.7619,0.8333,3,O, 
65,1,Y (Y),6,N,Y,0.7380,1.0000,3,O, 
66,1,Y (Y),6,N,Y,0.7261,0.8611,3,X, 
67,1,Y (Y),6,N,Y,0.7222,1.0000,3,X, 
68,1,Y (Y),6,N,Y,0.7063,0.8333,3,X, 
69,1,Y (Y),6,N,Y,0.6984,0.8333,3,X, 
70,1,Y (Y),6,N,Y,0.6825,0.8333,3,X, 
71,1,Y (Y),6,N,Y,0.6468,1.0000,3,X, 
72,1,Y (Y),6,N,Y,0.6269,0.8611,3,X, 
73,1,Y (Y),6,N,Y,0.6111,0.5000,3,X, 
74,1,Y (Y),6,N,Y,0.5476,1.0000,3,X, 
75,1,Y (Y),6,N,Y,0.4880,1.0000,2,O, 
76,1,Y (Y),6,N,Y,0.4325,1.0000,2,O, 
77,1,Y (Y),6,N,Y,0.4246,1.0000,2,O, 
78,1,Y (Y),6,N,Y,0.4206,1.0000,2,O, 
79,1,Y (Y),6,N,Y,0.4087,0.8611,2,O, 
80,1,Y (Y),6,N,Y,0.3650,0.9166,2,O, 
81,1,Y (Y),6,N,Y,0.2698,0.8888,2,O, 
