순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,22,Y (Y),6,Y,Y,0.9603,0.8333,4,O, 
1,22,Y (Y),6,Y,Y,0.9603,0.8333,4,O, 
2,22,Y (Y),6,Y,Y,0.9206,0.6111,4,O, 
3,22,Y (Y),6,Y,Y,0.8412,1.0000,4,O, 
4,22,Y (Y),6,N,Y,1.0000,1.0000,4,O, 
5,22,Y (Y),6,N,Y,0.8869,1.0000,4,O, 
6,22,Y (Y),6,N,Y,0.8412,0.8333,4,O, 
7,22,Y (Y),6,N,Y,0.8293,1.0000,4,O, 
8,22,Y (Y),6,N,Y,0.8015,1.0000,4,O, 
9,22,Y (Y),6,N,Y,0.8000,0.7894,4,O, 
10,22,Y (Y),6,N,Y,0.7936,1.0000,4,O, 
11,22,Y (Y),6,N,Y,0.7777,1.0000,4,O, 
12,22,Y (Y),6,N,Y,0.7738,1.0000,4,O, 
13,22,Y (Y),6,N,Y,0.7259,0.8611,3,O, 
14,22,Y (Y),6,N,Y,0.6865,0.8611,3,O, 
15,22,Y (Y),6,N,Y,0.6626,0.8333,3,O, 
16,22,Y (Y),6,N,Y,0.6507,0.6944,3,O, 
17,22,Y (Y),6,N,Y,0.6481,1.0000,3,O, 
18,22,Y (Y),6,N,Y,0.6428,1.0000,3,O, 
19,22,Y (Y),6,N,Y,0.5952,0.6666,3,O, 
20,22,Y (Y),6,N,Y,0.5793,0.6666,3,O, 
21,22,Y (Y),6,N,Y,0.5634,0.8611,3,O, 
22,22,Y (Y),6,N,Y,0.5555,1.0000,3,O, 
23,22,Y (Y),6,N,Y,0.5555,0.8611,3,O, 
24,22,Y (Y),6,N,Y,0.5515,0.8611,3,O, 
25,22,Y (Y),6,N,Y,0.5317,0.8611,3,O, 
26,22,Y (Y),6,N,Y,0.5277,0.8611,3,O, 
27,22,Y (Y),6,N,Y,0.5000,0.8750,3,O, 
28,22,Y (Y),6,N,Y,0.4365,0.9444,3,O, 
29,22,Y (Y),6,N,Y,0.4206,1.0000,3,O, 
30,22,Y (Y),6,N,Y,0.3095,0.9444,2,O, 
31,22,Y (Y),6,N,Y,0.2857,1.0000,2,O, 
32,22,Y (Y),6,N,Y,0.2777,1.0000,2,O, 
33,22,Y (Y),6,N,Y,0.2619,0.8888,2,O, 
34,22,Y (Y),6,N,Y,0.2579,0.8611,2,O, 
35,22,Y (Y),5,N,Y,1.0000,0.8333,4,O, 
36,22,Y (Y),5,N,Y,0.8075,1.0000,4,O, 
37,22,Y (Y),5,N,Y,0.6884,0.8611,3,O, 
38,22,Y (Y),4,N,Y,0.9481,0.8888,4,O, 
39,22,Y (Y),4,N,Y,0.6626,0.8611,3,O, 
40,22,Y (Y),3,N,Y,0.9841,0.8333,4,O, 
41,22,Y (Y),2,N,Y,0.7500,0.8750,4,O, 
42,22,N (N),6,N,Y,0.7185,0.7894,4,O, 
43,22,N (N),6,N,Y,0.4703,0.7894,3,O, 
44,22,N (N),6,N,Y,0.2857,1.0000,2,O, 
45,22,N (N),4,N,Y,0.6888,0.6315,4,O, 
46,21,N (N),5,Y,Y,1.0000,1.0000,4,O, 
47,20,Y (Y),5,Y,Y,0.8968,1.0000,4,O, 
48,20,Y (Y),3,N,Y,0.5396,1.0000,3,O, 
49,19,Y (Y),6,N,Y,0.5753,1.0000,3,O, 
50,18,Y (Y),6,N,Y,0.8095,0.8333,4,O, 
51,15,Y (Y),6,N,Y,0.5396,1.0000,4,O, 
52,13,N (N),6,N,Y,0.4047,0.8333,2,O, 
53,10,N (N),6,Y,Y,1.0000,0.8333,4,O, 
54,8,Y (Y),5,Y,Y,0.8730,0.7777,4,O, 
0,12,Y (Y),6,N,Y,0.4523,0.5277,3,O,* 
