순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,Y (Y),6,Y,Y,0.9523,0.8333,4,O, 
1,36,Y (Y),6,Y,Y,0.9523,0.8333,4,O, 
2,36,Y (Y),6,N,Y,0.9555,0.7894,4,O, 
3,36,Y (Y),6,N,Y,0.9126,1.0000,4,O, 
4,36,Y (Y),6,N,Y,0.7936,1.0000,3,O, 
5,36,Y (Y),4,Y,Y,1.0000,1.0000,4,O, 
6,36,Y (Y),4,Y,Y,0.9285,0.8333,4,O, 
7,36,Y (Y),3,Y,Y,0.9603,0.8333,4,O, 
8,33,Y (Y),6,Y,Y,0.9047,1.0000,4,O, 
9,31,Y (Y),6,N,Y,0.8333,1.0000,4,O, 
10,31,Y (Y),6,N,Y,0.6428,1.0000,3,O, 
11,30,Y (Y),6,Y,Y,0.9206,1.0000,4,O, 
12,30,Y (Y),6,N,Y,0.5119,1.0000,2,O, 
13,28,Y (Y),6,Y,Y,0.9206,0.6666,4,O, 
14,27,Y (Y),6,N,Y,0.8650,1.0000,4,O, 
15,27,Y (Y),6,N,Y,0.7222,0.8333,3,O, 
16,27,Y (Y),6,N,Y,0.6814,1.0000,3,O, 
17,26,Y (Y),6,N,Y,0.6388,1.0000,4,O, 
18,25,Y (Y),6,N,Y,0.8174,1.0000,4,O, 
19,24,Y (Y),6,N,Y,1.0000,1.0000,4,O, 
20,24,Y (Y),6,N,Y,0.8333,1.0000,4,O, 
21,24,Y (Y),6,N,Y,0.6587,0.8611,3,O, 
22,23,Y (Y),6,N,Y,0.7103,1.0000,3,O, 
23,23,Y (Y),6,N,Y,0.6904,0.8611,3,O, 
24,23,Y (Y),6,N,Y,0.4761,1.0000,3,O, 
25,23,Y (Y),6,N,Y,0.4722,1.0000,2,O, 
26,22,Y (Y),6,Y,Y,0.9206,0.8333,4,O, 
27,21,Y (Y),6,N,Y,0.4484,1.0000,2,O, 
28,21,Y (Y),6,N,Y,0.4404,0.9166,2,O, 
29,21,Y (Y),6,N,N,0.7142,1.0000,3,O, 
30,20,Y (Y),6,N,Y,0.6746,1.0000,3,O, 
31,20,Y (Y),6,N,Y,0.4246,0.8611,2,O, 
32,20,Y (Y),6,N,Y,0.4206,0.8611,2,O, 
33,20,Y (Y),6,N,N,0.7698,0.8333,4,O, 
34,19,Y (Y),6,Y,Y,0.9047,0.8333,4,O, 
35,19,Y (Y),6,N,Y,0.7857,1.0000,4,O, 
36,19,Y (Y),6,N,Y,0.4722,1.0000,2,O, 
37,17,Y (Y),6,N,Y,0.6587,0.8888,3,O, 
38,16,Y (Y),6,N,Y,0.3928,0.8611,2,O, 
39,15,Y (Y),6,N,Y,0.6230,0.8611,3,O, 
40,15,Y (Y),6,N,Y,0.4642,1.0000,2,O, 
41,15,Y (Y),6,N,Y,0.4484,1.0000,2,X, 
42,15,Y (Y),5,N,Y,0.8095,0.8333,4,X, 
43,14,Y (Y),6,Y,Y,0.9285,0.7222,4,X, 
44,13,Y (Y),6,N,Y,0.9246,1.0000,4,X, 
45,12,Y (Y),6,N,Y,0.4960,1.0000,2,X, 
46,12,Y (Y),5,Y,Y,0.9007,0.6666,4,X, 
47,11,Y (Y),6,Y,Y,0.9920,1.0000,4,X, 
48,11,Y (Y),6,N,Y,0.6388,1.0000,3,X, 
49,11,Y (Y),6,N,Y,0.4642,1.0000,2,X, 
50,11,Y (Y),6,N,Y,0.4404,1.0000,2,X, 
51,10,Y (Y),6,Y,Y,1.0000,1.0000,4,X, 
52,10,Y (Y),6,Y,Y,0.8730,0.8333,4,X, 
53,10,Y (Y),5,N,Y,0.4642,1.0000,2,X, 
54,8,Y (Y),6,N,Y,0.6825,1.0000,3,X, 
55,5,Y (Y),6,Y,Y,1.0000,0.3333,4,X, 
56,3,Y (Y),6,N,Y,0.6031,0.8611,3,X, 
57,2,Y (Y),6,N,Y,0.4682,1.0000,2,X, 
58,1,Y (Y),6,Y,Y,0.9126,0.8333,4,X, 
59,1,Y (Y),6,N,Y,0.7857,0.6666,4,X, 
