순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),5,N,Y,0.7500,0.9375,4,O, 
1,36,N (N),5,N,Y,0.7500,0.9375,4,O, 
2,20,N (N),6,N,Y,0.5873,0.8333,3,O, 
3,15,N (N),5,Y,Y,0.9000,0.6842,4,O, 
4,15,N (N),5,N,Y,0.5000,0.8750,3,O, 
5,14,N (N),5,N,Y,0.7420,0.8333,4,O, 
6,13,N (N),4,N,Y,0.5000,0.8750,3,O, 
7,12,N (N),6,Y,Y,0.8642,0.8421,4,O, 
8,12,N (N),6,N,Y,0.6428,1.0000,3,O, 
9,10,N (N),6,N,Y,0.9761,1.0000,4,O, 
10,10,N (N),6,N,Y,0.7500,0.8750,4,O, 
11,9,N (N),6,N,Y,0.6706,0.8333,3,O, 
12,8,N (N),5,N,Y,0.9206,1.0000,4,O, 
13,6,N (N),5,N,Y,0.7698,0.6666,4,O, 
14,5,N (N),6,Y,Y,0.8492,1.0000,4,O, 
15,5,N (N),6,N,Y,0.6468,0.8333,4,O, 
16,4,N (N),6,N,Y,0.6587,1.0000,3,O, 
17,2,N (N),6,Y,Y,0.9861,1.0000,4,O, 
18,2,N (N),6,N,Y,0.7539,1.0000,4,O, 
19,2,N (N),5,N,Y,0.5396,0.9444,3,O, 
20,2,N (N),5,N,Y,0.2500,0.8750,2,O, 
21,1,N (N),6,Y,Y,0.9142,0.9473,4,O, 
22,1,N (N),6,N,Y,0.5079,0.6666,3,O, 
23,1,N (N),6,N,Y,0.5000,0.8750,3,O, 
24,1,N (N),6,N,Y,0.3611,0.8611,2,O, 
25,1,N (N),6,N,Y,0.2261,0.6944,2,O, 
26,1,N (N),6,N,N,0.5000,1.0000,3,O, 
