순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,1,N (N),6,N,Y,0.8285,1.0000,4,O, 
1,1,N (N),6,N,Y,0.8285,1.0000,4,O, 
2,1,N (N),6,N,Y,0.8285,0.9473,4,O, 
3,1,N (N),6,N,Y,0.8214,0.9736,4,O, 
4,1,N (N),6,N,Y,0.8142,1.0000,4,O, 
5,1,N (N),6,N,Y,0.8071,1.0000,4,O, 
6,1,N (N),6,N,Y,0.7928,1.0000,4,O, 
7,1,N (N),6,N,Y,0.7857,1.0000,4,O, 
8,1,N (N),6,N,Y,0.7642,0.8947,4,O, 
9,1,N (N),6,N,Y,0.7571,0.9210,4,O, 
10,1,N (N),6,N,Y,0.7071,1.0000,4,O, 
11,1,N (N),6,N,Y,0.7000,1.0000,3,O, 
12,1,N (N),6,N,Y,0.5821,1.0000,3,O, 
13,1,N (N),6,N,Y,0.5785,1.0000,3,O, 
14,1,N (N),6,N,Y,0.5642,1.0000,3,O, 
15,1,N (N),6,N,Y,0.5500,0.9210,3,O, 
16,1,N (N),6,N,Y,0.5500,0.9210,3,O, 
17,1,N (N),6,N,Y,0.5428,1.0000,3,O, 
18,1,N (N),6,N,Y,0.2785,1.0000,2,O, 
19,1,N (N),6,N,Y,0.2785,1.0000,2,O, 
20,1,N (N),6,N,Y,0.2642,0.9210,2,O, 
21,1,N (N),6,N,Y,0.2607,1.0000,2,O, 
22,1,N (N),6,N,Y,0.2500,0.9210,2,O, 
23,1,N (N),6,N,Y,0.2500,0.9210,2,O, 
24,1,N (N),6,N,Y,0.2250,0.7368,2,O, 
25,1,N (N),5,N,Y,0.3821,0.4736,3,O, 
26,1,N (N),5,N,Y,0.2785,1.0000,2,O, 
27,1,N (N),5,N,Y,0.2785,1.0000,2,O, 
28,1,N (N),5,N,Y,0.2714,1.0000,2,O, 
29,1,N (N),4,N,Y,0.9178,0.9473,4,O, 
30,1,N (N),4,N,Y,0.8357,0.9473,4,O, 
31,1,N (N),3,Y,Y,1.0000,0.1578,4,O, 
