순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),3,N,Y,0.7857,1.0000,4,O, 
1,36,N (N),3,N,Y,0.7857,1.0000,4,O, 
2,30,N (N),5,N,Y,0.9214,0.8421,4,O, 
3,27,N (N),4,N,Y,0.9285,0.7368,4,O, 
4,20,N (N),6,N,Y,0.4178,0.9736,2,O, 
5,15,N (N),6,N,Y,0.6928,1.0000,3,O, 
6,14,N (N),6,N,Y,0.4250,0.9736,2,O, 
7,6,N (N),6,N,Y,0.6571,1.0000,3,O, 
8,4,N (N),6,N,Y,0.6785,1.0000,3,O, 
9,3,N (N),6,N,Y,0.6928,1.0000,3,O, 
10,2,N (N),6,N,Y,0.6214,1.0000,3,O, 
11,1,N (N),6,Y,Y,0.9214,0.8421,4,O, 
12,1,N (N),6,Y,Y,0.8892,1.0000,4,O, 
13,1,N (N),6,Y,Y,0.8714,0.9473,4,O, 
14,1,N (N),6,N,Y,0.9428,0.8947,4,O, 
15,1,N (N),6,N,Y,0.9285,0.6842,4,O, 
16,1,N (N),6,N,Y,0.9214,0.9473,4,O, 
17,1,N (N),6,N,Y,0.7892,0.8947,4,O, 
18,1,N (N),6,N,Y,0.6571,1.0000,3,O, 
19,1,N (N),6,N,Y,0.6464,1.0000,3,O, 
20,1,N (N),6,N,Y,0.5214,0.9736,3,O, 
21,1,N (N),6,N,Y,0.4428,0.9473,2,O, 
22,1,N (N),5,Y,Y,0.9785,0.9473,4,O, 
23,1,N (N),4,Y,Y,1.0000,0.7894,4,O, 
24,1,N (N),4,Y,Y,0.9464,0.2631,4,O, 
